datetime,height,port
2024-01-01 06:57:00-03:00,0.67,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-01 10:31:00-03:00,0.77,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-01 17:02:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-01 23:50:00-03:00,1.28,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-02 07:35:00-03:00,0.66,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-02 10:51:00-03:00,0.73,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-02 17:18:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-03 00:34:00-03:00,1.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-03 08:14:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-03 11:13:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-03 17:43:00-03:00,0.35,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-04 01:17:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-04 08:59:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-04 11:46:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-04 18:19:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-05 02:00:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-05 09:48:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-05 12:36:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-05 19:05:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-06 02:41:00-03:00,1.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-06 10:32:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-06 13:42:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-06 20:00:00-03:00,0.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-07 03:21:00-03:00,1.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-07 11:07:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-07 14:59:00-03:00,0.75,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-07 21:06:00-03:00,0.53,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-08 04:01:00-03:00,1.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-08 11:37:00-03:00,0.62,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-08 16:13:00-03:00,0.84,PUERTO DE BUENOS AIRES (Dársena F)
2024-01-08 22:21:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
