datetime,height,port
2024-04-01 06:16:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-01 11:07:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-01 18:44:00-03:00,0.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-02 00:29:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-02 06:52:00-03:00,0.63,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-02 11:50:00-03:00,1.17,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-02 19:35:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-03 01:11:00-03:00,1.06,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-03 07:39:00-03:00,0.61,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-03 12:46:00-03:00,1.2,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-03 20:40:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-04 01:59:00-03:00,1.01,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-04 08:39:00-03:00,0.58,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-04 13:55:00-03:00,1.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-04 21:56:00-03:00,0.57,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-05 02:56:00-03:00,0.97,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-05 09:46:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-05 15:17:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-05 23:17:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-06 03:59:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-06 10:56:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-06 16:46:00-03:00,1.31,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-07 00:35:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-07 05:04:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-07 12:06:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-07 18:08:00-03:00,1.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-08 01:44:00-03:00,0.6,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-08 06:05:00-03:00,0.98,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-08 13:15:00-03:00,0.35,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-08 19:18:00-03:00,1.43,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-09 02:41:00-03:00,0.61,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-09 06:59:00-03:00,1.04,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-09 14:22:00-03:00,0.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-09 20:21:00-03:00,1.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-10 03:31:00-03:00,0.62,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-10 07:48:00-03:00,1.12,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-10 15:26:00-03:00,0.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-10 21:22:00-03:00,1.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-11 04:15:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-11 08:37:00-03:00,1.19,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-11 16:26:00-03:00,0.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-11 22:22:00-03:00,1.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-12 04:55:00-03:00,0.66,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-12 09:27:00-03:00,1.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-12 17:24:00-03:00,0.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-12 23:21:00-03:00,1.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-13 05:33:00-03:00,0.67,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-13 10:19:00-03:00,1.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-04-13 18:21:00-03:00,0.3,PUERTO DE BUENOS AIRES (Dársena F)
