datetime,height,port
2024-06-01 01:32:00-03:00,0.79,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-01 08:25:00-03:00,0.34,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-01 14:20:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-01 22:07:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-02 02:27:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-02 09:32:00-03:00,0.31,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-02 15:34:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-02 23:07:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-03 03:25:00-03:00,0.85,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-03 10:41:00-03:00,0.29,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-03 16:45:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-04 00:02:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-04 04:26:00-03:00,0.92,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-04 11:51:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-04 17:51:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-05 00:52:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-05 05:24:00-03:00,1.01,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-05 13:00:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-05 18:52:00-03:00,1.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-06 01:38:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-06 06:19:00-03:00,1.11,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-06 14:06:00-03:00,0.28,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-06 19:50:00-03:00,1.16,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-07 02:22:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-07 07:11:00-03:00,1.19,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-07 15:09:00-03:00,0.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-07 20:45:00-03:00,1.09,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-08 03:04:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-08 08:02:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-08 16:09:00-03:00,0.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-08 21:39:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-09 03:46:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-09 08:53:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-09 17:07:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-09 22:30:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-10 04:27:00-03:00,0.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-10 09:47:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-10 18:02:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-10 23:18:00-03:00,0.86,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-11 05:08:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-11 10:43:00-03:00,1.19,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-11 18:54:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-12 00:01:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-12 05:48:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-12 11:40:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-12 19:40:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-13 00:39:00-03:00,0.73,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-13 06:26:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-13 12:37:00-03:00,1.08,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-13 20:21:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-14 01:14:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-14 07:01:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-14 13:34:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-14 20:59:00-03:00,0.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-15 01:47:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-15 07:36:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-15 14:30:00-03:00,0.98,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-15 21:44:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-16 02:22:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-16 08:19:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-16 15:27:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-06-16 22:35:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
