datetime,height,port
2024-11-01 01:47:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-01 07:55:00-03:00,1.15,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-01 14:56:00-03:00,0.51,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-01 20:08:00-03:00,0.88,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-02 02:32:00-03:00,0.56,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-02 08:18:00-03:00,1.13,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-02 15:19:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-02 20:29:00-03:00,0.96,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-03 03:14:00-03:00,0.57,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-03 08:40:00-03:00,1.11,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-03 15:44:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-03 20:55:00-03:00,1.03,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-04 03:53:00-03:00,0.58,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-04 09:01:00-03:00,1.08,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-04 16:07:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-04 21:24:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-05 04:33:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-05 09:25:00-03:00,1.04,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-05 16:27:00-03:00,0.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-05 21:55:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-06 05:13:00-03:00,0.6,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-06 09:54:00-03:00,1.0,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-06 16:50:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-06 22:28:00-03:00,1.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-07 05:56:00-03:00,0.6,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-07 10:30:00-03:00,0.95,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-07 17:18:00-03:00,0.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-07 23:02:00-03:00,1.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-08 06:43:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-08 11:10:00-03:00,0.9,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-08 17:53:00-03:00,0.43,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-08 23:45:00-03:00,1.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-11-09 07:38:00-03:00,0.59,PUERTO DE BUENOS AIRES (Dársena F)
