datetime,height,port
2024-02-01 00:07:00-03:00,1.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-01 07:15:00-03:00,0.68,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-01 10:43:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-01 17:25:00-03:00,0.35,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-02 00:44:00-03:00,1.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-02 07:46:00-03:00,0.68,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-02 11:21:00-03:00,0.81,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-02 18:03:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-03 01:19:00-03:00,1.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-03 08:15:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-03 12:04:00-03:00,0.82,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-03 18:47:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-04 01:52:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-04 08:46:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-04 12:54:00-03:00,0.85,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-04 19:38:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-05 02:26:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-05 09:23:00-03:00,0.68,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-05 13:54:00-03:00,0.89,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-05 20:41:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-06 03:05:00-03:00,1.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-06 10:10:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-06 15:03:00-03:00,0.96,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-06 21:57:00-03:00,0.61,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-07 03:51:00-03:00,1.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-07 11:02:00-03:00,0.6,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-07 16:16:00-03:00,1.05,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-07 23:18:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-08 04:43:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-08 11:55:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-08 17:28:00-03:00,1.17,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-09 00:40:00-03:00,0.67,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-09 05:38:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-09 12:49:00-03:00,0.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-09 18:36:00-03:00,1.29,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-10 02:01:00-03:00,0.67,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-10 06:34:00-03:00,1.05,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-10 13:44:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-10 19:42:00-03:00,1.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-11 03:17:00-03:00,0.66,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-11 07:29:00-03:00,1.01,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-11 14:41:00-03:00,0.32,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-11 20:46:00-03:00,1.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-12 04:24:00-03:00,0.65,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-12 08:22:00-03:00,0.98,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-12 15:40:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-12 21:51:00-03:00,1.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-13 05:24:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-13 09:14:00-03:00,0.97,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-13 16:38:00-03:00,0.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-13 22:57:00-03:00,1.57,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-14 06:18:00-03:00,0.64,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-14 10:07:00-03:00,0.97,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-14 17:37:00-03:00,0.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-15 00:00:00-03:00,1.58,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-15 07:07:00-03:00,0.66,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-15 11:01:00-03:00,0.99,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-15 18:35:00-03:00,0.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-16 00:59:00-03:00,1.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-16 07:54:00-03:00,0.67,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-16 11:58:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-16 19:34:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-17 01:54:00-03:00,1.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-17 08:39:00-03:00,0.68,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-17 12:58:00-03:00,1.06,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-17 20:34:00-03:00,0.35,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-18 02:47:00-03:00,1.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-18 09:25:00-03:00,0.68,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-18 14:03:00-03:00,1.08,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-18 21:37:00-03:00,0.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-19 03:40:00-03:00,1.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-19 10:14:00-03:00,0.66,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-19 15:18:00-03:00,1.09,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-19 22:45:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-20 04:34:00-03:00,1.2,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-20 11:06:00-03:00,0.63,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-20 16:49:00-03:00,1.11,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-20 23:59:00-03:00,0.63,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-21 05:31:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-21 11:59:00-03:00,0.58,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-21 18:22:00-03:00,1.15,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-22 01:19:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-22 06:26:00-03:00,1.03,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-22 12:50:00-03:00,0.53,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-22 19:32:00-03:00,1.19,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-23 02:35:00-03:00,0.71,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-23 07:12:00-03:00,0.96,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-23 13:38:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-23 20:25:00-03:00,1.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-24 03:36:00-03:00,0.72,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-24 07:45:00-03:00,0.91,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-24 14:21:00-03:00,0.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-24 21:05:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-25 04:18:00-03:00,0.72,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-25 08:09:00-03:00,0.88,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-25 15:00:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-25 21:35:00-03:00,1.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-26 04:44:00-03:00,0.72,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-26 08:29:00-03:00,0.87,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-26 15:33:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-26 22:00:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-27 05:04:00-03:00,0.71,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-27 08:52:00-03:00,0.88,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-27 16:01:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-27 22:29:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-28 05:28:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-28 09:19:00-03:00,0.89,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-28 16:24:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-28 23:01:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-29 05:54:00-03:00,0.69,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-29 09:50:00-03:00,0.91,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-29 16:49:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-02-29 23:34:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
