datetime,height,port
2024-07-01 02:09:00-03:00,0.87,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-01 09:33:00-03:00,0.21,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-01 15:35:00-03:00,1.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-01 22:35:00-03:00,0.51,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-02 03:05:00-03:00,0.93,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-02 10:39:00-03:00,0.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-02 16:39:00-03:00,1.15,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-02 23:26:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-03 04:03:00-03:00,1.0,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-03 11:47:00-03:00,0.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-03 17:41:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-04 00:15:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-04 05:04:00-03:00,1.07,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-04 12:54:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-04 18:42:00-03:00,1.05,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-05 01:04:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-05 06:03:00-03:00,1.13,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-05 14:01:00-03:00,0.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-05 19:41:00-03:00,0.99,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-06 01:51:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-06 06:59:00-03:00,1.17,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-06 15:05:00-03:00,0.34,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-06 20:35:00-03:00,0.93,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-07 02:38:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-07 07:53:00-03:00,1.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-07 16:06:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-07 21:25:00-03:00,0.87,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-08 03:24:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-08 08:45:00-03:00,1.16,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-08 17:01:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-08 22:08:00-03:00,0.81,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-09 04:09:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-09 09:37:00-03:00,1.13,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-09 17:49:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-09 22:46:00-03:00,0.76,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-10 04:51:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-10 10:29:00-03:00,1.09,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-10 18:27:00-03:00,0.43,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-10 23:19:00-03:00,0.73,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-11 05:30:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-11 11:21:00-03:00,1.05,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-11 18:53:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-11 23:50:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-12 06:04:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-12 12:12:00-03:00,1.01,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-12 19:17:00-03:00,0.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-13 00:18:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-13 06:35:00-03:00,0.34,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-13 13:02:00-03:00,0.98,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-13 19:47:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-14 00:47:00-03:00,0.7,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-14 07:08:00-03:00,0.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-14 13:50:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-14 20:21:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-15 01:19:00-03:00,0.73,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-15 07:50:00-03:00,0.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-15 14:36:00-03:00,0.91,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-15 20:58:00-03:00,0.53,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-16 01:59:00-03:00,0.76,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-16 08:40:00-03:00,0.34,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-16 15:21:00-03:00,0.88,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-16 21:34:00-03:00,0.56,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-17 02:46:00-03:00,0.81,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-17 09:38:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-17 16:04:00-03:00,0.86,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-17 22:12:00-03:00,0.57,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-18 03:39:00-03:00,0.87,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-18 10:41:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-18 16:47:00-03:00,0.85,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-18 22:56:00-03:00,0.57,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-19 04:31:00-03:00,0.94,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-19 11:45:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-19 17:31:00-03:00,0.84,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-19 23:45:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-20 05:22:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-20 12:49:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-20 18:16:00-03:00,0.83,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-21 00:38:00-03:00,0.51,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-21 06:11:00-03:00,1.1,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-21 13:52:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-21 19:04:00-03:00,0.82,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-22 01:32:00-03:00,0.47,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-22 07:01:00-03:00,1.17,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-22 14:55:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-22 19:53:00-03:00,0.81,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-23 02:28:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-23 07:54:00-03:00,1.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-23 15:57:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-23 20:43:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-24 03:26:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-24 08:52:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-24 16:56:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-24 21:34:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-25 04:25:00-03:00,0.3,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-25 09:59:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-25 17:51:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-25 22:26:00-03:00,0.81,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-26 05:25:00-03:00,0.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-26 11:12:00-03:00,1.25,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-26 18:42:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-26 23:16:00-03:00,0.84,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-27 06:25:00-03:00,0.2,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-27 12:23:00-03:00,1.24,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-27 19:30:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-28 00:07:00-03:00,0.89,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-28 07:25:00-03:00,0.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-28 13:27:00-03:00,1.22,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-28 20:17:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-29 00:58:00-03:00,0.96,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-29 08:27:00-03:00,0.17,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-29 14:27:00-03:00,1.18,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-29 21:03:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-30 01:50:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-30 09:30:00-03:00,0.19,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-30 15:26:00-03:00,1.12,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-30 21:51:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-31 02:46:00-03:00,1.07,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-31 10:36:00-03:00,0.23,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-31 16:26:00-03:00,1.04,PUERTO DE BUENOS AIRES (Dársena F)
2024-07-31 22:43:00-03:00,0.57,PUERTO DE BUENOS AIRES (Dársena F)
