datetime,height,port
2024-08-01 03:47:00-03:00,1.12,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-01 11:43:00-03:00,0.28,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-01 17:30:00-03:00,0.97,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-01 23:37:00-03:00,0.56,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-02 04:52:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-02 12:52:00-03:00,0.32,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-02 18:35:00-03:00,0.91,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-03 00:32:00-03:00,0.55,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-03 05:59:00-03:00,1.15,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-03 14:02:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-03 19:38:00-03:00,0.86,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-04 01:26:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-04 07:02:00-03:00,1.15,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-04 15:09:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-04 20:32:00-03:00,0.82,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-05 02:19:00-03:00,0.49,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-05 07:58:00-03:00,1.14,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-05 16:06:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-05 21:14:00-03:00,0.78,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-06 03:08:00-03:00,0.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-06 08:46:00-03:00,1.11,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-06 16:52:00-03:00,0.43,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-06 21:45:00-03:00,0.76,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-07 03:54:00-03:00,0.43,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-07 09:30:00-03:00,1.08,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-07 17:24:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-07 22:11:00-03:00,0.74,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-08 04:35:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-08 10:14:00-03:00,1.05,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-08 17:44:00-03:00,0.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-08 22:36:00-03:00,0.74,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-09 05:11:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-09 10:57:00-03:00,1.02,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-09 18:04:00-03:00,0.45,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-09 23:02:00-03:00,0.76,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-10 05:42:00-03:00,0.37,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-10 11:41:00-03:00,1.0,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-10 18:29:00-03:00,0.46,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-10 23:31:00-03:00,0.79,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-11 06:12:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-11 12:24:00-03:00,0.98,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-11 18:55:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-12 00:02:00-03:00,0.83,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-12 06:46:00-03:00,0.35,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-12 13:03:00-03:00,0.95,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-12 19:18:00-03:00,0.5,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-13 00:36:00-03:00,0.86,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-13 07:27:00-03:00,0.36,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-13 13:40:00-03:00,0.91,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-13 19:41:00-03:00,0.53,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-14 01:13:00-03:00,0.9,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-14 08:15:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-14 14:15:00-03:00,0.88,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-14 20:08:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-15 01:55:00-03:00,0.95,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-15 09:11:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-15 14:53:00-03:00,0.85,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-15 20:48:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-16 02:43:00-03:00,1.0,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-16 10:13:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-16 15:39:00-03:00,0.82,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-16 21:42:00-03:00,0.54,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-17 03:39:00-03:00,1.06,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-17 11:18:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-17 16:34:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-17 22:45:00-03:00,0.52,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-18 04:39:00-03:00,1.13,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-18 12:26:00-03:00,0.42,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-18 17:34:00-03:00,0.79,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-18 23:51:00-03:00,0.48,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-19 05:41:00-03:00,1.2,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-19 13:35:00-03:00,0.41,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-19 18:32:00-03:00,0.79,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-20 00:58:00-03:00,0.44,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-20 06:43:00-03:00,1.26,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-20 14:42:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-20 19:27:00-03:00,0.8,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-21 02:05:00-03:00,0.38,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-21 07:45:00-03:00,1.31,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-21 15:44:00-03:00,0.39,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-21 20:19:00-03:00,0.83,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-22 03:11:00-03:00,0.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-22 08:50:00-03:00,1.33,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-22 16:38:00-03:00,0.4,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-22 21:09:00-03:00,0.86,PUERTO DE BUENOS AIRES (Dársena F)
2024-08-23 04:16:00-03:00,0.27,PUERTO DE BUENOS AIRES (Dársena F)
