datetime,height,port
2022-04-01 03:51:00-03:00,1.07,ATALAYA
2022-04-01 10:10:00-03:00,0.32,ATALAYA
2022-04-01 17:07:00-03:00,1.42,ATALAYA
2022-04-01 23:10:00-03:00,0.57,ATALAYA
2022-04-02 04:38:00-03:00,1.12,ATALAYA
2022-04-02 11:03:00-03:00,0.27,ATALAYA
2022-04-02 18:00:00-03:00,1.4,ATALAYA
2022-04-02 23:54:00-03:00,0.58,ATALAYA
2022-04-03 05:20:00-03:00,1.16,ATALAYA
2022-04-03 11:53:00-03:00,0.26,ATALAYA
2022-04-03 18:46:00-03:00,1.35,ATALAYA
2022-04-04 00:35:00-03:00,0.6,ATALAYA
2022-04-04 05:58:00-03:00,1.19,ATALAYA
2022-04-04 12:41:00-03:00,0.27,ATALAYA
2022-04-04 19:27:00-03:00,1.29,ATALAYA
2022-04-05 01:14:00-03:00,0.62,ATALAYA
2022-04-05 06:34:00-03:00,1.2,ATALAYA
2022-04-05 13:27:00-03:00,0.32,ATALAYA
2022-04-05 20:01:00-03:00,1.21,ATALAYA
2022-04-06 01:51:00-03:00,0.65,ATALAYA
2022-04-06 07:08:00-03:00,1.2,ATALAYA
2022-04-06 14:11:00-03:00,0.39,ATALAYA
2022-04-06 20:28:00-03:00,1.13,ATALAYA
2022-04-07 02:27:00-03:00,0.67,ATALAYA
2022-04-07 07:41:00-03:00,1.19,ATALAYA
2022-04-07 14:55:00-03:00,0.46,ATALAYA
2022-04-07 20:46:00-03:00,1.06,ATALAYA
2022-04-08 03:03:00-03:00,0.69,ATALAYA
2022-04-08 08:15:00-03:00,1.17,ATALAYA
2022-04-08 15:39:00-03:00,0.54,ATALAYA
2022-04-08 21:03:00-03:00,1.01,ATALAYA
2022-04-09 03:38:00-03:00,0.71,ATALAYA
2022-04-09 08:51:00-03:00,1.15,ATALAYA
2022-04-09 16:25:00-03:00,0.6,ATALAYA
2022-04-09 21:25:00-03:00,0.98,ATALAYA
2022-04-10 04:15:00-03:00,0.71,ATALAYA
2022-04-10 09:32:00-03:00,1.13,ATALAYA
2022-04-10 17:14:00-03:00,0.65,ATALAYA
2022-04-10 21:57:00-03:00,0.96,ATALAYA
2022-04-11 04:57:00-03:00,0.71,ATALAYA
2022-04-11 10:20:00-03:00,1.12,ATALAYA
2022-04-11 18:08:00-03:00,0.68,ATALAYA
2022-04-11 22:38:00-03:00,0.95,ATALAYA
2022-04-12 05:45:00-03:00,0.7,ATALAYA
2022-04-12 11:18:00-03:00,1.13,ATALAYA
2022-04-12 19:03:00-03:00,0.69,ATALAYA
2022-04-12 23:29:00-03:00,0.94,ATALAYA
2022-04-13 06:38:00-03:00,0.66,ATALAYA
2022-04-13 12:21:00-03:00,1.15,ATALAYA
2022-04-13 19:57:00-03:00,0.68,ATALAYA
2022-04-14 00:25:00-03:00,0.96,ATALAYA
2022-04-14 07:32:00-03:00,0.6,ATALAYA
2022-04-14 13:27:00-03:00,1.19,ATALAYA
2022-04-14 20:47:00-03:00,0.66,ATALAYA
2022-04-15 01:23:00-03:00,0.99,ATALAYA
2022-04-15 08:25:00-03:00,0.53,ATALAYA
2022-04-15 14:29:00-03:00,1.24,ATALAYA
2022-04-15 21:32:00-03:00,0.63,ATALAYA
2022-04-16 02:17:00-03:00,1.05,ATALAYA
2022-04-16 09:15:00-03:00,0.44,ATALAYA
2022-04-16 15:25:00-03:00,1.29,ATALAYA
2022-04-16 22:15:00-03:00,0.61,ATALAYA
2022-04-17 03:08:00-03:00,1.12,ATALAYA
2022-04-17 10:05:00-03:00,0.35,ATALAYA
2022-04-17 16:17:00-03:00,1.33,ATALAYA
2022-04-17 22:56:00-03:00,0.6,ATALAYA
2022-04-18 03:57:00-03:00,1.2,ATALAYA
2022-04-18 10:55:00-03:00,0.28,ATALAYA
2022-04-18 17:06:00-03:00,1.34,ATALAYA
2022-04-18 23:36:00-03:00,0.58,ATALAYA
2022-04-19 04:46:00-03:00,1.28,ATALAYA
2022-04-19 11:46:00-03:00,0.23,ATALAYA
2022-04-19 17:53:00-03:00,1.32,ATALAYA
2022-04-20 00:16:00-03:00,0.57,ATALAYA
2022-04-20 05:35:00-03:00,1.34,ATALAYA
2022-04-20 12:38:00-03:00,0.21,ATALAYA
2022-04-20 18:40:00-03:00,1.28,ATALAYA
2022-04-21 00:57:00-03:00,0.57,ATALAYA
2022-04-21 06:25:00-03:00,1.4,ATALAYA
