datetime,height,port
2022-06-01 05:13:00-03:00,1.18,ATALAYA
2022-06-01 11:59:00-03:00,0.4,ATALAYA
2022-06-01 18:02:00-03:00,1.0,ATALAYA
2022-06-01 23:55:00-03:00,0.54,ATALAYA
2022-06-02 05:43:00-03:00,1.19,ATALAYA
2022-06-02 12:41:00-03:00,0.44,ATALAYA
2022-06-02 18:14:00-03:00,0.96,ATALAYA
2022-06-03 00:26:00-03:00,0.55,ATALAYA
2022-06-03 06:12:00-03:00,1.19,ATALAYA
2022-06-03 13:21:00-03:00,0.49,ATALAYA
2022-06-03 18:27:00-03:00,0.93,ATALAYA
2022-06-04 00:56:00-03:00,0.55,ATALAYA
2022-06-04 06:42:00-03:00,1.19,ATALAYA
2022-06-04 14:01:00-03:00,0.53,ATALAYA
2022-06-04 18:49:00-03:00,0.92,ATALAYA
2022-06-05 01:25:00-03:00,0.55,ATALAYA
2022-06-05 07:16:00-03:00,1.2,ATALAYA
2022-06-05 14:41:00-03:00,0.56,ATALAYA
2022-06-05 19:19:00-03:00,0.91,ATALAYA
2022-06-06 01:54:00-03:00,0.55,ATALAYA
2022-06-06 07:55:00-03:00,1.21,ATALAYA
2022-06-06 15:23:00-03:00,0.58,ATALAYA
2022-06-06 19:55:00-03:00,0.92,ATALAYA
2022-06-07 02:28:00-03:00,0.54,ATALAYA
2022-06-07 08:39:00-03:00,1.22,ATALAYA
2022-06-07 16:08:00-03:00,0.59,ATALAYA
2022-06-07 20:39:00-03:00,0.92,ATALAYA
2022-06-08 03:11:00-03:00,0.52,ATALAYA
2022-06-08 09:30:00-03:00,1.22,ATALAYA
2022-06-08 16:57:00-03:00,0.6,ATALAYA
2022-06-08 21:28:00-03:00,0.93,ATALAYA
2022-06-09 04:07:00-03:00,0.49,ATALAYA
2022-06-09 10:26:00-03:00,1.22,ATALAYA
2022-06-09 17:48:00-03:00,0.6,ATALAYA
2022-06-09 22:22:00-03:00,0.95,ATALAYA
2022-06-10 05:12:00-03:00,0.46,ATALAYA
2022-06-10 11:26:00-03:00,1.22,ATALAYA
2022-06-10 18:39:00-03:00,0.6,ATALAYA
2022-06-10 23:21:00-03:00,0.99,ATALAYA
2022-06-11 06:19:00-03:00,0.42,ATALAYA
2022-06-11 12:28:00-03:00,1.21,ATALAYA
2022-06-11 19:28:00-03:00,0.59,ATALAYA
2022-06-12 00:21:00-03:00,1.05,ATALAYA
2022-06-12 07:25:00-03:00,0.37,ATALAYA
2022-06-12 13:29:00-03:00,1.2,ATALAYA
2022-06-12 20:16:00-03:00,0.57,ATALAYA
2022-06-13 01:22:00-03:00,1.13,ATALAYA
2022-06-13 08:28:00-03:00,0.32,ATALAYA
2022-06-13 14:29:00-03:00,1.18,ATALAYA
2022-06-13 21:02:00-03:00,0.54,ATALAYA
2022-06-14 02:21:00-03:00,1.21,ATALAYA
2022-06-14 09:30:00-03:00,0.27,ATALAYA
2022-06-14 15:25:00-03:00,1.15,ATALAYA
2022-06-14 21:47:00-03:00,0.51,ATALAYA
2022-06-15 03:20:00-03:00,1.29,ATALAYA
2022-06-15 10:30:00-03:00,0.25,ATALAYA
2022-06-15 16:18:00-03:00,1.11,ATALAYA
2022-06-15 22:33:00-03:00,0.47,ATALAYA
2022-06-16 04:18:00-03:00,1.37,ATALAYA
2022-06-16 11:29:00-03:00,0.24,ATALAYA
2022-06-16 17:09:00-03:00,1.07,ATALAYA
2022-06-16 23:20:00-03:00,0.44,ATALAYA
2022-06-17 05:17:00-03:00,1.42,ATALAYA
2022-06-17 12:28:00-03:00,0.26,ATALAYA
2022-06-17 17:58:00-03:00,1.02,ATALAYA
2022-06-18 00:09:00-03:00,0.4,ATALAYA
2022-06-18 06:16:00-03:00,1.45,ATALAYA
2022-06-18 13:27:00-03:00,0.3,ATALAYA
2022-06-18 18:47:00-03:00,0.98,ATALAYA
2022-06-19 01:01:00-03:00,0.37,ATALAYA
2022-06-19 07:18:00-03:00,1.45,ATALAYA
2022-06-19 14:26:00-03:00,0.35,ATALAYA
2022-06-19 19:36:00-03:00,0.95,ATALAYA
2022-06-20 01:57:00-03:00,0.35,ATALAYA
2022-06-20 08:21:00-03:00,1.42,ATALAYA
2022-06-20 15:25:00-03:00,0.41,ATALAYA
2022-06-20 20:28:00-03:00,0.93,ATALAYA
2022-06-21 02:56:00-03:00,0.33,ATALAYA
2022-06-21 09:29:00-03:00,1.37,ATALAYA
2022-06-21 16:24:00-03:00,0.46,ATALAYA
2022-06-21 21:24:00-03:00,0.92,ATALAYA
2022-06-22 03:59:00-03:00,0.33,ATALAYA
2022-06-22 10:40:00-03:00,1.32,ATALAYA
2022-06-22 17:22:00-03:00,0.51,ATALAYA
2022-06-22 22:26:00-03:00,0.94,ATALAYA
2022-06-23 05:04:00-03:00,0.33,ATALAYA
2022-06-23 11:54:00-03:00,1.26,ATALAYA
2022-06-23 18:17:00-03:00,0.53,ATALAYA
2022-06-23 23:32:00-03:00,0.96,ATALAYA
2022-06-24 06:10:00-03:00,0.34,ATALAYA
2022-06-24 13:05:00-03:00,1.2,ATALAYA
2022-06-24 19:09:00-03:00,0.55,ATALAYA
2022-06-25 00:40:00-03:00,1.0,ATALAYA
2022-06-25 07:14:00-03:00,0.35,ATALAYA
2022-06-25 14:10:00-03:00,1.15,ATALAYA
2022-06-25 19:58:00-03:00,0.56,ATALAYA
2022-06-26 01:45:00-03:00,1.04,ATALAYA
2022-06-26 08:15:00-03:00,0.36,ATALAYA
2022-06-26 15:07:00-03:00,1.09,ATALAYA
2022-06-26 20:43:00-03:00,0.55,ATALAYA
2022-06-27 02:42:00-03:00,1.08,ATALAYA
2022-06-27 09:12:00-03:00,0.38,ATALAYA
2022-06-27 15:55:00-03:00,1.03,ATALAYA
2022-06-27 21:26:00-03:00,0.55,ATALAYA
2022-06-28 03:31:00-03:00,1.12,ATALAYA
2022-06-28 10:04:00-03:00,0.41,ATALAYA
2022-06-28 16:33:00-03:00,0.98,ATALAYA
2022-06-28 22:05:00-03:00,0.54,ATALAYA
2022-06-29 04:12:00-03:00,1.14,ATALAYA
2022-06-29 10:52:00-03:00,0.44,ATALAYA
2022-06-29 16:57:00-03:00,0.93,ATALAYA
2022-06-29 22:41:00-03:00,0.53,ATALAYA
2022-06-30 04:45:00-03:00,1.15,ATALAYA
2022-06-30 11:36:00-03:00,0.47,ATALAYA
2022-06-30 17:06:00-03:00,0.9,ATALAYA
2022-06-30 23:15:00-03:00,0.52,ATALAYA
