datetime,height,port
2022-08-01 05:48:00-03:00,1.24,ATALAYA
2022-08-01 13:02:00-03:00,0.51,ATALAYA
2022-08-01 17:43:00-03:00,0.92,ATALAYA
2022-08-02 00:18:00-03:00,0.43,ATALAYA
2022-08-02 06:28:00-03:00,1.28,ATALAYA
2022-08-02 13:39:00-03:00,0.51,ATALAYA
2022-08-02 18:23:00-03:00,0.96,ATALAYA
2022-08-03 00:58:00-03:00,0.39,ATALAYA
2022-08-03 07:11:00-03:00,1.3,ATALAYA
2022-08-03 14:16:00-03:00,0.51,ATALAYA
2022-08-03 19:06:00-03:00,1.0,ATALAYA
2022-08-04 01:42:00-03:00,0.36,ATALAYA
2022-08-04 07:56:00-03:00,1.3,ATALAYA
2022-08-04 14:55:00-03:00,0.52,ATALAYA
2022-08-04 19:51:00-03:00,1.05,ATALAYA
2022-08-05 02:33:00-03:00,0.33,ATALAYA
2022-08-05 08:45:00-03:00,1.27,ATALAYA
2022-08-05 15:36:00-03:00,0.53,ATALAYA
2022-08-05 20:40:00-03:00,1.1,ATALAYA
2022-08-06 03:30:00-03:00,0.32,ATALAYA
2022-08-06 09:36:00-03:00,1.23,ATALAYA
2022-08-06 16:20:00-03:00,0.54,ATALAYA
2022-08-06 21:33:00-03:00,1.14,ATALAYA
2022-08-07 04:34:00-03:00,0.33,ATALAYA
2022-08-07 10:30:00-03:00,1.16,ATALAYA
2022-08-07 17:08:00-03:00,0.55,ATALAYA
2022-08-07 22:31:00-03:00,1.19,ATALAYA
2022-08-08 05:43:00-03:00,0.34,ATALAYA
2022-08-08 11:28:00-03:00,1.09,ATALAYA
2022-08-08 18:00:00-03:00,0.55,ATALAYA
2022-08-08 23:34:00-03:00,1.23,ATALAYA
2022-08-09 06:56:00-03:00,0.34,ATALAYA
2022-08-09 12:31:00-03:00,1.02,ATALAYA
2022-08-09 18:56:00-03:00,0.53,ATALAYA
2022-08-10 00:43:00-03:00,1.28,ATALAYA
2022-08-10 08:09:00-03:00,0.34,ATALAYA
2022-08-10 13:37:00-03:00,0.96,ATALAYA
2022-08-10 19:55:00-03:00,0.49,ATALAYA
2022-08-11 01:56:00-03:00,1.33,ATALAYA
2022-08-11 09:18:00-03:00,0.34,ATALAYA
2022-08-11 14:43:00-03:00,0.92,ATALAYA
2022-08-11 20:55:00-03:00,0.44,ATALAYA
2022-08-12 03:10:00-03:00,1.38,ATALAYA
2022-08-12 10:23:00-03:00,0.33,ATALAYA
2022-08-12 15:47:00-03:00,0.91,ATALAYA
2022-08-12 21:54:00-03:00,0.38,ATALAYA
2022-08-13 04:20:00-03:00,1.42,ATALAYA
2022-08-13 11:22:00-03:00,0.34,ATALAYA
2022-08-13 16:44:00-03:00,0.92,ATALAYA
2022-08-13 22:51:00-03:00,0.32,ATALAYA
2022-08-14 05:25:00-03:00,1.45,ATALAYA
2022-08-14 12:16:00-03:00,0.35,ATALAYA
2022-08-14 17:36:00-03:00,0.94,ATALAYA
2022-08-14 23:47:00-03:00,0.27,ATALAYA
2022-08-15 06:24:00-03:00,1.45,ATALAYA
2022-08-15 13:06:00-03:00,0.38,ATALAYA
2022-08-15 18:24:00-03:00,0.97,ATALAYA
2022-08-16 00:42:00-03:00,0.24,ATALAYA
2022-08-16 07:20:00-03:00,1.41,ATALAYA
2022-08-16 13:54:00-03:00,0.41,ATALAYA
2022-08-16 19:11:00-03:00,1.01,ATALAYA
2022-08-17 01:37:00-03:00,0.23,ATALAYA
2022-08-17 08:13:00-03:00,1.35,ATALAYA
2022-08-17 14:39:00-03:00,0.45,ATALAYA
2022-08-17 19:57:00-03:00,1.04,ATALAYA
2022-08-18 02:32:00-03:00,0.26,ATALAYA
2022-08-18 09:04:00-03:00,1.26,ATALAYA
2022-08-18 15:23:00-03:00,0.49,ATALAYA
2022-08-18 20:44:00-03:00,1.07,ATALAYA
2022-08-19 03:28:00-03:00,0.3,ATALAYA
2022-08-19 09:53:00-03:00,1.16,ATALAYA
2022-08-19 16:07:00-03:00,0.52,ATALAYA
2022-08-19 21:33:00-03:00,1.08,ATALAYA
2022-08-20 04:26:00-03:00,0.36,ATALAYA
2022-08-20 10:42:00-03:00,1.06,ATALAYA
2022-08-20 16:51:00-03:00,0.55,ATALAYA
2022-08-20 22:24:00-03:00,1.09,ATALAYA
2022-08-21 05:25:00-03:00,0.43,ATALAYA
2022-08-21 11:29:00-03:00,0.97,ATALAYA
2022-08-21 17:35:00-03:00,0.58,ATALAYA
2022-08-21 23:19:00-03:00,1.08,ATALAYA
2022-08-22 06:26:00-03:00,0.49,ATALAYA
2022-08-22 12:17:00-03:00,0.89,ATALAYA
2022-08-22 18:21:00-03:00,0.59,ATALAYA
2022-08-23 00:18:00-03:00,1.08,ATALAYA
2022-08-23 07:27:00-03:00,0.54,ATALAYA
2022-08-23 13:02:00-03:00,0.84,ATALAYA
2022-08-23 19:08:00-03:00,0.6,ATALAYA
2022-08-24 01:17:00-03:00,1.09,ATALAYA
2022-08-24 08:26:00-03:00,0.56,ATALAYA
2022-08-24 13:38:00-03:00,0.8,ATALAYA
2022-08-24 19:53:00-03:00,0.6,ATALAYA
2022-08-25 02:10:00-03:00,1.1,ATALAYA
2022-08-25 09:19:00-03:00,0.57,ATALAYA
2022-08-25 14:08:00-03:00,0.79,ATALAYA
2022-08-25 20:37:00-03:00,0.59,ATALAYA
2022-08-26 02:51:00-03:00,1.12,ATALAYA
2022-08-26 10:04:00-03:00,0.56,ATALAYA
2022-08-26 14:41:00-03:00,0.8,ATALAYA
2022-08-26 21:17:00-03:00,0.56,ATALAYA
2022-08-27 03:27:00-03:00,1.16,ATALAYA
2022-08-27 10:44:00-03:00,0.55,ATALAYA
2022-08-27 15:18:00-03:00,0.82,ATALAYA
