datetime,height,port
2022-05-01 00:05:00-03:00,0.34,BAHÍA AGUIRRE
2022-05-01 06:31:00-03:00,1.86,BAHÍA AGUIRRE
2022-05-01 12:32:00-03:00,0.62,BAHÍA AGUIRRE
2022-05-01 18:24:00-03:00,1.77,BAHÍA AGUIRRE
2022-05-02 00:47:00-03:00,0.27,BAHÍA AGUIRRE
2022-05-02 07:15:00-03:00,1.81,BAHÍA AGUIRRE
2022-05-02 13:05:00-03:00,0.7,BAHÍA AGUIRRE
2022-05-02 18:54:00-03:00,1.8,BAHÍA AGUIRRE
2022-05-03 01:27:00-03:00,0.24,BAHÍA AGUIRRE
2022-05-03 07:58:00-03:00,1.73,BAHÍA AGUIRRE
2022-05-03 13:35:00-03:00,0.79,BAHÍA AGUIRRE
2022-05-03 19:24:00-03:00,1.82,BAHÍA AGUIRRE
2022-05-04 02:07:00-03:00,0.24,BAHÍA AGUIRRE
2022-05-04 08:39:00-03:00,1.63,BAHÍA AGUIRRE
2022-05-04 14:03:00-03:00,0.87,BAHÍA AGUIRRE
2022-05-04 19:54:00-03:00,1.82,BAHÍA AGUIRRE
2022-05-05 02:47:00-03:00,0.28,BAHÍA AGUIRRE
2022-05-05 09:21:00-03:00,1.52,BAHÍA AGUIRRE
2022-05-05 14:30:00-03:00,0.94,BAHÍA AGUIRRE
2022-05-05 20:27:00-03:00,1.81,BAHÍA AGUIRRE
2022-05-06 03:30:00-03:00,0.34,BAHÍA AGUIRRE
2022-05-06 10:05:00-03:00,1.42,BAHÍA AGUIRRE
2022-05-06 14:57:00-03:00,0.99,BAHÍA AGUIRRE
2022-05-06 21:03:00-03:00,1.78,BAHÍA AGUIRRE
2022-05-07 04:17:00-03:00,0.42,BAHÍA AGUIRRE
2022-05-07 10:53:00-03:00,1.33,BAHÍA AGUIRRE
2022-05-07 15:31:00-03:00,1.02,BAHÍA AGUIRRE
2022-05-07 21:46:00-03:00,1.74,BAHÍA AGUIRRE
2022-05-08 05:10:00-03:00,0.5,BAHÍA AGUIRRE
2022-05-08 11:48:00-03:00,1.27,BAHÍA AGUIRRE
