datetime,height,port
2022-06-01 01:11:00-03:00,0.23,BAHÍA AGUIRRE
2022-06-01 07:46:00-03:00,1.59,BAHÍA AGUIRRE
2022-06-01 13:00:00-03:00,0.91,BAHÍA AGUIRRE
2022-06-01 18:53:00-03:00,1.86,BAHÍA AGUIRRE
2022-06-02 01:52:00-03:00,0.23,BAHÍA AGUIRRE
2022-06-02 08:26:00-03:00,1.52,BAHÍA AGUIRRE
2022-06-02 13:29:00-03:00,0.94,BAHÍA AGUIRRE
2022-06-02 19:28:00-03:00,1.87,BAHÍA AGUIRRE
2022-06-03 02:32:00-03:00,0.27,BAHÍA AGUIRRE
2022-06-03 09:05:00-03:00,1.45,BAHÍA AGUIRRE
2022-06-03 13:59:00-03:00,0.95,BAHÍA AGUIRRE
2022-06-03 20:04:00-03:00,1.87,BAHÍA AGUIRRE
2022-06-04 03:13:00-03:00,0.33,BAHÍA AGUIRRE
2022-06-04 09:43:00-03:00,1.39,BAHÍA AGUIRRE
2022-06-04 14:32:00-03:00,0.95,BAHÍA AGUIRRE
2022-06-04 20:45:00-03:00,1.84,BAHÍA AGUIRRE
2022-06-05 03:56:00-03:00,0.4,BAHÍA AGUIRRE
2022-06-05 10:22:00-03:00,1.35,BAHÍA AGUIRRE
2022-06-05 15:13:00-03:00,0.94,BAHÍA AGUIRRE
2022-06-05 21:32:00-03:00,1.79,BAHÍA AGUIRRE
2022-06-06 04:42:00-03:00,0.48,BAHÍA AGUIRRE
2022-06-06 11:04:00-03:00,1.33,BAHÍA AGUIRRE
2022-06-06 16:05:00-03:00,0.92,BAHÍA AGUIRRE
2022-06-06 22:27:00-03:00,1.73,BAHÍA AGUIRRE
2022-06-07 05:31:00-03:00,0.57,BAHÍA AGUIRRE
2022-06-07 11:49:00-03:00,1.34,BAHÍA AGUIRRE
2022-06-07 17:08:00-03:00,0.88,BAHÍA AGUIRRE
2022-06-07 23:31:00-03:00,1.67,BAHÍA AGUIRRE
2022-06-08 06:25:00-03:00,0.64,BAHÍA AGUIRRE
2022-06-08 12:38:00-03:00,1.39,BAHÍA AGUIRRE
2022-06-08 18:20:00-03:00,0.82,BAHÍA AGUIRRE
2022-06-09 00:43:00-03:00,1.62,BAHÍA AGUIRRE
2022-06-09 07:20:00-03:00,0.7,BAHÍA AGUIRRE
2022-06-09 13:29:00-03:00,1.46,BAHÍA AGUIRRE
2022-06-09 19:33:00-03:00,0.72,BAHÍA AGUIRRE
2022-06-10 01:57:00-03:00,1.6,BAHÍA AGUIRRE
2022-06-10 08:14:00-03:00,0.73,BAHÍA AGUIRRE
2022-06-10 14:19:00-03:00,1.56,BAHÍA AGUIRRE
2022-06-10 20:41:00-03:00,0.59,BAHÍA AGUIRRE
2022-06-11 03:06:00-03:00,1.61,BAHÍA AGUIRRE
2022-06-11 09:05:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-11 15:08:00-03:00,1.67,BAHÍA AGUIRRE
2022-06-11 21:41:00-03:00,0.45,BAHÍA AGUIRRE
2022-06-12 04:08:00-03:00,1.63,BAHÍA AGUIRRE
2022-06-12 09:54:00-03:00,0.76,BAHÍA AGUIRRE
2022-06-12 15:55:00-03:00,1.79,BAHÍA AGUIRRE
2022-06-12 22:37:00-03:00,0.31,BAHÍA AGUIRRE
2022-06-13 05:04:00-03:00,1.65,BAHÍA AGUIRRE
2022-06-13 10:41:00-03:00,0.76,BAHÍA AGUIRRE
2022-06-13 16:42:00-03:00,1.9,BAHÍA AGUIRRE
2022-06-13 23:28:00-03:00,0.19,BAHÍA AGUIRRE
2022-06-14 05:56:00-03:00,1.67,BAHÍA AGUIRRE
2022-06-14 11:26:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-14 17:28:00-03:00,1.99,BAHÍA AGUIRRE
2022-06-15 00:18:00-03:00,0.11,BAHÍA AGUIRRE
2022-06-15 06:46:00-03:00,1.68,BAHÍA AGUIRRE
2022-06-15 12:10:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-15 18:14:00-03:00,2.06,BAHÍA AGUIRRE
2022-06-16 01:07:00-03:00,0.06,BAHÍA AGUIRRE
2022-06-16 07:34:00-03:00,1.67,BAHÍA AGUIRRE
2022-06-16 12:55:00-03:00,0.74,BAHÍA AGUIRRE
2022-06-16 19:01:00-03:00,2.09,BAHÍA AGUIRRE
2022-06-17 01:55:00-03:00,0.06,BAHÍA AGUIRRE
2022-06-17 08:21:00-03:00,1.64,BAHÍA AGUIRRE
2022-06-17 13:42:00-03:00,0.74,BAHÍA AGUIRRE
2022-06-17 19:49:00-03:00,2.09,BAHÍA AGUIRRE
2022-06-18 02:44:00-03:00,0.09,BAHÍA AGUIRRE
2022-06-18 09:09:00-03:00,1.61,BAHÍA AGUIRRE
2022-06-18 14:30:00-03:00,0.74,BAHÍA AGUIRRE
2022-06-18 20:40:00-03:00,2.05,BAHÍA AGUIRRE
2022-06-19 03:34:00-03:00,0.16,BAHÍA AGUIRRE
2022-06-19 09:58:00-03:00,1.58,BAHÍA AGUIRRE
2022-06-19 15:21:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-19 21:33:00-03:00,1.98,BAHÍA AGUIRRE
2022-06-20 04:26:00-03:00,0.26,BAHÍA AGUIRRE
2022-06-20 10:49:00-03:00,1.55,BAHÍA AGUIRRE
2022-06-20 16:17:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-20 22:31:00-03:00,1.89,BAHÍA AGUIRRE
2022-06-21 05:21:00-03:00,0.38,BAHÍA AGUIRRE
2022-06-21 11:41:00-03:00,1.53,BAHÍA AGUIRRE
2022-06-21 17:19:00-03:00,0.75,BAHÍA AGUIRRE
2022-06-21 23:34:00-03:00,1.79,BAHÍA AGUIRRE
2022-06-22 06:17:00-03:00,0.5,BAHÍA AGUIRRE
2022-06-22 12:34:00-03:00,1.52,BAHÍA AGUIRRE
2022-06-22 18:26:00-03:00,0.72,BAHÍA AGUIRRE
2022-06-23 00:44:00-03:00,1.7,BAHÍA AGUIRRE
2022-06-23 07:15:00-03:00,0.61,BAHÍA AGUIRRE
2022-06-23 13:28:00-03:00,1.54,BAHÍA AGUIRRE
2022-06-23 19:35:00-03:00,0.67,BAHÍA AGUIRRE
2022-06-24 01:57:00-03:00,1.63,BAHÍA AGUIRRE
2022-06-24 08:13:00-03:00,0.71,BAHÍA AGUIRRE
2022-06-24 14:20:00-03:00,1.57,BAHÍA AGUIRRE
2022-06-24 20:42:00-03:00,0.59,BAHÍA AGUIRRE
2022-06-25 03:10:00-03:00,1.6,BAHÍA AGUIRRE
2022-06-25 09:09:00-03:00,0.79,BAHÍA AGUIRRE
2022-06-25 15:08:00-03:00,1.62,BAHÍA AGUIRRE
2022-06-25 21:44:00-03:00,0.49,BAHÍA AGUIRRE
2022-06-26 04:17:00-03:00,1.58,BAHÍA AGUIRRE
2022-06-26 09:59:00-03:00,0.86,BAHÍA AGUIRRE
2022-06-26 15:53:00-03:00,1.67,BAHÍA AGUIRRE
2022-06-26 22:40:00-03:00,0.4,BAHÍA AGUIRRE
2022-06-27 05:16:00-03:00,1.56,BAHÍA AGUIRRE
2022-06-27 10:43:00-03:00,0.91,BAHÍA AGUIRRE
2022-06-27 16:35:00-03:00,1.73,BAHÍA AGUIRRE
2022-06-27 23:30:00-03:00,0.33,BAHÍA AGUIRRE
2022-06-28 06:08:00-03:00,1.54,BAHÍA AGUIRRE
2022-06-28 11:22:00-03:00,0.94,BAHÍA AGUIRRE
2022-06-28 17:15:00-03:00,1.79,BAHÍA AGUIRRE
2022-06-29 00:15:00-03:00,0.28,BAHÍA AGUIRRE
2022-06-29 06:53:00-03:00,1.52,BAHÍA AGUIRRE
2022-06-29 11:58:00-03:00,0.96,BAHÍA AGUIRRE
2022-06-29 17:54:00-03:00,1.85,BAHÍA AGUIRRE
2022-06-30 00:58:00-03:00,0.25,BAHÍA AGUIRRE
2022-06-30 07:33:00-03:00,1.48,BAHÍA AGUIRRE
2022-06-30 12:31:00-03:00,0.95,BAHÍA AGUIRRE
2022-06-30 18:32:00-03:00,1.89,BAHÍA AGUIRRE
