datetime,height,port
2022-04-01 00:06:00-03:00,0.44,BAHÍA BUEN SUCESO
2022-04-01 06:19:00-03:00,2.23,BAHÍA BUEN SUCESO
2022-04-01 12:35:00-03:00,0.38,BAHÍA BUEN SUCESO
2022-04-01 18:41:00-03:00,2.11,BAHÍA BUEN SUCESO
2022-04-02 00:48:00-03:00,0.38,BAHÍA BUEN SUCESO
2022-04-02 07:03:00-03:00,2.22,BAHÍA BUEN SUCESO
2022-04-02 13:14:00-03:00,0.45,BAHÍA BUEN SUCESO
2022-04-02 19:18:00-03:00,2.11,BAHÍA BUEN SUCESO
2022-04-03 01:29:00-03:00,0.35,BAHÍA BUEN SUCESO
2022-04-03 07:46:00-03:00,2.17,BAHÍA BUEN SUCESO
2022-04-03 13:52:00-03:00,0.54,BAHÍA BUEN SUCESO
2022-04-03 19:52:00-03:00,2.08,BAHÍA BUEN SUCESO
2022-04-04 02:08:00-03:00,0.36,BAHÍA BUEN SUCESO
2022-04-04 08:28:00-03:00,2.08,BAHÍA BUEN SUCESO
2022-04-04 14:28:00-03:00,0.65,BAHÍA BUEN SUCESO
2022-04-04 20:26:00-03:00,2.04,BAHÍA BUEN SUCESO
2022-04-05 02:48:00-03:00,0.39,BAHÍA BUEN SUCESO
2022-04-05 09:10:00-03:00,1.98,BAHÍA BUEN SUCESO
2022-04-05 15:03:00-03:00,0.77,BAHÍA BUEN SUCESO
2022-04-05 21:01:00-03:00,1.98,BAHÍA BUEN SUCESO
2022-04-06 03:30:00-03:00,0.45,BAHÍA BUEN SUCESO
2022-04-06 09:55:00-03:00,1.86,BAHÍA BUEN SUCESO
2022-04-06 15:40:00-03:00,0.88,BAHÍA BUEN SUCESO
2022-04-06 21:37:00-03:00,1.92,BAHÍA BUEN SUCESO
2022-04-07 04:15:00-03:00,0.52,BAHÍA BUEN SUCESO
2022-04-07 10:43:00-03:00,1.75,BAHÍA BUEN SUCESO
