datetime,height,port
2022-06-01 01:28:00-03:00,0.23,BAHÍA BUEN SUCESO
2022-06-01 07:56:00-03:00,1.87,BAHÍA BUEN SUCESO
2022-06-01 13:23:00-03:00,0.92,BAHÍA BUEN SUCESO
2022-06-01 19:18:00-03:00,2.13,BAHÍA BUEN SUCESO
2022-06-02 02:06:00-03:00,0.25,BAHÍA BUEN SUCESO
2022-06-02 08:36:00-03:00,1.83,BAHÍA BUEN SUCESO
2022-06-02 13:59:00-03:00,0.96,BAHÍA BUEN SUCESO
2022-06-02 19:53:00-03:00,2.09,BAHÍA BUEN SUCESO
2022-06-03 02:44:00-03:00,0.29,BAHÍA BUEN SUCESO
2022-06-03 09:16:00-03:00,1.8,BAHÍA BUEN SUCESO
2022-06-03 14:37:00-03:00,0.99,BAHÍA BUEN SUCESO
2022-06-03 20:31:00-03:00,2.04,BAHÍA BUEN SUCESO
2022-06-04 03:23:00-03:00,0.35,BAHÍA BUEN SUCESO
2022-06-04 09:58:00-03:00,1.77,BAHÍA BUEN SUCESO
2022-06-04 15:21:00-03:00,1.01,BAHÍA BUEN SUCESO
2022-06-04 21:14:00-03:00,1.98,BAHÍA BUEN SUCESO
2022-06-05 04:06:00-03:00,0.42,BAHÍA BUEN SUCESO
2022-06-05 10:42:00-03:00,1.76,BAHÍA BUEN SUCESO
2022-06-05 16:12:00-03:00,1.02,BAHÍA BUEN SUCESO
2022-06-05 22:04:00-03:00,1.9,BAHÍA BUEN SUCESO
2022-06-06 04:52:00-03:00,0.49,BAHÍA BUEN SUCESO
2022-06-06 11:30:00-03:00,1.77,BAHÍA BUEN SUCESO
2022-06-06 17:11:00-03:00,1.0,BAHÍA BUEN SUCESO
2022-06-06 23:02:00-03:00,1.82,BAHÍA BUEN SUCESO
2022-06-07 05:43:00-03:00,0.56,BAHÍA BUEN SUCESO
2022-06-07 12:21:00-03:00,1.81,BAHÍA BUEN SUCESO
2022-06-07 18:17:00-03:00,0.94,BAHÍA BUEN SUCESO
2022-06-08 00:09:00-03:00,1.77,BAHÍA BUEN SUCESO
2022-06-08 06:37:00-03:00,0.62,BAHÍA BUEN SUCESO
2022-06-08 13:13:00-03:00,1.87,BAHÍA BUEN SUCESO
2022-06-08 19:25:00-03:00,0.84,BAHÍA BUEN SUCESO
2022-06-09 01:21:00-03:00,1.74,BAHÍA BUEN SUCESO
2022-06-09 07:34:00-03:00,0.67,BAHÍA BUEN SUCESO
2022-06-09 14:05:00-03:00,1.95,BAHÍA BUEN SUCESO
2022-06-09 20:29:00-03:00,0.71,BAHÍA BUEN SUCESO
2022-06-10 02:31:00-03:00,1.76,BAHÍA BUEN SUCESO
2022-06-10 08:31:00-03:00,0.69,BAHÍA BUEN SUCESO
2022-06-10 14:55:00-03:00,2.05,BAHÍA BUEN SUCESO
2022-06-10 21:26:00-03:00,0.55,BAHÍA BUEN SUCESO
2022-06-11 03:35:00-03:00,1.81,BAHÍA BUEN SUCESO
2022-06-11 09:25:00-03:00,0.69,BAHÍA BUEN SUCESO
2022-06-11 15:43:00-03:00,2.16,BAHÍA BUEN SUCESO
2022-06-11 22:19:00-03:00,0.39,BAHÍA BUEN SUCESO
2022-06-12 04:33:00-03:00,1.87,BAHÍA BUEN SUCESO
2022-06-12 10:16:00-03:00,0.69,BAHÍA BUEN SUCESO
2022-06-12 16:29:00-03:00,2.25,BAHÍA BUEN SUCESO
2022-06-12 23:08:00-03:00,0.24,BAHÍA BUEN SUCESO
