datetime,height,port
2022-07-01 01:46:00-03:00,0.25,BAHÍA BUEN SUCESO
2022-07-01 08:13:00-03:00,1.8,BAHÍA BUEN SUCESO
2022-07-01 13:33:00-03:00,0.93,BAHÍA BUEN SUCESO
2022-07-01 19:33:00-03:00,2.15,BAHÍA BUEN SUCESO
2022-07-02 02:23:00-03:00,0.27,BAHÍA BUEN SUCESO
2022-07-02 08:50:00-03:00,1.81,BAHÍA BUEN SUCESO
2022-07-02 14:13:00-03:00,0.92,BAHÍA BUEN SUCESO
2022-07-02 20:13:00-03:00,2.12,BAHÍA BUEN SUCESO
2022-07-03 03:00:00-03:00,0.31,BAHÍA BUEN SUCESO
2022-07-03 09:27:00-03:00,1.82,BAHÍA BUEN SUCESO
2022-07-03 14:57:00-03:00,0.9,BAHÍA BUEN SUCESO
2022-07-03 20:56:00-03:00,2.06,BAHÍA BUEN SUCESO
2022-07-04 03:39:00-03:00,0.37,BAHÍA BUEN SUCESO
2022-07-04 10:06:00-03:00,1.84,BAHÍA BUEN SUCESO
2022-07-04 15:45:00-03:00,0.88,BAHÍA BUEN SUCESO
2022-07-04 21:43:00-03:00,1.99,BAHÍA BUEN SUCESO
2022-07-05 04:21:00-03:00,0.44,BAHÍA BUEN SUCESO
2022-07-05 10:49:00-03:00,1.87,BAHÍA BUEN SUCESO
2022-07-05 16:40:00-03:00,0.85,BAHÍA BUEN SUCESO
2022-07-05 22:37:00-03:00,1.9,BAHÍA BUEN SUCESO
2022-07-06 05:06:00-03:00,0.52,BAHÍA BUEN SUCESO
2022-07-06 11:36:00-03:00,1.91,BAHÍA BUEN SUCESO
2022-07-06 17:41:00-03:00,0.81,BAHÍA BUEN SUCESO
2022-07-06 23:38:00-03:00,1.82,BAHÍA BUEN SUCESO
2022-07-07 05:57:00-03:00,0.6,BAHÍA BUEN SUCESO
2022-07-07 12:27:00-03:00,1.95,BAHÍA BUEN SUCESO
2022-07-07 18:47:00-03:00,0.74,BAHÍA BUEN SUCESO
2022-07-08 00:46:00-03:00,1.76,BAHÍA BUEN SUCESO
2022-07-08 06:52:00-03:00,0.67,BAHÍA BUEN SUCESO
2022-07-08 13:22:00-03:00,2.02,BAHÍA BUEN SUCESO
2022-07-08 19:54:00-03:00,0.64,BAHÍA BUEN SUCESO
2022-07-09 01:58:00-03:00,1.73,BAHÍA BUEN SUCESO
2022-07-09 07:51:00-03:00,0.72,BAHÍA BUEN SUCESO
2022-07-09 14:17:00-03:00,2.09,BAHÍA BUEN SUCESO
2022-07-09 20:57:00-03:00,0.52,BAHÍA BUEN SUCESO
2022-07-10 03:07:00-03:00,1.75,BAHÍA BUEN SUCESO
2022-07-10 08:51:00-03:00,0.74,BAHÍA BUEN SUCESO
2022-07-10 15:12:00-03:00,2.18,BAHÍA BUEN SUCESO
2022-07-10 21:57:00-03:00,0.38,BAHÍA BUEN SUCESO
2022-07-11 04:11:00-03:00,1.8,BAHÍA BUEN SUCESO
2022-07-11 09:49:00-03:00,0.74,BAHÍA BUEN SUCESO
2022-07-11 16:05:00-03:00,2.26,BAHÍA BUEN SUCESO
2022-07-11 22:51:00-03:00,0.25,BAHÍA BUEN SUCESO
2022-07-12 05:09:00-03:00,1.87,BAHÍA BUEN SUCESO
2022-07-12 10:44:00-03:00,0.73,BAHÍA BUEN SUCESO
2022-07-12 16:55:00-03:00,2.33,BAHÍA BUEN SUCESO
2022-07-12 23:41:00-03:00,0.14,BAHÍA BUEN SUCESO
2022-07-13 06:02:00-03:00,1.94,BAHÍA BUEN SUCESO
2022-07-13 11:36:00-03:00,0.71,BAHÍA BUEN SUCESO
2022-07-13 17:45:00-03:00,2.39,BAHÍA BUEN SUCESO
2022-07-14 00:29:00-03:00,0.07,BAHÍA BUEN SUCESO
2022-07-14 06:51:00-03:00,1.99,BAHÍA BUEN SUCESO
2022-07-14 12:26:00-03:00,0.69,BAHÍA BUEN SUCESO
2022-07-14 18:32:00-03:00,2.41,BAHÍA BUEN SUCESO
2022-07-15 01:16:00-03:00,0.03,BAHÍA BUEN SUCESO
2022-07-15 07:38:00-03:00,2.03,BAHÍA BUEN SUCESO
2022-07-15 13:15:00-03:00,0.67,BAHÍA BUEN SUCESO
2022-07-15 19:20:00-03:00,2.39,BAHÍA BUEN SUCESO
2022-07-16 02:01:00-03:00,0.04,BAHÍA BUEN SUCESO
2022-07-16 08:24:00-03:00,2.05,BAHÍA BUEN SUCESO
2022-07-16 14:04:00-03:00,0.67,BAHÍA BUEN SUCESO
2022-07-16 20:07:00-03:00,2.34,BAHÍA BUEN SUCESO
2022-07-17 02:46:00-03:00,0.1,BAHÍA BUEN SUCESO
2022-07-17 09:10:00-03:00,2.05,BAHÍA BUEN SUCESO
2022-07-17 14:54:00-03:00,0.68,BAHÍA BUEN SUCESO
2022-07-17 20:55:00-03:00,2.25,BAHÍA BUEN SUCESO
2022-07-18 03:31:00-03:00,0.19,BAHÍA BUEN SUCESO
2022-07-18 09:56:00-03:00,2.03,BAHÍA BUEN SUCESO
2022-07-18 15:45:00-03:00,0.7,BAHÍA BUEN SUCESO
2022-07-18 21:46:00-03:00,2.13,BAHÍA BUEN SUCESO
2022-07-19 04:18:00-03:00,0.31,BAHÍA BUEN SUCESO
2022-07-19 10:43:00-03:00,2.0,BAHÍA BUEN SUCESO
2022-07-19 16:40:00-03:00,0.73,BAHÍA BUEN SUCESO
2022-07-19 22:40:00-03:00,2.0,BAHÍA BUEN SUCESO
2022-07-20 05:06:00-03:00,0.45,BAHÍA BUEN SUCESO
2022-07-20 11:32:00-03:00,1.97,BAHÍA BUEN SUCESO
2022-07-20 17:39:00-03:00,0.74,BAHÍA BUEN SUCESO
2022-07-20 23:39:00-03:00,1.86,BAHÍA BUEN SUCESO
2022-07-21 05:56:00-03:00,0.6,BAHÍA BUEN SUCESO
2022-07-21 12:24:00-03:00,1.95,BAHÍA BUEN SUCESO
2022-07-21 18:43:00-03:00,0.74,BAHÍA BUEN SUCESO
2022-07-22 00:45:00-03:00,1.74,BAHÍA BUEN SUCESO
2022-07-22 06:50:00-03:00,0.73,BAHÍA BUEN SUCESO
2022-07-22 13:18:00-03:00,1.94,BAHÍA BUEN SUCESO
2022-07-22 19:51:00-03:00,0.71,BAHÍA BUEN SUCESO
2022-07-23 01:58:00-03:00,1.67,BAHÍA BUEN SUCESO
2022-07-23 07:48:00-03:00,0.84,BAHÍA BUEN SUCESO
2022-07-23 14:12:00-03:00,1.95,BAHÍA BUEN SUCESO
2022-07-23 20:56:00-03:00,0.64,BAHÍA BUEN SUCESO
2022-07-24 03:10:00-03:00,1.64,BAHÍA BUEN SUCESO
2022-07-24 08:45:00-03:00,0.91,BAHÍA BUEN SUCESO
2022-07-24 15:04:00-03:00,1.97,BAHÍA BUEN SUCESO
2022-07-24 21:55:00-03:00,0.56,BAHÍA BUEN SUCESO
2022-07-25 04:15:00-03:00,1.65,BAHÍA BUEN SUCESO
2022-07-25 09:40:00-03:00,0.95,BAHÍA BUEN SUCESO
2022-07-25 15:53:00-03:00,2.02,BAHÍA BUEN SUCESO
2022-07-25 22:46:00-03:00,0.47,BAHÍA BUEN SUCESO
2022-07-26 05:09:00-03:00,1.68,BAHÍA BUEN SUCESO
2022-07-26 10:29:00-03:00,0.96,BAHÍA BUEN SUCESO
2022-07-26 16:37:00-03:00,2.06,BAHÍA BUEN SUCESO
2022-07-26 23:31:00-03:00,0.4,BAHÍA BUEN SUCESO
2022-07-27 05:55:00-03:00,1.71,BAHÍA BUEN SUCESO
2022-07-27 11:14:00-03:00,0.95,BAHÍA BUEN SUCESO
2022-07-27 17:19:00-03:00,2.11,BAHÍA BUEN SUCESO
2022-07-28 00:11:00-03:00,0.34,BAHÍA BUEN SUCESO
2022-07-28 06:34:00-03:00,1.75,BAHÍA BUEN SUCESO
2022-07-28 11:54:00-03:00,0.91,BAHÍA BUEN SUCESO
2022-07-28 17:59:00-03:00,2.16,BAHÍA BUEN SUCESO
2022-07-29 00:48:00-03:00,0.31,BAHÍA BUEN SUCESO
2022-07-29 07:09:00-03:00,1.78,BAHÍA BUEN SUCESO
2022-07-29 12:33:00-03:00,0.87,BAHÍA BUEN SUCESO
2022-07-29 18:38:00-03:00,2.18,BAHÍA BUEN SUCESO
2022-07-30 01:23:00-03:00,0.29,BAHÍA BUEN SUCESO
2022-07-30 07:42:00-03:00,1.82,BAHÍA BUEN SUCESO
2022-07-30 13:12:00-03:00,0.81,BAHÍA BUEN SUCESO
2022-07-30 19:17:00-03:00,2.19,BAHÍA BUEN SUCESO
2022-07-31 01:58:00-03:00,0.3,BAHÍA BUEN SUCESO
2022-07-31 08:15:00-03:00,1.86,BAHÍA BUEN SUCESO
2022-07-31 13:52:00-03:00,0.76,BAHÍA BUEN SUCESO
2022-07-31 19:57:00-03:00,2.18,BAHÍA BUEN SUCESO
