datetime,height,port
2023-10-01 05:12:00-03:00,1.47,ATALAYA
2023-10-01 11:45:00-03:00,0.42,ATALAYA
2023-10-01 17:06:00-03:00,1.09,ATALAYA
2023-10-01 23:32:00-03:00,0.22,ATALAYA
2023-10-02 06:02:00-03:00,1.42,ATALAYA
2023-10-02 12:27:00-03:00,0.43,ATALAYA
2023-10-02 17:55:00-03:00,1.17,ATALAYA
2023-10-03 00:28:00-03:00,0.22,ATALAYA
2023-10-03 06:49:00-03:00,1.34,ATALAYA
2023-10-03 13:07:00-03:00,0.43,ATALAYA
2023-10-03 18:43:00-03:00,1.23,ATALAYA
2023-10-04 01:23:00-03:00,0.26,ATALAYA
2023-10-04 07:33:00-03:00,1.24,ATALAYA
2023-10-04 13:47:00-03:00,0.45,ATALAYA
2023-10-04 19:32:00-03:00,1.27,ATALAYA
2023-10-05 02:19:00-03:00,0.32,ATALAYA
2023-10-05 08:13:00-03:00,1.13,ATALAYA
2023-10-05 14:28:00-03:00,0.47,ATALAYA
2023-10-05 20:23:00-03:00,1.29,ATALAYA
2023-10-06 03:17:00-03:00,0.4,ATALAYA
2023-10-06 08:52:00-03:00,1.02,ATALAYA
2023-10-06 15:09:00-03:00,0.49,ATALAYA
2023-10-06 21:17:00-03:00,1.28,ATALAYA
2023-10-07 04:19:00-03:00,0.49,ATALAYA
2023-10-07 09:29:00-03:00,0.92,ATALAYA
2023-10-07 15:54:00-03:00,0.51,ATALAYA
2023-10-07 22:16:00-03:00,1.26,ATALAYA
2023-10-08 05:24:00-03:00,0.56,ATALAYA
2023-10-08 10:05:00-03:00,0.84,ATALAYA
2023-10-08 16:42:00-03:00,0.54,ATALAYA
2023-10-08 23:24:00-03:00,1.24,ATALAYA
2023-10-09 06:33:00-03:00,0.61,ATALAYA
2023-10-09 10:44:00-03:00,0.79,ATALAYA
2023-10-09 17:34:00-03:00,0.56,ATALAYA
2023-10-10 00:41:00-03:00,1.22,ATALAYA
2023-10-10 07:40:00-03:00,0.64,ATALAYA
2023-10-10 11:35:00-03:00,0.75,ATALAYA
2023-10-10 18:30:00-03:00,0.58,ATALAYA
