datetime,height,port
2023-02-01 01:00:00-03:00,1.25,ATALAYA
2023-02-01 06:59:00-03:00,0.7,ATALAYA
2023-02-01 12:21:00-03:00,1.12,ATALAYA
2023-02-01 19:10:00-03:00,0.52,ATALAYA
2023-02-02 01:54:00-03:00,1.18,ATALAYA
2023-02-02 07:49:00-03:00,0.68,ATALAYA
2023-02-02 13:44:00-03:00,1.13,ATALAYA
2023-02-02 20:12:00-03:00,0.59,ATALAYA
2023-02-03 02:41:00-03:00,1.12,ATALAYA
2023-02-03 08:37:00-03:00,0.64,ATALAYA
2023-02-03 15:03:00-03:00,1.16,ATALAYA
2023-02-03 21:11:00-03:00,0.65,ATALAYA
2023-02-04 03:16:00-03:00,1.07,ATALAYA
2023-02-04 09:22:00-03:00,0.61,ATALAYA
2023-02-04 16:08:00-03:00,1.18,ATALAYA
2023-02-04 22:05:00-03:00,0.69,ATALAYA
2023-02-05 03:36:00-03:00,1.04,ATALAYA
2023-02-05 10:04:00-03:00,0.58,ATALAYA
2023-02-05 16:56:00-03:00,1.2,ATALAYA
2023-02-05 22:53:00-03:00,0.72,ATALAYA
2023-02-06 03:49:00-03:00,1.03,ATALAYA
2023-02-06 10:42:00-03:00,0.55,ATALAYA
2023-02-06 17:28:00-03:00,1.22,ATALAYA
2023-02-06 23:37:00-03:00,0.74,ATALAYA
2023-02-07 04:10:00-03:00,1.03,ATALAYA
2023-02-07 11:16:00-03:00,0.53,ATALAYA
2023-02-07 17:50:00-03:00,1.25,ATALAYA
2023-02-08 00:15:00-03:00,0.75,ATALAYA
2023-02-08 04:38:00-03:00,1.05,ATALAYA
2023-02-08 11:48:00-03:00,0.5,ATALAYA
2023-02-08 18:12:00-03:00,1.28,ATALAYA
2023-02-09 00:52:00-03:00,0.76,ATALAYA
2023-02-09 05:12:00-03:00,1.07,ATALAYA
2023-02-09 12:20:00-03:00,0.47,ATALAYA
2023-02-09 18:40:00-03:00,1.32,ATALAYA
2023-02-10 01:27:00-03:00,0.76,ATALAYA
2023-02-10 05:49:00-03:00,1.1,ATALAYA
2023-02-10 12:52:00-03:00,0.43,ATALAYA
2023-02-10 19:14:00-03:00,1.35,ATALAYA
2023-02-11 02:02:00-03:00,0.76,ATALAYA
2023-02-11 06:29:00-03:00,1.13,ATALAYA
2023-02-11 13:28:00-03:00,0.4,ATALAYA
2023-02-11 19:52:00-03:00,1.37,ATALAYA
2023-02-12 02:39:00-03:00,0.76,ATALAYA
2023-02-12 07:12:00-03:00,1.17,ATALAYA
2023-02-12 14:09:00-03:00,0.38,ATALAYA
2023-02-12 20:35:00-03:00,1.38,ATALAYA
2023-02-13 03:18:00-03:00,0.76,ATALAYA
2023-02-13 07:59:00-03:00,1.19,ATALAYA
2023-02-13 14:56:00-03:00,0.37,ATALAYA
2023-02-13 21:20:00-03:00,1.36,ATALAYA
2023-02-14 04:00:00-03:00,0.76,ATALAYA
2023-02-14 08:50:00-03:00,1.22,ATALAYA
2023-02-14 15:51:00-03:00,0.39,ATALAYA
2023-02-14 22:09:00-03:00,1.32,ATALAYA
2023-02-15 04:47:00-03:00,0.75,ATALAYA
2023-02-15 09:46:00-03:00,1.24,ATALAYA
2023-02-15 16:54:00-03:00,0.42,ATALAYA
2023-02-15 23:02:00-03:00,1.27,ATALAYA
2023-02-16 05:39:00-03:00,0.73,ATALAYA
2023-02-16 10:49:00-03:00,1.26,ATALAYA
2023-02-16 18:05:00-03:00,0.46,ATALAYA
2023-02-16 23:58:00-03:00,1.21,ATALAYA
2023-02-17 06:36:00-03:00,0.69,ATALAYA
2023-02-17 12:00:00-03:00,1.28,ATALAYA
2023-02-17 19:19:00-03:00,0.5,ATALAYA
2023-02-18 00:57:00-03:00,1.16,ATALAYA
2023-02-18 07:36:00-03:00,0.63,ATALAYA
2023-02-18 13:18:00-03:00,1.32,ATALAYA
2023-02-18 20:33:00-03:00,0.52,ATALAYA
2023-02-19 01:58:00-03:00,1.12,ATALAYA
2023-02-19 08:35:00-03:00,0.55,ATALAYA
2023-02-19 14:39:00-03:00,1.38,ATALAYA
2023-02-19 21:42:00-03:00,0.54,ATALAYA
2023-02-20 02:57:00-03:00,1.1,ATALAYA
2023-02-20 09:34:00-03:00,0.45,ATALAYA
2023-02-20 15:57:00-03:00,1.44,ATALAYA
2023-02-20 22:45:00-03:00,0.55,ATALAYA
2023-02-21 03:53:00-03:00,1.1,ATALAYA
2023-02-21 10:30:00-03:00,0.36,ATALAYA
2023-02-21 17:07:00-03:00,1.5,ATALAYA
2023-02-21 23:42:00-03:00,0.57,ATALAYA
2023-02-22 04:45:00-03:00,1.12,ATALAYA
2023-02-22 11:24:00-03:00,0.28,ATALAYA
2023-02-22 18:09:00-03:00,1.53,ATALAYA
2023-02-23 00:35:00-03:00,0.59,ATALAYA
2023-02-23 05:34:00-03:00,1.15,ATALAYA
2023-02-23 12:18:00-03:00,0.22,ATALAYA
2023-02-23 19:07:00-03:00,1.53,ATALAYA
2023-02-24 01:24:00-03:00,0.62,ATALAYA
2023-02-24 06:21:00-03:00,1.18,ATALAYA
2023-02-24 13:10:00-03:00,0.2,ATALAYA
2023-02-24 20:00:00-03:00,1.5,ATALAYA
2023-02-25 02:11:00-03:00,0.65,ATALAYA
2023-02-25 07:08:00-03:00,1.2,ATALAYA
2023-02-25 14:03:00-03:00,0.21,ATALAYA
2023-02-25 20:52:00-03:00,1.44,ATALAYA
2023-02-26 02:58:00-03:00,0.68,ATALAYA
2023-02-26 07:55:00-03:00,1.21,ATALAYA
2023-02-26 14:57:00-03:00,0.26,ATALAYA
2023-02-26 21:43:00-03:00,1.36,ATALAYA
2023-02-27 03:44:00-03:00,0.7,ATALAYA
2023-02-27 08:45:00-03:00,1.21,ATALAYA
2023-02-27 15:51:00-03:00,0.33,ATALAYA
2023-02-27 22:33:00-03:00,1.26,ATALAYA
2023-02-28 04:31:00-03:00,0.71,ATALAYA
2023-02-28 09:37:00-03:00,1.19,ATALAYA
2023-02-28 16:48:00-03:00,0.42,ATALAYA
2023-02-28 23:24:00-03:00,1.18,ATALAYA
