datetime,height,port
2023-07-01 00:19:00-03:00,1.07,ATALAYA
2023-07-01 07:33:00-03:00,0.42,ATALAYA
2023-07-01 13:18:00-03:00,1.08,ATALAYA
2023-07-01 20:01:00-03:00,0.59,ATALAYA
2023-07-02 01:19:00-03:00,1.15,ATALAYA
2023-07-02 08:35:00-03:00,0.38,ATALAYA
2023-07-02 14:14:00-03:00,1.06,ATALAYA
2023-07-02 20:45:00-03:00,0.55,ATALAYA
2023-07-03 02:19:00-03:00,1.23,ATALAYA
2023-07-03 09:36:00-03:00,0.35,ATALAYA
2023-07-03 15:09:00-03:00,1.03,ATALAYA
2023-07-03 21:31:00-03:00,0.51,ATALAYA
2023-07-04 03:19:00-03:00,1.31,ATALAYA
2023-07-04 10:36:00-03:00,0.33,ATALAYA
2023-07-04 16:02:00-03:00,1.0,ATALAYA
2023-07-04 22:18:00-03:00,0.46,ATALAYA
2023-07-05 04:19:00-03:00,1.38,ATALAYA
2023-07-05 11:35:00-03:00,0.32,ATALAYA
2023-07-05 16:53:00-03:00,0.98,ATALAYA
2023-07-05 23:08:00-03:00,0.4,ATALAYA
2023-07-06 05:19:00-03:00,1.43,ATALAYA
2023-07-06 12:32:00-03:00,0.33,ATALAYA
2023-07-06 17:43:00-03:00,0.96,ATALAYA
2023-07-07 00:00:00-03:00,0.35,ATALAYA
2023-07-07 06:19:00-03:00,1.46,ATALAYA
2023-07-07 13:29:00-03:00,0.35,ATALAYA
2023-07-07 18:32:00-03:00,0.95,ATALAYA
2023-07-08 00:55:00-03:00,0.3,ATALAYA
2023-07-08 07:20:00-03:00,1.46,ATALAYA
2023-07-08 14:24:00-03:00,0.39,ATALAYA
2023-07-08 19:23:00-03:00,0.96,ATALAYA
2023-07-09 01:52:00-03:00,0.27,ATALAYA
2023-07-09 08:22:00-03:00,1.43,ATALAYA
2023-07-09 15:19:00-03:00,0.43,ATALAYA
2023-07-09 20:15:00-03:00,0.97,ATALAYA
2023-07-10 02:53:00-03:00,0.25,ATALAYA
2023-07-10 09:25:00-03:00,1.38,ATALAYA
2023-07-10 16:13:00-03:00,0.47,ATALAYA
2023-07-10 21:10:00-03:00,1.0,ATALAYA
2023-07-11 03:56:00-03:00,0.25,ATALAYA
2023-07-11 10:30:00-03:00,1.31,ATALAYA
2023-07-11 17:06:00-03:00,0.51,ATALAYA
2023-07-11 22:09:00-03:00,1.03,ATALAYA
2023-07-12 05:02:00-03:00,0.26,ATALAYA
2023-07-12 11:37:00-03:00,1.24,ATALAYA
2023-07-12 17:58:00-03:00,0.53,ATALAYA
2023-07-12 23:12:00-03:00,1.06,ATALAYA
2023-07-13 06:08:00-03:00,0.28,ATALAYA
2023-07-13 12:45:00-03:00,1.16,ATALAYA
2023-07-13 18:49:00-03:00,0.54,ATALAYA
2023-07-14 00:20:00-03:00,1.1,ATALAYA
2023-07-14 07:15:00-03:00,0.3,ATALAYA
2023-07-14 13:52:00-03:00,1.08,ATALAYA
2023-07-14 19:40:00-03:00,0.54,ATALAYA
2023-07-15 01:29:00-03:00,1.15,ATALAYA
2023-07-15 08:19:00-03:00,0.33,ATALAYA
2023-07-15 14:54:00-03:00,1.02,ATALAYA
2023-07-15 20:29:00-03:00,0.52,ATALAYA
2023-07-16 02:36:00-03:00,1.18,ATALAYA
2023-07-16 09:21:00-03:00,0.36,ATALAYA
2023-07-16 15:49:00-03:00,0.96,ATALAYA
2023-07-16 21:16:00-03:00,0.5,ATALAYA
2023-07-17 03:39:00-03:00,1.21,ATALAYA
2023-07-17 10:19:00-03:00,0.39,ATALAYA
2023-07-17 16:36:00-03:00,0.92,ATALAYA
2023-07-17 22:02:00-03:00,0.49,ATALAYA
2023-07-18 04:34:00-03:00,1.23,ATALAYA
2023-07-18 11:12:00-03:00,0.43,ATALAYA
2023-07-18 17:12:00-03:00,0.88,ATALAYA
2023-07-18 22:46:00-03:00,0.47,ATALAYA
2023-07-19 05:21:00-03:00,1.23,ATALAYA
2023-07-19 12:00:00-03:00,0.46,ATALAYA
2023-07-19 17:36:00-03:00,0.85,ATALAYA
2023-07-19 23:27:00-03:00,0.47,ATALAYA
2023-07-20 05:59:00-03:00,1.22,ATALAYA
2023-07-20 12:43:00-03:00,0.5,ATALAYA
2023-07-20 17:50:00-03:00,0.85,ATALAYA
2023-07-21 00:06:00-03:00,0.46,ATALAYA
2023-07-21 06:29:00-03:00,1.2,ATALAYA
2023-07-21 13:23:00-03:00,0.53,ATALAYA
2023-07-21 18:06:00-03:00,0.85,ATALAYA
2023-07-22 00:42:00-03:00,0.47,ATALAYA
2023-07-22 06:55:00-03:00,1.19,ATALAYA
2023-07-22 13:59:00-03:00,0.55,ATALAYA
2023-07-22 18:31:00-03:00,0.87,ATALAYA
2023-07-23 01:17:00-03:00,0.47,ATALAYA
2023-07-23 07:23:00-03:00,1.18,ATALAYA
2023-07-23 14:32:00-03:00,0.57,ATALAYA
2023-07-23 19:02:00-03:00,0.9,ATALAYA
2023-07-24 01:51:00-03:00,0.47,ATALAYA
2023-07-24 07:54:00-03:00,1.18,ATALAYA
2023-07-24 15:06:00-03:00,0.58,ATALAYA
2023-07-24 19:38:00-03:00,0.93,ATALAYA
2023-07-25 02:27:00-03:00,0.46,ATALAYA
2023-07-25 08:31:00-03:00,1.17,ATALAYA
2023-07-25 15:39:00-03:00,0.59,ATALAYA
2023-07-25 20:20:00-03:00,0.97,ATALAYA
2023-07-26 03:09:00-03:00,0.45,ATALAYA
2023-07-26 09:12:00-03:00,1.16,ATALAYA
2023-07-26 16:14:00-03:00,0.6,ATALAYA
2023-07-26 21:05:00-03:00,1.02,ATALAYA
2023-07-27 04:00:00-03:00,0.44,ATALAYA
2023-07-27 09:58:00-03:00,1.14,ATALAYA
2023-07-27 16:52:00-03:00,0.6,ATALAYA
2023-07-27 21:56:00-03:00,1.06,ATALAYA
2023-07-28 04:59:00-03:00,0.43,ATALAYA
2023-07-28 10:49:00-03:00,1.1,ATALAYA
2023-07-28 17:35:00-03:00,0.6,ATALAYA
2023-07-28 22:51:00-03:00,1.11,ATALAYA
2023-07-29 06:05:00-03:00,0.42,ATALAYA
2023-07-29 11:44:00-03:00,1.05,ATALAYA
2023-07-29 18:22:00-03:00,0.59,ATALAYA
2023-07-29 23:52:00-03:00,1.17,ATALAYA
2023-07-30 07:14:00-03:00,0.41,ATALAYA
2023-07-30 12:42:00-03:00,1.0,ATALAYA
2023-07-30 19:13:00-03:00,0.56,ATALAYA
2023-07-31 00:57:00-03:00,1.23,ATALAYA
2023-07-31 08:23:00-03:00,0.39,ATALAYA
2023-07-31 13:43:00-03:00,0.96,ATALAYA
2023-07-31 20:07:00-03:00,0.52,ATALAYA
