datetime,height,port
2023-09-01 04:19:00-03:00,1.46,ATALAYA
2023-09-01 11:20:00-03:00,0.38,ATALAYA
2023-09-01 16:27:00-03:00,0.94,ATALAYA
2023-09-01 22:46:00-03:00,0.27,ATALAYA
2023-09-02 05:20:00-03:00,1.48,ATALAYA
2023-09-02 12:09:00-03:00,0.39,ATALAYA
2023-09-02 17:19:00-03:00,1.0,ATALAYA
2023-09-02 23:43:00-03:00,0.22,ATALAYA
2023-09-03 06:16:00-03:00,1.46,ATALAYA
2023-09-03 12:55:00-03:00,0.4,ATALAYA
2023-09-03 18:08:00-03:00,1.06,ATALAYA
2023-09-04 00:39:00-03:00,0.19,ATALAYA
2023-09-04 07:09:00-03:00,1.41,ATALAYA
2023-09-04 13:38:00-03:00,0.42,ATALAYA
2023-09-04 18:57:00-03:00,1.12,ATALAYA
2023-09-05 01:35:00-03:00,0.19,ATALAYA
2023-09-05 07:59:00-03:00,1.33,ATALAYA
2023-09-05 14:21:00-03:00,0.45,ATALAYA
2023-09-05 19:46:00-03:00,1.17,ATALAYA
2023-09-06 02:32:00-03:00,0.23,ATALAYA
2023-09-06 08:47:00-03:00,1.23,ATALAYA
2023-09-06 15:04:00-03:00,0.48,ATALAYA
2023-09-06 20:36:00-03:00,1.2,ATALAYA
2023-09-07 03:31:00-03:00,0.29,ATALAYA
2023-09-07 09:35:00-03:00,1.12,ATALAYA
2023-09-07 15:48:00-03:00,0.5,ATALAYA
2023-09-07 21:30:00-03:00,1.22,ATALAYA
2023-09-08 04:32:00-03:00,0.36,ATALAYA
2023-09-08 10:24:00-03:00,1.01,ATALAYA
2023-09-08 16:34:00-03:00,0.52,ATALAYA
2023-09-08 22:30:00-03:00,1.21,ATALAYA
2023-09-09 05:38:00-03:00,0.44,ATALAYA
2023-09-09 11:16:00-03:00,0.91,ATALAYA
2023-09-09 17:23:00-03:00,0.54,ATALAYA
2023-09-09 23:38:00-03:00,1.2,ATALAYA
2023-09-10 06:46:00-03:00,0.5,ATALAYA
2023-09-10 12:20:00-03:00,0.83,ATALAYA
2023-09-10 18:16:00-03:00,0.55,ATALAYA
2023-09-11 00:56:00-03:00,1.19,ATALAYA
2023-09-11 07:55:00-03:00,0.54,ATALAYA
2023-09-11 13:54:00-03:00,0.79,ATALAYA
2023-09-11 19:12:00-03:00,0.56,ATALAYA
2023-09-12 02:14:00-03:00,1.2,ATALAYA
2023-09-12 08:58:00-03:00,0.55,ATALAYA
2023-09-12 15:16:00-03:00,0.78,ATALAYA
2023-09-12 20:07:00-03:00,0.55,ATALAYA
2023-09-13 03:17:00-03:00,1.2,ATALAYA
2023-09-13 09:51:00-03:00,0.56,ATALAYA
2023-09-13 16:02:00-03:00,0.78,ATALAYA
2023-09-13 20:57:00-03:00,0.55,ATALAYA
2023-09-14 04:01:00-03:00,1.2,ATALAYA
2023-09-14 10:34:00-03:00,0.56,ATALAYA
2023-09-14 16:14:00-03:00,0.8,ATALAYA
2023-09-14 21:43:00-03:00,0.53,ATALAYA
2023-09-15 04:29:00-03:00,1.2,ATALAYA
2023-09-15 11:10:00-03:00,0.56,ATALAYA
2023-09-15 16:10:00-03:00,0.83,ATALAYA
2023-09-15 22:23:00-03:00,0.52,ATALAYA
2023-09-16 04:48:00-03:00,1.21,ATALAYA
2023-09-16 11:40:00-03:00,0.55,ATALAYA
2023-09-16 16:28:00-03:00,0.88,ATALAYA
2023-09-16 23:00:00-03:00,0.5,ATALAYA
2023-09-17 05:08:00-03:00,1.22,ATALAYA
2023-09-17 12:09:00-03:00,0.54,ATALAYA
2023-09-17 16:56:00-03:00,0.94,ATALAYA
2023-09-17 23:35:00-03:00,0.47,ATALAYA
2023-09-18 05:35:00-03:00,1.23,ATALAYA
2023-09-18 12:36:00-03:00,0.54,ATALAYA
2023-09-18 17:30:00-03:00,1.01,ATALAYA
2023-09-19 00:12:00-03:00,0.44,ATALAYA
2023-09-19 06:07:00-03:00,1.24,ATALAYA
2023-09-19 13:03:00-03:00,0.53,ATALAYA
2023-09-19 18:07:00-03:00,1.08,ATALAYA
2023-09-20 00:51:00-03:00,0.42,ATALAYA
2023-09-20 06:43:00-03:00,1.23,ATALAYA
2023-09-20 13:31:00-03:00,0.52,ATALAYA
2023-09-20 18:48:00-03:00,1.15,ATALAYA
2023-09-21 01:35:00-03:00,0.41,ATALAYA
2023-09-21 07:23:00-03:00,1.2,ATALAYA
2023-09-21 14:00:00-03:00,0.52,ATALAYA
2023-09-21 19:32:00-03:00,1.22,ATALAYA
2023-09-22 02:26:00-03:00,0.41,ATALAYA
2023-09-22 08:05:00-03:00,1.15,ATALAYA
2023-09-22 14:33:00-03:00,0.52,ATALAYA
2023-09-22 20:21:00-03:00,1.27,ATALAYA
2023-09-23 03:25:00-03:00,0.43,ATALAYA
2023-09-23 08:51:00-03:00,1.08,ATALAYA
2023-09-23 15:11:00-03:00,0.51,ATALAYA
2023-09-23 21:16:00-03:00,1.32,ATALAYA
2023-09-24 04:32:00-03:00,0.46,ATALAYA
2023-09-24 09:41:00-03:00,1.0,ATALAYA
2023-09-24 15:58:00-03:00,0.51,ATALAYA
2023-09-24 22:17:00-03:00,1.35,ATALAYA
2023-09-25 05:47:00-03:00,0.49,ATALAYA
2023-09-25 10:38:00-03:00,0.93,ATALAYA
2023-09-25 16:58:00-03:00,0.5,ATALAYA
2023-09-25 23:26:00-03:00,1.37,ATALAYA
2023-09-26 07:03:00-03:00,0.49,ATALAYA
2023-09-26 11:42:00-03:00,0.87,ATALAYA
2023-09-26 18:08:00-03:00,0.47,ATALAYA
2023-09-27 00:42:00-03:00,1.4,ATALAYA
2023-09-27 08:14:00-03:00,0.48,ATALAYA
2023-09-27 12:55:00-03:00,0.85,ATALAYA
2023-09-27 19:21:00-03:00,0.43,ATALAYA
2023-09-28 02:00:00-03:00,1.43,ATALAYA
2023-09-28 09:17:00-03:00,0.45,ATALAYA
2023-09-28 14:09:00-03:00,0.87,ATALAYA
2023-09-28 20:31:00-03:00,0.37,ATALAYA
2023-09-29 03:12:00-03:00,1.47,ATALAYA
2023-09-29 10:12:00-03:00,0.43,ATALAYA
2023-09-29 15:16:00-03:00,0.93,ATALAYA
2023-09-29 21:35:00-03:00,0.3,ATALAYA
2023-09-30 04:16:00-03:00,1.48,ATALAYA
2023-09-30 11:01:00-03:00,0.42,ATALAYA
2023-09-30 16:14:00-03:00,1.01,ATALAYA
2023-09-30 22:35:00-03:00,0.25,ATALAYA
