datetime,height,port
2023-01-01 00:49:00-03:00,1.57,BAHÍA AGUIRRE
2023-01-01 07:00:00-03:00,0.62,BAHÍA AGUIRRE
2023-01-01 13:23:00-03:00,1.65,BAHÍA AGUIRRE
2023-01-01 19:37:00-03:00,0.71,BAHÍA AGUIRRE
2023-01-02 01:43:00-03:00,1.6,BAHÍA AGUIRRE
2023-01-02 08:09:00-03:00,0.56,BAHÍA AGUIRRE
2023-01-02 14:38:00-03:00,1.59,BAHÍA AGUIRRE
2023-01-02 20:34:00-03:00,0.8,BAHÍA AGUIRRE
2023-01-03 02:35:00-03:00,1.64,BAHÍA AGUIRRE
2023-01-03 09:16:00-03:00,0.48,BAHÍA AGUIRRE
2023-01-03 15:50:00-03:00,1.56,BAHÍA AGUIRRE
2023-01-03 21:29:00-03:00,0.87,BAHÍA AGUIRRE
2023-01-04 03:26:00-03:00,1.69,BAHÍA AGUIRRE
2023-01-04 10:17:00-03:00,0.4,BAHÍA AGUIRRE
2023-01-04 16:56:00-03:00,1.55,BAHÍA AGUIRRE
2023-01-04 22:20:00-03:00,0.92,BAHÍA AGUIRRE
2023-01-05 04:14:00-03:00,1.74,BAHÍA AGUIRRE
2023-01-05 11:12:00-03:00,0.32,BAHÍA AGUIRRE
2023-01-05 17:52:00-03:00,1.53,BAHÍA AGUIRRE
2023-01-05 23:05:00-03:00,0.95,BAHÍA AGUIRRE
2023-01-06 04:59:00-03:00,1.8,BAHÍA AGUIRRE
2023-01-06 12:02:00-03:00,0.27,BAHÍA AGUIRRE
2023-01-06 18:41:00-03:00,1.52,BAHÍA AGUIRRE
2023-01-06 23:45:00-03:00,0.96,BAHÍA AGUIRRE
2023-01-07 05:41:00-03:00,1.85,BAHÍA AGUIRRE
2023-01-07 12:47:00-03:00,0.24,BAHÍA AGUIRRE
2023-01-07 19:23:00-03:00,1.49,BAHÍA AGUIRRE
2023-01-08 00:22:00-03:00,0.95,BAHÍA AGUIRRE
2023-01-08 06:22:00-03:00,1.89,BAHÍA AGUIRRE
2023-01-08 13:28:00-03:00,0.25,BAHÍA AGUIRRE
2023-01-08 20:00:00-03:00,1.46,BAHÍA AGUIRRE
2023-01-09 00:56:00-03:00,0.93,BAHÍA AGUIRRE
2023-01-09 07:03:00-03:00,1.91,BAHÍA AGUIRRE
2023-01-09 14:07:00-03:00,0.28,BAHÍA AGUIRRE
2023-01-09 20:31:00-03:00,1.44,BAHÍA AGUIRRE
2023-01-10 01:31:00-03:00,0.88,BAHÍA AGUIRRE
2023-01-10 07:43:00-03:00,1.91,BAHÍA AGUIRRE
2023-01-10 14:43:00-03:00,0.34,BAHÍA AGUIRRE
2023-01-10 21:00:00-03:00,1.42,BAHÍA AGUIRRE
2023-01-11 02:08:00-03:00,0.83,BAHÍA AGUIRRE
2023-01-11 08:24:00-03:00,1.89,BAHÍA AGUIRRE
2023-01-11 15:19:00-03:00,0.41,BAHÍA AGUIRRE
2023-01-11 21:29:00-03:00,1.42,BAHÍA AGUIRRE
2023-01-12 02:48:00-03:00,0.77,BAHÍA AGUIRRE
2023-01-12 09:08:00-03:00,1.85,BAHÍA AGUIRRE
2023-01-12 15:54:00-03:00,0.49,BAHÍA AGUIRRE
2023-01-12 21:59:00-03:00,1.44,BAHÍA AGUIRRE
2023-01-13 03:33:00-03:00,0.72,BAHÍA AGUIRRE
2023-01-13 09:54:00-03:00,1.78,BAHÍA AGUIRRE
2023-01-13 16:30:00-03:00,0.59,BAHÍA AGUIRRE
2023-01-13 22:32:00-03:00,1.48,BAHÍA AGUIRRE
2023-01-14 04:24:00-03:00,0.68,BAHÍA AGUIRRE
2023-01-14 10:46:00-03:00,1.69,BAHÍA AGUIRRE
2023-01-14 17:09:00-03:00,0.68,BAHÍA AGUIRRE
2023-01-14 23:11:00-03:00,1.53,BAHÍA AGUIRRE
2023-01-15 05:22:00-03:00,0.64,BAHÍA AGUIRRE
2023-01-15 11:45:00-03:00,1.6,BAHÍA AGUIRRE
2023-01-15 17:52:00-03:00,0.76,BAHÍA AGUIRRE
2023-01-15 23:57:00-03:00,1.58,BAHÍA AGUIRRE
2023-01-16 06:27:00-03:00,0.59,BAHÍA AGUIRRE
2023-01-16 12:52:00-03:00,1.52,BAHÍA AGUIRRE
2023-01-16 18:41:00-03:00,0.83,BAHÍA AGUIRRE
2023-01-17 00:49:00-03:00,1.64,BAHÍA AGUIRRE
2023-01-17 07:37:00-03:00,0.54,BAHÍA AGUIRRE
2023-01-17 14:05:00-03:00,1.47,BAHÍA AGUIRRE
2023-01-17 19:37:00-03:00,0.88,BAHÍA AGUIRRE
2023-01-18 01:48:00-03:00,1.71,BAHÍA AGUIRRE
2023-01-18 08:47:00-03:00,0.45,BAHÍA AGUIRRE
2023-01-18 15:19:00-03:00,1.45,BAHÍA AGUIRRE
2023-01-18 20:37:00-03:00,0.9,BAHÍA AGUIRRE
2023-01-19 02:49:00-03:00,1.79,BAHÍA AGUIRRE
2023-01-19 09:53:00-03:00,0.36,BAHÍA AGUIRRE
2023-01-19 16:25:00-03:00,1.47,BAHÍA AGUIRRE
2023-01-19 21:37:00-03:00,0.89,BAHÍA AGUIRRE
2023-01-20 03:48:00-03:00,1.88,BAHÍA AGUIRRE
2023-01-20 10:53:00-03:00,0.26,BAHÍA AGUIRRE
2023-01-20 17:23:00-03:00,1.51,BAHÍA AGUIRRE
2023-01-20 22:35:00-03:00,0.85,BAHÍA AGUIRRE
2023-01-21 04:46:00-03:00,1.98,BAHÍA AGUIRRE
2023-01-21 11:47:00-03:00,0.18,BAHÍA AGUIRRE
2023-01-21 18:13:00-03:00,1.56,BAHÍA AGUIRRE
2023-01-21 23:29:00-03:00,0.79,BAHÍA AGUIRRE
2023-01-22 05:40:00-03:00,2.05,BAHÍA AGUIRRE
2023-01-22 12:37:00-03:00,0.12,BAHÍA AGUIRRE
2023-01-22 18:59:00-03:00,1.6,BAHÍA AGUIRRE
2023-01-23 00:19:00-03:00,0.72,BAHÍA AGUIRRE
2023-01-23 06:31:00-03:00,2.11,BAHÍA AGUIRRE
2023-01-23 13:24:00-03:00,0.11,BAHÍA AGUIRRE
2023-01-23 19:42:00-03:00,1.63,BAHÍA AGUIRRE
2023-01-24 01:08:00-03:00,0.65,BAHÍA AGUIRRE
2023-01-24 07:21:00-03:00,2.13,BAHÍA AGUIRRE
2023-01-24 14:09:00-03:00,0.13,BAHÍA AGUIRRE
2023-01-24 20:24:00-03:00,1.65,BAHÍA AGUIRRE
2023-01-25 01:56:00-03:00,0.59,BAHÍA AGUIRRE
2023-01-25 08:11:00-03:00,2.11,BAHÍA AGUIRRE
2023-01-25 14:53:00-03:00,0.2,BAHÍA AGUIRRE
2023-01-25 21:04:00-03:00,1.66,BAHÍA AGUIRRE
2023-01-26 02:44:00-03:00,0.55,BAHÍA AGUIRRE
2023-01-26 09:01:00-03:00,2.05,BAHÍA AGUIRRE
2023-01-26 15:37:00-03:00,0.3,BAHÍA AGUIRRE
2023-01-26 21:45:00-03:00,1.65,BAHÍA AGUIRRE
2023-01-27 03:33:00-03:00,0.53,BAHÍA AGUIRRE
2023-01-27 09:52:00-03:00,1.95,BAHÍA AGUIRRE
2023-01-27 16:22:00-03:00,0.43,BAHÍA AGUIRRE
2023-01-27 22:27:00-03:00,1.64,BAHÍA AGUIRRE
2023-01-28 04:26:00-03:00,0.52,BAHÍA AGUIRRE
2023-01-28 10:47:00-03:00,1.82,BAHÍA AGUIRRE
2023-01-28 17:07:00-03:00,0.57,BAHÍA AGUIRRE
2023-01-28 23:10:00-03:00,1.63,BAHÍA AGUIRRE
2023-01-29 05:23:00-03:00,0.53,BAHÍA AGUIRRE
2023-01-29 11:47:00-03:00,1.68,BAHÍA AGUIRRE
2023-01-29 17:55:00-03:00,0.72,BAHÍA AGUIRRE
2023-01-29 23:57:00-03:00,1.62,BAHÍA AGUIRRE
2023-01-30 06:26:00-03:00,0.54,BAHÍA AGUIRRE
2023-01-30 12:57:00-03:00,1.56,BAHÍA AGUIRRE
2023-01-30 18:47:00-03:00,0.85,BAHÍA AGUIRRE
2023-01-31 00:49:00-03:00,1.61,BAHÍA AGUIRRE
2023-01-31 07:37:00-03:00,0.53,BAHÍA AGUIRRE
2023-01-31 14:16:00-03:00,1.47,BAHÍA AGUIRRE
2023-01-31 19:45:00-03:00,0.96,BAHÍA AGUIRRE
