datetime,height,port
2023-11-01 01:41:00-03:00,0.73,BAHÍA AGUIRRE
2023-11-01 07:34:00-03:00,1.92,BAHÍA AGUIRRE
2023-11-01 14:17:00-03:00,0.14,BAHÍA AGUIRRE
2023-11-01 20:50:00-03:00,1.7,BAHÍA AGUIRRE
2023-11-02 02:17:00-03:00,0.82,BAHÍA AGUIRRE
2023-11-02 08:11:00-03:00,1.9,BAHÍA AGUIRRE
2023-11-02 15:04:00-03:00,0.19,BAHÍA AGUIRRE
2023-11-02 21:39:00-03:00,1.58,BAHÍA AGUIRRE
2023-11-03 02:53:00-03:00,0.91,BAHÍA AGUIRRE
2023-11-03 08:50:00-03:00,1.86,BAHÍA AGUIRRE
2023-11-03 15:54:00-03:00,0.28,BAHÍA AGUIRRE
2023-11-03 22:33:00-03:00,1.46,BAHÍA AGUIRRE
2023-11-04 03:31:00-03:00,0.98,BAHÍA AGUIRRE
2023-11-04 09:34:00-03:00,1.79,BAHÍA AGUIRRE
2023-11-04 16:49:00-03:00,0.38,BAHÍA AGUIRRE
2023-11-04 23:33:00-03:00,1.37,BAHÍA AGUIRRE
2023-11-05 04:15:00-03:00,1.04,BAHÍA AGUIRRE
2023-11-05 10:24:00-03:00,1.71,BAHÍA AGUIRRE
2023-11-05 17:50:00-03:00,0.49,BAHÍA AGUIRRE
2023-11-06 00:41:00-03:00,1.31,BAHÍA AGUIRRE
2023-11-06 05:13:00-03:00,1.07,BAHÍA AGUIRRE
2023-11-06 11:27:00-03:00,1.64,BAHÍA AGUIRRE
2023-11-06 18:58:00-03:00,0.57,BAHÍA AGUIRRE
2023-11-07 01:48:00-03:00,1.29,BAHÍA AGUIRRE
2023-11-07 06:29:00-03:00,1.06,BAHÍA AGUIRRE
2023-11-07 12:43:00-03:00,1.58,BAHÍA AGUIRRE
2023-11-07 20:04:00-03:00,0.63,BAHÍA AGUIRRE
2023-11-08 02:40:00-03:00,1.31,BAHÍA AGUIRRE
2023-11-08 07:48:00-03:00,0.99,BAHÍA AGUIRRE
2023-11-08 14:03:00-03:00,1.57,BAHÍA AGUIRRE
2023-11-08 21:01:00-03:00,0.67,BAHÍA AGUIRRE
2023-11-09 03:19:00-03:00,1.36,BAHÍA AGUIRRE
2023-11-09 08:53:00-03:00,0.87,BAHÍA AGUIRRE
2023-11-09 15:12:00-03:00,1.59,BAHÍA AGUIRRE
2023-11-09 21:47:00-03:00,0.71,BAHÍA AGUIRRE
2023-11-10 03:50:00-03:00,1.43,BAHÍA AGUIRRE
2023-11-10 09:46:00-03:00,0.72,BAHÍA AGUIRRE
2023-11-10 16:09:00-03:00,1.63,BAHÍA AGUIRRE
2023-11-10 22:25:00-03:00,0.74,BAHÍA AGUIRRE
2023-11-11 04:18:00-03:00,1.52,BAHÍA AGUIRRE
2023-11-11 10:31:00-03:00,0.57,BAHÍA AGUIRRE
2023-11-11 16:58:00-03:00,1.66,BAHÍA AGUIRRE
2023-11-11 22:57:00-03:00,0.77,BAHÍA AGUIRRE
2023-11-12 04:47:00-03:00,1.63,BAHÍA AGUIRRE
2023-11-12 11:13:00-03:00,0.43,BAHÍA AGUIRRE
2023-11-12 17:42:00-03:00,1.67,BAHÍA AGUIRRE
2023-11-12 23:28:00-03:00,0.78,BAHÍA AGUIRRE
2023-11-13 05:18:00-03:00,1.74,BAHÍA AGUIRRE
2023-11-13 11:54:00-03:00,0.31,BAHÍA AGUIRRE
2023-11-13 18:23:00-03:00,1.67,BAHÍA AGUIRRE
2023-11-13 23:58:00-03:00,0.79,BAHÍA AGUIRRE
2023-11-14 05:52:00-03:00,1.85,BAHÍA AGUIRRE
2023-11-14 12:35:00-03:00,0.22,BAHÍA AGUIRRE
2023-11-14 19:04:00-03:00,1.65,BAHÍA AGUIRRE
2023-11-15 00:30:00-03:00,0.8,BAHÍA AGUIRRE
2023-11-15 06:28:00-03:00,1.94,BAHÍA AGUIRRE
2023-11-15 13:18:00-03:00,0.16,BAHÍA AGUIRRE
2023-11-15 19:45:00-03:00,1.62,BAHÍA AGUIRRE
2023-11-16 01:04:00-03:00,0.8,BAHÍA AGUIRRE
2023-11-16 07:07:00-03:00,2.0,BAHÍA AGUIRRE
2023-11-16 14:02:00-03:00,0.15,BAHÍA AGUIRRE
2023-11-16 20:27:00-03:00,1.58,BAHÍA AGUIRRE
2023-11-17 01:43:00-03:00,0.8,BAHÍA AGUIRRE
2023-11-17 07:50:00-03:00,2.02,BAHÍA AGUIRRE
2023-11-17 14:49:00-03:00,0.17,BAHÍA AGUIRRE
2023-11-17 21:13:00-03:00,1.53,BAHÍA AGUIRRE
2023-11-18 02:25:00-03:00,0.81,BAHÍA AGUIRRE
2023-11-18 08:38:00-03:00,2.0,BAHÍA AGUIRRE
2023-11-18 15:39:00-03:00,0.22,BAHÍA AGUIRRE
2023-11-18 22:03:00-03:00,1.49,BAHÍA AGUIRRE
2023-11-19 03:15:00-03:00,0.82,BAHÍA AGUIRRE
2023-11-19 09:31:00-03:00,1.95,BAHÍA AGUIRRE
2023-11-19 16:34:00-03:00,0.3,BAHÍA AGUIRRE
2023-11-19 22:59:00-03:00,1.46,BAHÍA AGUIRRE
2023-11-20 04:14:00-03:00,0.83,BAHÍA AGUIRRE
2023-11-20 10:32:00-03:00,1.88,BAHÍA AGUIRRE
2023-11-20 17:34:00-03:00,0.38,BAHÍA AGUIRRE
2023-11-20 23:59:00-03:00,1.45,BAHÍA AGUIRRE
2023-11-21 05:23:00-03:00,0.82,BAHÍA AGUIRRE
2023-11-21 11:42:00-03:00,1.81,BAHÍA AGUIRRE
2023-11-21 18:39:00-03:00,0.46,BAHÍA AGUIRRE
2023-11-22 01:00:00-03:00,1.48,BAHÍA AGUIRRE
2023-11-22 06:39:00-03:00,0.77,BAHÍA AGUIRRE
2023-11-22 12:59:00-03:00,1.77,BAHÍA AGUIRRE
2023-11-22 19:43:00-03:00,0.51,BAHÍA AGUIRRE
2023-11-23 02:00:00-03:00,1.53,BAHÍA AGUIRRE
2023-11-23 07:54:00-03:00,0.68,BAHÍA AGUIRRE
2023-11-23 14:15:00-03:00,1.75,BAHÍA AGUIRRE
2023-11-23 20:44:00-03:00,0.56,BAHÍA AGUIRRE
2023-11-24 02:53:00-03:00,1.61,BAHÍA AGUIRRE
2023-11-24 09:02:00-03:00,0.55,BAHÍA AGUIRRE
2023-11-24 15:25:00-03:00,1.77,BAHÍA AGUIRRE
2023-11-24 21:39:00-03:00,0.6,BAHÍA AGUIRRE
2023-11-25 03:42:00-03:00,1.7,BAHÍA AGUIRRE
2023-11-25 10:02:00-03:00,0.41,BAHÍA AGUIRRE
2023-11-25 16:28:00-03:00,1.78,BAHÍA AGUIRRE
2023-11-25 22:29:00-03:00,0.64,BAHÍA AGUIRRE
2023-11-26 04:27:00-03:00,1.78,BAHÍA AGUIRRE
2023-11-26 10:56:00-03:00,0.29,BAHÍA AGUIRRE
2023-11-26 17:24:00-03:00,1.79,BAHÍA AGUIRRE
2023-11-26 23:15:00-03:00,0.68,BAHÍA AGUIRRE
2023-11-27 05:10:00-03:00,1.85,BAHÍA AGUIRRE
2023-11-27 11:46:00-03:00,0.19,BAHÍA AGUIRRE
2023-11-27 18:17:00-03:00,1.77,BAHÍA AGUIRRE
2023-11-27 23:57:00-03:00,0.73,BAHÍA AGUIRRE
2023-11-28 05:51:00-03:00,1.91,BAHÍA AGUIRRE
2023-11-28 12:34:00-03:00,0.13,BAHÍA AGUIRRE
2023-11-28 19:06:00-03:00,1.73,BAHÍA AGUIRRE
2023-11-29 00:36:00-03:00,0.79,BAHÍA AGUIRRE
2023-11-29 06:30:00-03:00,1.94,BAHÍA AGUIRRE
2023-11-29 13:21:00-03:00,0.12,BAHÍA AGUIRRE
2023-11-29 19:54:00-03:00,1.66,BAHÍA AGUIRRE
2023-11-30 01:15:00-03:00,0.85,BAHÍA AGUIRRE
2023-11-30 07:10:00-03:00,1.95,BAHÍA AGUIRRE
2023-11-30 14:07:00-03:00,0.14,BAHÍA AGUIRRE
2023-11-30 20:41:00-03:00,1.59,BAHÍA AGUIRRE
