datetime,height,port
2023-12-01 01:52:00-03:00,0.9,BAHÍA AGUIRRE
2023-12-01 07:50:00-03:00,1.93,BAHÍA AGUIRRE
2023-12-01 14:53:00-03:00,0.2,BAHÍA AGUIRRE
2023-12-01 21:28:00-03:00,1.5,BAHÍA AGUIRRE
2023-12-02 02:29:00-03:00,0.94,BAHÍA AGUIRRE
2023-12-02 08:32:00-03:00,1.88,BAHÍA AGUIRRE
2023-12-02 15:40:00-03:00,0.29,BAHÍA AGUIRRE
2023-12-02 22:15:00-03:00,1.43,BAHÍA AGUIRRE
2023-12-03 03:09:00-03:00,0.97,BAHÍA AGUIRRE
2023-12-03 09:16:00-03:00,1.82,BAHÍA AGUIRRE
2023-12-03 16:28:00-03:00,0.39,BAHÍA AGUIRRE
2023-12-03 23:02:00-03:00,1.36,BAHÍA AGUIRRE
2023-12-04 03:53:00-03:00,0.98,BAHÍA AGUIRRE
2023-12-04 10:06:00-03:00,1.74,BAHÍA AGUIRRE
2023-12-04 17:19:00-03:00,0.5,BAHÍA AGUIRRE
2023-12-04 23:49:00-03:00,1.33,BAHÍA AGUIRRE
2023-12-05 04:46:00-03:00,0.97,BAHÍA AGUIRRE
2023-12-05 11:03:00-03:00,1.66,BAHÍA AGUIRRE
2023-12-05 18:11:00-03:00,0.61,BAHÍA AGUIRRE
2023-12-06 00:34:00-03:00,1.32,BAHÍA AGUIRRE
2023-12-06 05:49:00-03:00,0.93,BAHÍA AGUIRRE
2023-12-06 12:09:00-03:00,1.59,BAHÍA AGUIRRE
2023-12-06 19:03:00-03:00,0.71,BAHÍA AGUIRRE
2023-12-07 01:17:00-03:00,1.35,BAHÍA AGUIRRE
2023-12-07 06:58:00-03:00,0.87,BAHÍA AGUIRRE
2023-12-07 13:21:00-03:00,1.54,BAHÍA AGUIRRE
2023-12-07 19:54:00-03:00,0.78,BAHÍA AGUIRRE
2023-12-08 01:58:00-03:00,1.4,BAHÍA AGUIRRE
2023-12-08 08:05:00-03:00,0.76,BAHÍA AGUIRRE
2023-12-08 14:32:00-03:00,1.52,BAHÍA AGUIRRE
2023-12-08 20:40:00-03:00,0.84,BAHÍA AGUIRRE
2023-12-09 02:38:00-03:00,1.49,BAHÍA AGUIRRE
2023-12-09 09:05:00-03:00,0.64,BAHÍA AGUIRRE
2023-12-09 15:35:00-03:00,1.52,BAHÍA AGUIRRE
2023-12-09 21:22:00-03:00,0.88,BAHÍA AGUIRRE
2023-12-10 03:18:00-03:00,1.59,BAHÍA AGUIRRE
2023-12-10 09:59:00-03:00,0.51,BAHÍA AGUIRRE
2023-12-10 16:31:00-03:00,1.53,BAHÍA AGUIRRE
