datetime,height,port
2023-07-01 04:22:00-03:00,1.48,BAHÍA AGUIRRE
2023-07-01 09:40:00-03:00,0.9,BAHÍA AGUIRRE
2023-07-01 15:46:00-03:00,1.81,BAHÍA AGUIRRE
2023-07-01 22:46:00-03:00,0.31,BAHÍA AGUIRRE
2023-07-02 05:17:00-03:00,1.51,BAHÍA AGUIRRE
2023-07-02 10:29:00-03:00,0.88,BAHÍA AGUIRRE
2023-07-02 16:36:00-03:00,1.92,BAHÍA AGUIRRE
2023-07-02 23:38:00-03:00,0.22,BAHÍA AGUIRRE
2023-07-03 06:07:00-03:00,1.53,BAHÍA AGUIRRE
2023-07-03 11:18:00-03:00,0.84,BAHÍA AGUIRRE
2023-07-03 17:27:00-03:00,2.01,BAHÍA AGUIRRE
2023-07-04 00:27:00-03:00,0.15,BAHÍA AGUIRRE
2023-07-04 06:53:00-03:00,1.56,BAHÍA AGUIRRE
2023-07-04 12:06:00-03:00,0.79,BAHÍA AGUIRRE
2023-07-04 18:16:00-03:00,2.07,BAHÍA AGUIRRE
2023-07-05 01:14:00-03:00,0.11,BAHÍA AGUIRRE
2023-07-05 07:37:00-03:00,1.58,BAHÍA AGUIRRE
2023-07-05 12:54:00-03:00,0.74,BAHÍA AGUIRRE
2023-07-05 19:06:00-03:00,2.11,BAHÍA AGUIRRE
2023-07-06 02:01:00-03:00,0.11,BAHÍA AGUIRRE
2023-07-06 08:21:00-03:00,1.6,BAHÍA AGUIRRE
2023-07-06 13:42:00-03:00,0.69,BAHÍA AGUIRRE
2023-07-06 19:56:00-03:00,2.11,BAHÍA AGUIRRE
2023-07-07 02:47:00-03:00,0.15,BAHÍA AGUIRRE
2023-07-07 09:04:00-03:00,1.6,BAHÍA AGUIRRE
2023-07-07 14:32:00-03:00,0.65,BAHÍA AGUIRRE
2023-07-07 20:47:00-03:00,2.07,BAHÍA AGUIRRE
2023-07-08 03:34:00-03:00,0.22,BAHÍA AGUIRRE
2023-07-08 09:48:00-03:00,1.61,BAHÍA AGUIRRE
2023-07-08 15:24:00-03:00,0.62,BAHÍA AGUIRRE
2023-07-08 21:41:00-03:00,1.99,BAHÍA AGUIRRE
2023-07-09 04:22:00-03:00,0.33,BAHÍA AGUIRRE
2023-07-09 10:33:00-03:00,1.61,BAHÍA AGUIRRE
2023-07-09 16:19:00-03:00,0.6,BAHÍA AGUIRRE
2023-07-09 22:38:00-03:00,1.89,BAHÍA AGUIRRE
2023-07-10 05:11:00-03:00,0.45,BAHÍA AGUIRRE
2023-07-10 11:21:00-03:00,1.61,BAHÍA AGUIRRE
2023-07-10 17:19:00-03:00,0.59,BAHÍA AGUIRRE
2023-07-10 23:40:00-03:00,1.78,BAHÍA AGUIRRE
2023-07-11 06:03:00-03:00,0.58,BAHÍA AGUIRRE
2023-07-11 12:11:00-03:00,1.62,BAHÍA AGUIRRE
2023-07-11 18:24:00-03:00,0.56,BAHÍA AGUIRRE
2023-07-12 00:48:00-03:00,1.67,BAHÍA AGUIRRE
2023-07-12 06:59:00-03:00,0.7,BAHÍA AGUIRRE
2023-07-12 13:04:00-03:00,1.63,BAHÍA AGUIRRE
2023-07-12 19:34:00-03:00,0.53,BAHÍA AGUIRRE
2023-07-13 02:03:00-03:00,1.59,BAHÍA AGUIRRE
2023-07-13 07:57:00-03:00,0.81,BAHÍA AGUIRRE
2023-07-13 14:00:00-03:00,1.66,BAHÍA AGUIRRE
2023-07-13 20:44:00-03:00,0.47,BAHÍA AGUIRRE
2023-07-14 03:20:00-03:00,1.54,BAHÍA AGUIRRE
2023-07-14 08:56:00-03:00,0.88,BAHÍA AGUIRRE
2023-07-14 14:55:00-03:00,1.7,BAHÍA AGUIRRE
2023-07-14 21:51:00-03:00,0.4,BAHÍA AGUIRRE
2023-07-15 04:31:00-03:00,1.53,BAHÍA AGUIRRE
2023-07-15 09:52:00-03:00,0.93,BAHÍA AGUIRRE
2023-07-15 15:49:00-03:00,1.75,BAHÍA AGUIRRE
2023-07-15 22:51:00-03:00,0.32,BAHÍA AGUIRRE
2023-07-16 05:33:00-03:00,1.52,BAHÍA AGUIRRE
2023-07-16 10:44:00-03:00,0.96,BAHÍA AGUIRRE
2023-07-16 16:40:00-03:00,1.81,BAHÍA AGUIRRE
2023-07-16 23:45:00-03:00,0.26,BAHÍA AGUIRRE
2023-07-17 06:25:00-03:00,1.52,BAHÍA AGUIRRE
2023-07-17 11:30:00-03:00,0.96,BAHÍA AGUIRRE
2023-07-17 17:28:00-03:00,1.86,BAHÍA AGUIRRE
2023-07-18 00:33:00-03:00,0.23,BAHÍA AGUIRRE
2023-07-18 07:09:00-03:00,1.51,BAHÍA AGUIRRE
2023-07-18 12:11:00-03:00,0.94,BAHÍA AGUIRRE
2023-07-18 18:12:00-03:00,1.9,BAHÍA AGUIRRE
2023-07-19 01:16:00-03:00,0.23,BAHÍA AGUIRRE
2023-07-19 07:47:00-03:00,1.48,BAHÍA AGUIRRE
2023-07-19 12:48:00-03:00,0.9,BAHÍA AGUIRRE
2023-07-19 18:54:00-03:00,1.92,BAHÍA AGUIRRE
2023-07-20 01:56:00-03:00,0.27,BAHÍA AGUIRRE
2023-07-20 08:19:00-03:00,1.46,BAHÍA AGUIRRE
2023-07-20 13:24:00-03:00,0.86,BAHÍA AGUIRRE
2023-07-20 19:35:00-03:00,1.92,BAHÍA AGUIRRE
2023-07-21 02:32:00-03:00,0.33,BAHÍA AGUIRRE
2023-07-21 08:48:00-03:00,1.45,BAHÍA AGUIRRE
2023-07-21 14:00:00-03:00,0.8,BAHÍA AGUIRRE
2023-07-21 20:16:00-03:00,1.9,BAHÍA AGUIRRE
2023-07-22 03:06:00-03:00,0.41,BAHÍA AGUIRRE
2023-07-22 09:14:00-03:00,1.44,BAHÍA AGUIRRE
2023-07-22 14:38:00-03:00,0.74,BAHÍA AGUIRRE
2023-07-22 20:57:00-03:00,1.85,BAHÍA AGUIRRE
2023-07-23 03:39:00-03:00,0.5,BAHÍA AGUIRRE
2023-07-23 09:41:00-03:00,1.46,BAHÍA AGUIRRE
2023-07-23 15:19:00-03:00,0.69,BAHÍA AGUIRRE
2023-07-23 21:40:00-03:00,1.78,BAHÍA AGUIRRE
2023-07-24 04:11:00-03:00,0.6,BAHÍA AGUIRRE
2023-07-24 10:10:00-03:00,1.49,BAHÍA AGUIRRE
2023-07-24 16:05:00-03:00,0.65,BAHÍA AGUIRRE
2023-07-24 22:27:00-03:00,1.69,BAHÍA AGUIRRE
2023-07-25 04:45:00-03:00,0.7,BAHÍA AGUIRRE
2023-07-25 10:44:00-03:00,1.53,BAHÍA AGUIRRE
2023-07-25 16:57:00-03:00,0.62,BAHÍA AGUIRRE
2023-07-25 23:20:00-03:00,1.58,BAHÍA AGUIRRE
2023-07-26 05:22:00-03:00,0.79,BAHÍA AGUIRRE
2023-07-26 11:24:00-03:00,1.58,BAHÍA AGUIRRE
2023-07-26 17:57:00-03:00,0.59,BAHÍA AGUIRRE
2023-07-27 00:22:00-03:00,1.49,BAHÍA AGUIRRE
2023-07-27 06:05:00-03:00,0.87,BAHÍA AGUIRRE
2023-07-27 12:13:00-03:00,1.63,BAHÍA AGUIRRE
2023-07-27 19:05:00-03:00,0.56,BAHÍA AGUIRRE
2023-07-28 01:34:00-03:00,1.41,BAHÍA AGUIRRE
2023-07-28 06:56:00-03:00,0.92,BAHÍA AGUIRRE
2023-07-28 13:11:00-03:00,1.69,BAHÍA AGUIRRE
2023-07-28 20:18:00-03:00,0.5,BAHÍA AGUIRRE
2023-07-29 02:51:00-03:00,1.38,BAHÍA AGUIRRE
2023-07-29 07:58:00-03:00,0.95,BAHÍA AGUIRRE
2023-07-29 14:14:00-03:00,1.75,BAHÍA AGUIRRE
2023-07-29 21:28:00-03:00,0.42,BAHÍA AGUIRRE
2023-07-30 04:02:00-03:00,1.4,BAHÍA AGUIRRE
2023-07-30 09:03:00-03:00,0.95,BAHÍA AGUIRRE
2023-07-30 15:19:00-03:00,1.84,BAHÍA AGUIRRE
2023-07-30 22:30:00-03:00,0.33,BAHÍA AGUIRRE
2023-07-31 05:02:00-03:00,1.44,BAHÍA AGUIRRE
2023-07-31 10:06:00-03:00,0.9,BAHÍA AGUIRRE
2023-07-31 16:20:00-03:00,1.93,BAHÍA AGUIRRE
2023-07-31 23:26:00-03:00,0.24,BAHÍA AGUIRRE
