datetime,height,port
2023-08-01 05:52:00-03:00,1.5,BAHÍA AGUIRRE
2023-08-01 11:03:00-03:00,0.82,BAHÍA AGUIRRE
2023-08-01 17:17:00-03:00,2.02,BAHÍA AGUIRRE
2023-08-02 00:16:00-03:00,0.18,BAHÍA AGUIRRE
2023-08-02 06:37:00-03:00,1.56,BAHÍA AGUIRRE
2023-08-02 11:55:00-03:00,0.73,BAHÍA AGUIRRE
2023-08-02 18:10:00-03:00,2.09,BAHÍA AGUIRRE
2023-08-03 01:02:00-03:00,0.15,BAHÍA AGUIRRE
2023-08-03 07:18:00-03:00,1.61,BAHÍA AGUIRRE
2023-08-03 12:45:00-03:00,0.63,BAHÍA AGUIRRE
2023-08-03 19:00:00-03:00,2.13,BAHÍA AGUIRRE
2023-08-04 01:46:00-03:00,0.16,BAHÍA AGUIRRE
2023-08-04 07:58:00-03:00,1.65,BAHÍA AGUIRRE
2023-08-04 13:33:00-03:00,0.55,BAHÍA AGUIRRE
2023-08-04 19:50:00-03:00,2.12,BAHÍA AGUIRRE
2023-08-05 02:29:00-03:00,0.21,BAHÍA AGUIRRE
2023-08-05 08:37:00-03:00,1.68,BAHÍA AGUIRRE
2023-08-05 14:20:00-03:00,0.49,BAHÍA AGUIRRE
2023-08-05 20:39:00-03:00,2.08,BAHÍA AGUIRRE
2023-08-06 03:11:00-03:00,0.29,BAHÍA AGUIRRE
2023-08-06 09:16:00-03:00,1.7,BAHÍA AGUIRRE
2023-08-06 15:08:00-03:00,0.45,BAHÍA AGUIRRE
2023-08-06 21:29:00-03:00,1.99,BAHÍA AGUIRRE
2023-08-07 03:53:00-03:00,0.41,BAHÍA AGUIRRE
2023-08-07 09:56:00-03:00,1.7,BAHÍA AGUIRRE
2023-08-07 15:59:00-03:00,0.44,BAHÍA AGUIRRE
2023-08-07 22:21:00-03:00,1.87,BAHÍA AGUIRRE
2023-08-08 04:37:00-03:00,0.55,BAHÍA AGUIRRE
2023-08-08 10:38:00-03:00,1.69,BAHÍA AGUIRRE
2023-08-08 16:53:00-03:00,0.45,BAHÍA AGUIRRE
2023-08-08 23:18:00-03:00,1.73,BAHÍA AGUIRRE
2023-08-09 05:22:00-03:00,0.69,BAHÍA AGUIRRE
2023-08-09 11:23:00-03:00,1.67,BAHÍA AGUIRRE
2023-08-09 17:55:00-03:00,0.48,BAHÍA AGUIRRE
2023-08-10 00:24:00-03:00,1.59,BAHÍA AGUIRRE
2023-08-10 06:12:00-03:00,0.83,BAHÍA AGUIRRE
2023-08-10 12:14:00-03:00,1.66,BAHÍA AGUIRRE
2023-08-10 19:04:00-03:00,0.49,BAHÍA AGUIRRE
2023-08-11 01:42:00-03:00,1.48,BAHÍA AGUIRRE
2023-08-11 07:10:00-03:00,0.95,BAHÍA AGUIRRE
2023-08-11 13:13:00-03:00,1.65,BAHÍA AGUIRRE
2023-08-11 20:20:00-03:00,0.48,BAHÍA AGUIRRE
2023-08-12 03:08:00-03:00,1.42,BAHÍA AGUIRRE
2023-08-12 08:16:00-03:00,1.02,BAHÍA AGUIRRE
2023-08-12 14:17:00-03:00,1.66,BAHÍA AGUIRRE
2023-08-12 21:35:00-03:00,0.44,BAHÍA AGUIRRE
2023-08-13 04:27:00-03:00,1.42,BAHÍA AGUIRRE
2023-08-13 09:23:00-03:00,1.04,BAHÍA AGUIRRE
2023-08-13 15:23:00-03:00,1.7,BAHÍA AGUIRRE
