datetime,height,port
2023-09-01 00:43:00-03:00,0.22,BAHÍA AGUIRRE
2023-09-01 06:51:00-03:00,1.67,BAHÍA AGUIRRE
2023-09-01 12:33:00-03:00,0.48,BAHÍA AGUIRRE
2023-09-01 18:52:00-03:00,2.11,BAHÍA AGUIRRE
2023-09-02 01:24:00-03:00,0.25,BAHÍA AGUIRRE
2023-09-02 07:28:00-03:00,1.73,BAHÍA AGUIRRE
2023-09-02 13:19:00-03:00,0.38,BAHÍA AGUIRRE
2023-09-02 19:40:00-03:00,2.1,BAHÍA AGUIRRE
2023-09-03 02:04:00-03:00,0.31,BAHÍA AGUIRRE
2023-09-03 08:04:00-03:00,1.77,BAHÍA AGUIRRE
2023-09-03 14:04:00-03:00,0.32,BAHÍA AGUIRRE
2023-09-03 20:27:00-03:00,2.04,BAHÍA AGUIRRE
2023-09-04 02:43:00-03:00,0.41,BAHÍA AGUIRRE
2023-09-04 08:40:00-03:00,1.79,BAHÍA AGUIRRE
2023-09-04 14:50:00-03:00,0.29,BAHÍA AGUIRRE
2023-09-04 21:14:00-03:00,1.93,BAHÍA AGUIRRE
2023-09-05 03:21:00-03:00,0.54,BAHÍA AGUIRRE
2023-09-05 09:17:00-03:00,1.78,BAHÍA AGUIRRE
2023-09-05 15:37:00-03:00,0.31,BAHÍA AGUIRRE
2023-09-05 22:04:00-03:00,1.8,BAHÍA AGUIRRE
2023-09-06 04:00:00-03:00,0.68,BAHÍA AGUIRRE
2023-09-06 09:56:00-03:00,1.76,BAHÍA AGUIRRE
2023-09-06 16:29:00-03:00,0.36,BAHÍA AGUIRRE
2023-09-06 22:59:00-03:00,1.64,BAHÍA AGUIRRE
2023-09-07 04:41:00-03:00,0.82,BAHÍA AGUIRRE
2023-09-07 10:39:00-03:00,1.72,BAHÍA AGUIRRE
2023-09-07 17:28:00-03:00,0.42,BAHÍA AGUIRRE
2023-09-08 00:05:00-03:00,1.49,BAHÍA AGUIRRE
2023-09-08 05:27:00-03:00,0.95,BAHÍA AGUIRRE
2023-09-08 11:28:00-03:00,1.68,BAHÍA AGUIRRE
2023-09-08 18:38:00-03:00,0.48,BAHÍA AGUIRRE
2023-09-09 01:27:00-03:00,1.38,BAHÍA AGUIRRE
2023-09-09 06:24:00-03:00,1.05,BAHÍA AGUIRRE
2023-09-09 12:29:00-03:00,1.64,BAHÍA AGUIRRE
2023-09-09 19:58:00-03:00,0.51,BAHÍA AGUIRRE
2023-09-10 03:01:00-03:00,1.34,BAHÍA AGUIRRE
2023-09-10 07:39:00-03:00,1.1,BAHÍA AGUIRRE
2023-09-10 13:44:00-03:00,1.62,BAHÍA AGUIRRE
2023-09-10 21:17:00-03:00,0.49,BAHÍA AGUIRRE
2023-09-11 04:18:00-03:00,1.36,BAHÍA AGUIRRE
2023-09-11 08:59:00-03:00,1.09,BAHÍA AGUIRRE
2023-09-11 15:00:00-03:00,1.65,BAHÍA AGUIRRE
2023-09-11 22:22:00-03:00,0.46,BAHÍA AGUIRRE
2023-09-12 05:08:00-03:00,1.39,BAHÍA AGUIRRE
2023-09-12 10:02:00-03:00,1.02,BAHÍA AGUIRRE
2023-09-12 16:05:00-03:00,1.72,BAHÍA AGUIRRE
2023-09-12 23:13:00-03:00,0.43,BAHÍA AGUIRRE
2023-09-13 05:43:00-03:00,1.42,BAHÍA AGUIRRE
2023-09-13 10:51:00-03:00,0.91,BAHÍA AGUIRRE
2023-09-13 16:59:00-03:00,1.79,BAHÍA AGUIRRE
2023-09-13 23:54:00-03:00,0.43,BAHÍA AGUIRRE
2023-09-14 06:09:00-03:00,1.45,BAHÍA AGUIRRE
2023-09-14 11:31:00-03:00,0.79,BAHÍA AGUIRRE
2023-09-14 17:45:00-03:00,1.84,BAHÍA AGUIRRE
2023-09-15 00:28:00-03:00,0.45,BAHÍA AGUIRRE
2023-09-15 06:32:00-03:00,1.49,BAHÍA AGUIRRE
2023-09-15 12:07:00-03:00,0.67,BAHÍA AGUIRRE
2023-09-15 18:26:00-03:00,1.88,BAHÍA AGUIRRE
2023-09-16 00:57:00-03:00,0.49,BAHÍA AGUIRRE
2023-09-16 06:53:00-03:00,1.54,BAHÍA AGUIRRE
2023-09-16 12:41:00-03:00,0.55,BAHÍA AGUIRRE
2023-09-16 19:04:00-03:00,1.88,BAHÍA AGUIRRE
2023-09-17 01:24:00-03:00,0.55,BAHÍA AGUIRRE
2023-09-17 07:15:00-03:00,1.61,BAHÍA AGUIRRE
2023-09-17 13:17:00-03:00,0.44,BAHÍA AGUIRRE
2023-09-17 19:41:00-03:00,1.86,BAHÍA AGUIRRE
2023-09-18 01:50:00-03:00,0.6,BAHÍA AGUIRRE
2023-09-18 07:40:00-03:00,1.68,BAHÍA AGUIRRE
2023-09-18 13:54:00-03:00,0.37,BAHÍA AGUIRRE
2023-09-18 20:19:00-03:00,1.81,BAHÍA AGUIRRE
2023-09-19 02:16:00-03:00,0.66,BAHÍA AGUIRRE
2023-09-19 08:08:00-03:00,1.75,BAHÍA AGUIRRE
2023-09-19 14:33:00-03:00,0.32,BAHÍA AGUIRRE
