datetime,height,port
2023-01-01 01:29:00-03:00,2.01,BAHÍA BUEN SUCESO
2023-01-01 07:53:00-03:00,0.68,BAHÍA BUEN SUCESO
2023-01-01 13:56:00-03:00,1.77,BAHÍA BUEN SUCESO
2023-01-01 19:57:00-03:00,0.7,BAHÍA BUEN SUCESO
2023-01-02 02:23:00-03:00,2.03,BAHÍA BUEN SUCESO
2023-01-02 08:58:00-03:00,0.59,BAHÍA BUEN SUCESO
2023-01-02 15:07:00-03:00,1.74,BAHÍA BUEN SUCESO
2023-01-02 20:55:00-03:00,0.78,BAHÍA BUEN SUCESO
2023-01-03 03:14:00-03:00,2.06,BAHÍA BUEN SUCESO
2023-01-03 09:56:00-03:00,0.49,BAHÍA BUEN SUCESO
2023-01-03 16:12:00-03:00,1.75,BAHÍA BUEN SUCESO
2023-01-03 21:49:00-03:00,0.84,BAHÍA BUEN SUCESO
2023-01-04 04:02:00-03:00,2.1,BAHÍA BUEN SUCESO
2023-01-04 10:49:00-03:00,0.4,BAHÍA BUEN SUCESO
2023-01-04 17:10:00-03:00,1.77,BAHÍA BUEN SUCESO
2023-01-04 22:39:00-03:00,0.88,BAHÍA BUEN SUCESO
2023-01-05 04:46:00-03:00,2.13,BAHÍA BUEN SUCESO
2023-01-05 11:36:00-03:00,0.32,BAHÍA BUEN SUCESO
2023-01-05 18:00:00-03:00,1.79,BAHÍA BUEN SUCESO
2023-01-05 23:24:00-03:00,0.91,BAHÍA BUEN SUCESO
2023-01-06 05:28:00-03:00,2.16,BAHÍA BUEN SUCESO
2023-01-06 12:19:00-03:00,0.27,BAHÍA BUEN SUCESO
2023-01-06 18:45:00-03:00,1.8,BAHÍA BUEN SUCESO
2023-01-07 00:06:00-03:00,0.92,BAHÍA BUEN SUCESO
2023-01-07 06:07:00-03:00,2.17,BAHÍA BUEN SUCESO
2023-01-07 12:58:00-03:00,0.25,BAHÍA BUEN SUCESO
2023-01-07 19:25:00-03:00,1.8,BAHÍA BUEN SUCESO
2023-01-08 00:45:00-03:00,0.93,BAHÍA BUEN SUCESO
2023-01-08 06:45:00-03:00,2.17,BAHÍA BUEN SUCESO
2023-01-08 13:35:00-03:00,0.25,BAHÍA BUEN SUCESO
2023-01-08 20:02:00-03:00,1.81,BAHÍA BUEN SUCESO
2023-01-09 01:23:00-03:00,0.92,BAHÍA BUEN SUCESO
2023-01-09 07:23:00-03:00,2.15,BAHÍA BUEN SUCESO
2023-01-09 14:11:00-03:00,0.28,BAHÍA BUEN SUCESO
2023-01-09 20:37:00-03:00,1.81,BAHÍA BUEN SUCESO
2023-01-10 02:02:00-03:00,0.91,BAHÍA BUEN SUCESO
2023-01-10 08:01:00-03:00,2.12,BAHÍA BUEN SUCESO
2023-01-10 14:47:00-03:00,0.32,BAHÍA BUEN SUCESO
2023-01-10 21:12:00-03:00,1.82,BAHÍA BUEN SUCESO
2023-01-11 02:42:00-03:00,0.89,BAHÍA BUEN SUCESO
2023-01-11 08:42:00-03:00,2.07,BAHÍA BUEN SUCESO
2023-01-11 15:23:00-03:00,0.39,BAHÍA BUEN SUCESO
2023-01-11 21:48:00-03:00,1.83,BAHÍA BUEN SUCESO
2023-01-12 03:27:00-03:00,0.87,BAHÍA BUEN SUCESO
2023-01-12 09:26:00-03:00,1.99,BAHÍA BUEN SUCESO
2023-01-12 16:01:00-03:00,0.46,BAHÍA BUEN SUCESO
2023-01-12 22:26:00-03:00,1.86,BAHÍA BUEN SUCESO
2023-01-13 04:16:00-03:00,0.84,BAHÍA BUEN SUCESO
2023-01-13 10:14:00-03:00,1.91,BAHÍA BUEN SUCESO
2023-01-13 16:42:00-03:00,0.54,BAHÍA BUEN SUCESO
2023-01-13 23:09:00-03:00,1.89,BAHÍA BUEN SUCESO
2023-01-14 05:12:00-03:00,0.81,BAHÍA BUEN SUCESO
2023-01-14 11:10:00-03:00,1.82,BAHÍA BUEN SUCESO
2023-01-14 17:28:00-03:00,0.63,BAHÍA BUEN SUCESO
2023-01-14 23:57:00-03:00,1.92,BAHÍA BUEN SUCESO
2023-01-15 06:15:00-03:00,0.76,BAHÍA BUEN SUCESO
2023-01-15 12:14:00-03:00,1.74,BAHÍA BUEN SUCESO
2023-01-15 18:20:00-03:00,0.7,BAHÍA BUEN SUCESO
2023-01-16 00:49:00-03:00,1.97,BAHÍA BUEN SUCESO
2023-01-16 07:21:00-03:00,0.69,BAHÍA BUEN SUCESO
2023-01-16 13:24:00-03:00,1.69,BAHÍA BUEN SUCESO
2023-01-16 19:17:00-03:00,0.76,BAHÍA BUEN SUCESO
2023-01-17 01:45:00-03:00,2.04,BAHÍA BUEN SUCESO
2023-01-17 08:27:00-03:00,0.59,BAHÍA BUEN SUCESO
2023-01-17 14:36:00-03:00,1.69,BAHÍA BUEN SUCESO
2023-01-17 20:18:00-03:00,0.8,BAHÍA BUEN SUCESO
2023-01-18 02:42:00-03:00,2.11,BAHÍA BUEN SUCESO
2023-01-18 09:30:00-03:00,0.46,BAHÍA BUEN SUCESO
2023-01-18 15:44:00-03:00,1.73,BAHÍA BUEN SUCESO
2023-01-18 21:18:00-03:00,0.8,BAHÍA BUEN SUCESO
2023-01-19 03:37:00-03:00,2.2,BAHÍA BUEN SUCESO
2023-01-19 10:26:00-03:00,0.33,BAHÍA BUEN SUCESO
2023-01-19 16:44:00-03:00,1.8,BAHÍA BUEN SUCESO
2023-01-19 22:16:00-03:00,0.78,BAHÍA BUEN SUCESO
2023-01-20 04:30:00-03:00,2.28,BAHÍA BUEN SUCESO
2023-01-20 11:18:00-03:00,0.21,BAHÍA BUEN SUCESO
2023-01-20 17:38:00-03:00,1.88,BAHÍA BUEN SUCESO
2023-01-20 23:10:00-03:00,0.73,BAHÍA BUEN SUCESO
2023-01-21 05:21:00-03:00,2.35,BAHÍA BUEN SUCESO
2023-01-21 12:07:00-03:00,0.12,BAHÍA BUEN SUCESO
2023-01-21 18:27:00-03:00,1.95,BAHÍA BUEN SUCESO
2023-01-22 00:02:00-03:00,0.69,BAHÍA BUEN SUCESO
2023-01-22 06:10:00-03:00,2.4,BAHÍA BUEN SUCESO
2023-01-22 12:53:00-03:00,0.06,BAHÍA BUEN SUCESO
2023-01-22 19:14:00-03:00,2.01,BAHÍA BUEN SUCESO
2023-01-23 00:51:00-03:00,0.65,BAHÍA BUEN SUCESO
2023-01-23 06:58:00-03:00,2.41,BAHÍA BUEN SUCESO
2023-01-23 13:38:00-03:00,0.05,BAHÍA BUEN SUCESO
2023-01-23 19:59:00-03:00,2.05,BAHÍA BUEN SUCESO
2023-01-24 01:40:00-03:00,0.62,BAHÍA BUEN SUCESO
2023-01-24 07:46:00-03:00,2.38,BAHÍA BUEN SUCESO
2023-01-24 14:23:00-03:00,0.09,BAHÍA BUEN SUCESO
2023-01-24 20:43:00-03:00,2.07,BAHÍA BUEN SUCESO
2023-01-25 02:29:00-03:00,0.61,BAHÍA BUEN SUCESO
2023-01-25 08:33:00-03:00,2.31,BAHÍA BUEN SUCESO
2023-01-25 15:07:00-03:00,0.16,BAHÍA BUEN SUCESO
2023-01-25 21:28:00-03:00,2.07,BAHÍA BUEN SUCESO
2023-01-26 03:19:00-03:00,0.62,BAHÍA BUEN SUCESO
2023-01-26 09:23:00-03:00,2.2,BAHÍA BUEN SUCESO
2023-01-26 15:52:00-03:00,0.27,BAHÍA BUEN SUCESO
2023-01-26 22:14:00-03:00,2.05,BAHÍA BUEN SUCESO
2023-01-27 04:11:00-03:00,0.64,BAHÍA BUEN SUCESO
2023-01-27 10:15:00-03:00,2.07,BAHÍA BUEN SUCESO
2023-01-27 16:39:00-03:00,0.41,BAHÍA BUEN SUCESO
2023-01-27 23:01:00-03:00,2.02,BAHÍA BUEN SUCESO
2023-01-28 05:08:00-03:00,0.66,BAHÍA BUEN SUCESO
2023-01-28 11:12:00-03:00,1.93,BAHÍA BUEN SUCESO
2023-01-28 17:28:00-03:00,0.56,BAHÍA BUEN SUCESO
2023-01-28 23:52:00-03:00,1.98,BAHÍA BUEN SUCESO
2023-01-29 06:10:00-03:00,0.68,BAHÍA BUEN SUCESO
2023-01-29 12:15:00-03:00,1.8,BAHÍA BUEN SUCESO
2023-01-29 18:21:00-03:00,0.7,BAHÍA BUEN SUCESO
2023-01-30 00:46:00-03:00,1.96,BAHÍA BUEN SUCESO
2023-01-30 07:17:00-03:00,0.67,BAHÍA BUEN SUCESO
2023-01-30 13:27:00-03:00,1.7,BAHÍA BUEN SUCESO
2023-01-30 19:19:00-03:00,0.82,BAHÍA BUEN SUCESO
2023-01-31 01:43:00-03:00,1.95,BAHÍA BUEN SUCESO
2023-01-31 08:26:00-03:00,0.63,BAHÍA BUEN SUCESO
2023-01-31 14:42:00-03:00,1.65,BAHÍA BUEN SUCESO
2023-01-31 20:21:00-03:00,0.91,BAHÍA BUEN SUCESO
