datetime,height,port
2024-01-01 02:26:00-03:00,0.74,ATALAYA
2024-01-01 06:35:00-03:00,0.99,ATALAYA
2024-01-01 13:43:00-03:00,0.46,ATALAYA
2024-01-01 20:42:00-03:00,1.33,ATALAYA
2024-01-02 03:12:00-03:00,0.78,ATALAYA
2024-01-02 07:01:00-03:00,0.98,ATALAYA
2024-01-02 14:19:00-03:00,0.49,ATALAYA
2024-01-02 21:13:00-03:00,1.3,ATALAYA
2024-01-03 03:57:00-03:00,0.81,ATALAYA
2024-01-03 07:33:00-03:00,0.97,ATALAYA
2024-01-03 14:55:00-03:00,0.51,ATALAYA
2024-01-03 21:39:00-03:00,1.29,ATALAYA
2024-01-04 04:39:00-03:00,0.82,ATALAYA
2024-01-04 08:11:00-03:00,0.97,ATALAYA
2024-01-04 15:30:00-03:00,0.54,ATALAYA
2024-01-04 22:07:00-03:00,1.28,ATALAYA
2024-01-05 05:20:00-03:00,0.82,ATALAYA
2024-01-05 08:55:00-03:00,0.98,ATALAYA
2024-01-05 16:08:00-03:00,0.55,ATALAYA
2024-01-05 22:40:00-03:00,1.27,ATALAYA
2024-01-06 06:00:00-03:00,0.81,ATALAYA
2024-01-06 09:46:00-03:00,1.0,ATALAYA
2024-01-06 16:53:00-03:00,0.56,ATALAYA
2024-01-06 23:20:00-03:00,1.27,ATALAYA
2024-01-07 06:39:00-03:00,0.79,ATALAYA
2024-01-07 10:42:00-03:00,1.02,ATALAYA
2024-01-07 17:46:00-03:00,0.57,ATALAYA
2024-01-08 00:04:00-03:00,1.27,ATALAYA
2024-01-08 07:19:00-03:00,0.76,ATALAYA
2024-01-08 11:43:00-03:00,1.06,ATALAYA
2024-01-08 18:47:00-03:00,0.57,ATALAYA
2024-01-09 00:51:00-03:00,1.26,ATALAYA
2024-01-09 07:58:00-03:00,0.72,ATALAYA
2024-01-09 12:47:00-03:00,1.12,ATALAYA
2024-01-09 19:51:00-03:00,0.57,ATALAYA
2024-01-10 01:41:00-03:00,1.24,ATALAYA
2024-01-10 08:39:00-03:00,0.67,ATALAYA
2024-01-10 13:53:00-03:00,1.19,ATALAYA
2024-01-10 20:56:00-03:00,0.57,ATALAYA
2024-01-11 02:31:00-03:00,1.21,ATALAYA
2024-01-11 09:21:00-03:00,0.6,ATALAYA
2024-01-11 14:58:00-03:00,1.28,ATALAYA
2024-01-11 21:59:00-03:00,0.57,ATALAYA
2024-01-12 03:20:00-03:00,1.19,ATALAYA
2024-01-12 10:05:00-03:00,0.53,ATALAYA
2024-01-12 16:02:00-03:00,1.37,ATALAYA
2024-01-12 23:01:00-03:00,0.57,ATALAYA
2024-01-13 04:09:00-03:00,1.16,ATALAYA
2024-01-13 10:51:00-03:00,0.45,ATALAYA
2024-01-13 17:04:00-03:00,1.45,ATALAYA
2024-01-14 00:01:00-03:00,0.58,ATALAYA
2024-01-14 04:57:00-03:00,1.14,ATALAYA
2024-01-14 11:39:00-03:00,0.37,ATALAYA
2024-01-14 18:05:00-03:00,1.52,ATALAYA
2024-01-15 00:59:00-03:00,0.6,ATALAYA
2024-01-15 05:45:00-03:00,1.12,ATALAYA
2024-01-15 12:29:00-03:00,0.31,ATALAYA
2024-01-15 19:05:00-03:00,1.56,ATALAYA
2024-01-16 01:55:00-03:00,0.62,ATALAYA
2024-01-16 06:34:00-03:00,1.12,ATALAYA
2024-01-16 13:22:00-03:00,0.26,ATALAYA
2024-01-16 20:05:00-03:00,1.58,ATALAYA
2024-01-17 02:51:00-03:00,0.65,ATALAYA
2024-01-17 07:24:00-03:00,1.12,ATALAYA
2024-01-17 14:17:00-03:00,0.24,ATALAYA
2024-01-17 21:05:00-03:00,1.56,ATALAYA
2024-01-18 03:45:00-03:00,0.68,ATALAYA
2024-01-18 08:17:00-03:00,1.13,ATALAYA
2024-01-18 15:16:00-03:00,0.24,ATALAYA
2024-01-18 22:05:00-03:00,1.52,ATALAYA
2024-01-19 04:39:00-03:00,0.7,ATALAYA
2024-01-19 09:13:00-03:00,1.14,ATALAYA
2024-01-19 16:17:00-03:00,0.27,ATALAYA
2024-01-19 23:06:00-03:00,1.46,ATALAYA
2024-01-20 05:33:00-03:00,0.71,ATALAYA
2024-01-20 10:15:00-03:00,1.15,ATALAYA
2024-01-20 17:21:00-03:00,0.32,ATALAYA
2024-01-21 00:07:00-03:00,1.38,ATALAYA
2024-01-21 06:26:00-03:00,0.69,ATALAYA
2024-01-21 11:24:00-03:00,1.17,ATALAYA
2024-01-21 18:27:00-03:00,0.38,ATALAYA
2024-01-22 01:08:00-03:00,1.31,ATALAYA
2024-01-22 07:19:00-03:00,0.67,ATALAYA
2024-01-22 12:40:00-03:00,1.19,ATALAYA
2024-01-22 19:34:00-03:00,0.44,ATALAYA
2024-01-23 02:07:00-03:00,1.24,ATALAYA
2024-01-23 08:11:00-03:00,0.63,ATALAYA
2024-01-23 14:03:00-03:00,1.22,ATALAYA
2024-01-23 20:40:00-03:00,0.5,ATALAYA
2024-01-24 03:01:00-03:00,1.17,ATALAYA
2024-01-24 09:01:00-03:00,0.58,ATALAYA
