datetime,height,port
2024-11-01 04:10:00-03:00,1.22,ATALAYA
2024-11-01 10:38:00-03:00,0.59,ATALAYA
2024-11-01 16:01:00-03:00,0.95,ATALAYA
2024-11-01 22:11:00-03:00,0.56,ATALAYA
2024-11-02 04:21:00-03:00,1.2,ATALAYA
2024-11-02 11:05:00-03:00,0.58,ATALAYA
2024-11-02 16:19:00-03:00,1.01,ATALAYA
2024-11-02 22:50:00-03:00,0.57,ATALAYA
2024-11-03 04:35:00-03:00,1.18,ATALAYA
2024-11-03 11:30:00-03:00,0.57,ATALAYA
2024-11-03 16:45:00-03:00,1.07,ATALAYA
2024-11-03 23:28:00-03:00,0.57,ATALAYA
2024-11-04 04:58:00-03:00,1.17,ATALAYA
2024-11-04 11:54:00-03:00,0.55,ATALAYA
2024-11-04 17:18:00-03:00,1.15,ATALAYA
2024-11-05 00:07:00-03:00,0.57,ATALAYA
2024-11-05 05:28:00-03:00,1.16,ATALAYA
2024-11-05 12:18:00-03:00,0.53,ATALAYA
2024-11-05 17:56:00-03:00,1.23,ATALAYA
2024-11-06 00:49:00-03:00,0.57,ATALAYA
2024-11-06 06:02:00-03:00,1.14,ATALAYA
2024-11-06 12:43:00-03:00,0.51,ATALAYA
2024-11-06 18:38:00-03:00,1.3,ATALAYA
2024-11-07 01:37:00-03:00,0.58,ATALAYA
2024-11-07 06:40:00-03:00,1.1,ATALAYA
2024-11-07 13:12:00-03:00,0.48,ATALAYA
2024-11-07 19:26:00-03:00,1.36,ATALAYA
2024-11-08 02:32:00-03:00,0.6,ATALAYA
2024-11-08 07:22:00-03:00,1.06,ATALAYA
2024-11-08 13:48:00-03:00,0.45,ATALAYA
2024-11-08 20:18:00-03:00,1.41,ATALAYA
2024-11-09 03:33:00-03:00,0.62,ATALAYA
2024-11-09 08:08:00-03:00,1.01,ATALAYA
2024-11-09 14:32:00-03:00,0.43,ATALAYA
2024-11-09 21:16:00-03:00,1.44,ATALAYA
2024-11-10 04:40:00-03:00,0.63,ATALAYA
2024-11-10 08:59:00-03:00,0.96,ATALAYA
2024-11-10 15:28:00-03:00,0.42,ATALAYA
2024-11-10 22:20:00-03:00,1.46,ATALAYA
2024-11-11 05:48:00-03:00,0.63,ATALAYA
2024-11-11 09:58:00-03:00,0.93,ATALAYA
2024-11-11 16:35:00-03:00,0.41,ATALAYA
2024-11-11 23:28:00-03:00,1.48,ATALAYA
2024-11-12 06:52:00-03:00,0.62,ATALAYA
2024-11-12 11:04:00-03:00,0.93,ATALAYA
2024-11-12 17:48:00-03:00,0.39,ATALAYA
2024-11-13 00:37:00-03:00,1.48,ATALAYA
2024-11-13 07:50:00-03:00,0.6,ATALAYA
2024-11-13 12:15:00-03:00,0.95,ATALAYA
2024-11-13 19:00:00-03:00,0.36,ATALAYA
2024-11-14 01:44:00-03:00,1.48,ATALAYA
2024-11-14 08:42:00-03:00,0.57,ATALAYA
2024-11-14 13:26:00-03:00,1.02,ATALAYA
2024-11-14 20:09:00-03:00,0.33,ATALAYA
2024-11-15 02:46:00-03:00,1.46,ATALAYA
2024-11-15 09:29:00-03:00,0.54,ATALAYA
2024-11-15 14:33:00-03:00,1.11,ATALAYA
2024-11-15 21:14:00-03:00,0.31,ATALAYA
2024-11-16 03:41:00-03:00,1.42,ATALAYA
2024-11-16 10:13:00-03:00,0.51,ATALAYA
2024-11-16 15:35:00-03:00,1.2,ATALAYA
2024-11-16 22:16:00-03:00,0.3,ATALAYA
2024-11-17 04:31:00-03:00,1.36,ATALAYA
2024-11-17 10:55:00-03:00,0.48,ATALAYA
2024-11-17 16:34:00-03:00,1.3,ATALAYA
2024-11-17 23:16:00-03:00,0.33,ATALAYA
2024-11-18 05:17:00-03:00,1.28,ATALAYA
2024-11-18 11:37:00-03:00,0.45,ATALAYA
2024-11-18 17:32:00-03:00,1.37,ATALAYA
2024-11-19 00:15:00-03:00,0.37,ATALAYA
2024-11-19 06:00:00-03:00,1.19,ATALAYA
2024-11-19 12:19:00-03:00,0.42,ATALAYA
2024-11-19 18:29:00-03:00,1.42,ATALAYA
2024-11-20 01:15:00-03:00,0.44,ATALAYA
2024-11-20 06:41:00-03:00,1.1,ATALAYA
2024-11-20 13:03:00-03:00,0.41,ATALAYA
2024-11-20 19:27:00-03:00,1.44,ATALAYA
2024-11-21 02:15:00-03:00,0.52,ATALAYA
2024-11-21 07:19:00-03:00,1.02,ATALAYA
2024-11-21 13:48:00-03:00,0.4,ATALAYA
2024-11-21 20:29:00-03:00,1.44,ATALAYA
2024-11-22 03:18:00-03:00,0.59,ATALAYA
2024-11-22 07:57:00-03:00,0.95,ATALAYA
2024-11-22 14:37:00-03:00,0.42,ATALAYA
2024-11-22 21:34:00-03:00,1.42,ATALAYA
2024-11-23 04:22:00-03:00,0.65,ATALAYA
2024-11-23 08:36:00-03:00,0.89,ATALAYA
2024-11-23 15:28:00-03:00,0.44,ATALAYA
2024-11-23 22:43:00-03:00,1.39,ATALAYA
2024-11-24 05:27:00-03:00,0.69,ATALAYA
2024-11-24 09:20:00-03:00,0.86,ATALAYA
2024-11-24 16:23:00-03:00,0.48,ATALAYA
2024-11-24 23:53:00-03:00,1.36,ATALAYA
2024-11-25 06:30:00-03:00,0.71,ATALAYA
2024-11-25 10:12:00-03:00,0.83,ATALAYA
2024-11-25 17:20:00-03:00,0.52,ATALAYA
2024-11-26 00:56:00-03:00,1.32,ATALAYA
2024-11-26 07:25:00-03:00,0.71,ATALAYA
2024-11-26 11:16:00-03:00,0.83,ATALAYA
2024-11-26 18:17:00-03:00,0.55,ATALAYA
2024-11-27 01:48:00-03:00,1.29,ATALAYA
2024-11-27 08:10:00-03:00,0.7,ATALAYA
2024-11-27 12:31:00-03:00,0.85,ATALAYA
2024-11-27 19:11:00-03:00,0.58,ATALAYA
2024-11-28 02:25:00-03:00,1.25,ATALAYA
2024-11-28 08:48:00-03:00,0.69,ATALAYA
2024-11-28 13:32:00-03:00,0.88,ATALAYA
2024-11-28 20:01:00-03:00,0.61,ATALAYA
2024-11-29 02:44:00-03:00,1.22,ATALAYA
2024-11-29 09:21:00-03:00,0.67,ATALAYA
2024-11-29 14:14:00-03:00,0.93,ATALAYA
2024-11-29 20:47:00-03:00,0.62,ATALAYA
2024-11-30 02:56:00-03:00,1.2,ATALAYA
2024-11-30 09:50:00-03:00,0.65,ATALAYA
2024-11-30 14:50:00-03:00,0.99,ATALAYA
2024-11-30 21:30:00-03:00,0.63,ATALAYA
