datetime,height,port
2024-12-01 03:15:00-03:00,1.19,ATALAYA
2024-12-01 10:17:00-03:00,0.62,ATALAYA
2024-12-01 15:27:00-03:00,1.06,ATALAYA
2024-12-01 22:12:00-03:00,0.62,ATALAYA
2024-12-02 03:42:00-03:00,1.18,ATALAYA
2024-12-02 10:44:00-03:00,0.59,ATALAYA
2024-12-02 16:06:00-03:00,1.14,ATALAYA
2024-12-02 22:56:00-03:00,0.62,ATALAYA
2024-12-03 04:15:00-03:00,1.17,ATALAYA
2024-12-03 11:11:00-03:00,0.56,ATALAYA
2024-12-03 16:49:00-03:00,1.23,ATALAYA
2024-12-03 23:42:00-03:00,0.61,ATALAYA
2024-12-04 04:51:00-03:00,1.16,ATALAYA
2024-12-04 11:39:00-03:00,0.51,ATALAYA
2024-12-04 17:35:00-03:00,1.31,ATALAYA
2024-12-05 00:31:00-03:00,0.61,ATALAYA
2024-12-05 05:31:00-03:00,1.13,ATALAYA
2024-12-05 12:12:00-03:00,0.47,ATALAYA
2024-12-05 18:24:00-03:00,1.39,ATALAYA
2024-12-06 01:25:00-03:00,0.62,ATALAYA
2024-12-06 06:13:00-03:00,1.1,ATALAYA
2024-12-06 12:49:00-03:00,0.42,ATALAYA
2024-12-06 19:16:00-03:00,1.45,ATALAYA
2024-12-07 02:22:00-03:00,0.64,ATALAYA
2024-12-07 06:58:00-03:00,1.07,ATALAYA
2024-12-07 13:33:00-03:00,0.39,ATALAYA
2024-12-07 20:12:00-03:00,1.5,ATALAYA
2024-12-08 03:21:00-03:00,0.66,ATALAYA
2024-12-08 07:46:00-03:00,1.04,ATALAYA
2024-12-08 14:24:00-03:00,0.36,ATALAYA
2024-12-08 21:11:00-03:00,1.52,ATALAYA
2024-12-09 04:23:00-03:00,0.67,ATALAYA
2024-12-09 08:39:00-03:00,1.02,ATALAYA
2024-12-09 15:23:00-03:00,0.34,ATALAYA
2024-12-09 22:13:00-03:00,1.53,ATALAYA
2024-12-10 05:23:00-03:00,0.68,ATALAYA
2024-12-10 09:37:00-03:00,1.02,ATALAYA
2024-12-10 16:28:00-03:00,0.33,ATALAYA
2024-12-10 23:18:00-03:00,1.51,ATALAYA
2024-12-11 06:22:00-03:00,0.67,ATALAYA
2024-12-11 10:42:00-03:00,1.03,ATALAYA
2024-12-11 17:37:00-03:00,0.33,ATALAYA
2024-12-12 00:23:00-03:00,1.49,ATALAYA
2024-12-12 07:16:00-03:00,0.65,ATALAYA
2024-12-12 11:51:00-03:00,1.07,ATALAYA
2024-12-12 18:47:00-03:00,0.34,ATALAYA
2024-12-13 01:26:00-03:00,1.45,ATALAYA
2024-12-13 08:07:00-03:00,0.63,ATALAYA
2024-12-13 13:03:00-03:00,1.13,ATALAYA
2024-12-13 19:55:00-03:00,0.34,ATALAYA
2024-12-14 02:25:00-03:00,1.39,ATALAYA
2024-12-14 08:56:00-03:00,0.59,ATALAYA
2024-12-14 14:14:00-03:00,1.2,ATALAYA
2024-12-14 21:02:00-03:00,0.36,ATALAYA
2024-12-15 03:20:00-03:00,1.33,ATALAYA
2024-12-15 09:42:00-03:00,0.54,ATALAYA
2024-12-15 15:23:00-03:00,1.29,ATALAYA
2024-12-15 22:06:00-03:00,0.4,ATALAYA
2024-12-16 04:09:00-03:00,1.26,ATALAYA
2024-12-16 10:28:00-03:00,0.49,ATALAYA
2024-12-16 16:29:00-03:00,1.36,ATALAYA
2024-12-16 23:08:00-03:00,0.44,ATALAYA
2024-12-17 04:55:00-03:00,1.18,ATALAYA
2024-12-17 11:13:00-03:00,0.44,ATALAYA
2024-12-17 17:33:00-03:00,1.42,ATALAYA
2024-12-18 00:09:00-03:00,0.5,ATALAYA
2024-12-18 05:37:00-03:00,1.11,ATALAYA
2024-12-18 11:59:00-03:00,0.41,ATALAYA
2024-12-18 18:34:00-03:00,1.45,ATALAYA
2024-12-19 01:08:00-03:00,0.56,ATALAYA
2024-12-19 06:15:00-03:00,1.05,ATALAYA
2024-12-19 12:45:00-03:00,0.38,ATALAYA
2024-12-19 19:35:00-03:00,1.46,ATALAYA
2024-12-20 02:06:00-03:00,0.63,ATALAYA
2024-12-20 06:52:00-03:00,1.01,ATALAYA
2024-12-20 13:32:00-03:00,0.38,ATALAYA
2024-12-20 20:35:00-03:00,1.45,ATALAYA
2024-12-21 03:04:00-03:00,0.68,ATALAYA
2024-12-21 07:27:00-03:00,0.97,ATALAYA
2024-12-21 14:20:00-03:00,0.4,ATALAYA
2024-12-21 21:33:00-03:00,1.42,ATALAYA
2024-12-22 04:00:00-03:00,0.73,ATALAYA
2024-12-22 08:03:00-03:00,0.94,ATALAYA
2024-12-22 15:09:00-03:00,0.43,ATALAYA
2024-12-22 22:30:00-03:00,1.38,ATALAYA
2024-12-23 04:54:00-03:00,0.76,ATALAYA
2024-12-23 08:41:00-03:00,0.93,ATALAYA
2024-12-23 15:58:00-03:00,0.48,ATALAYA
2024-12-23 23:22:00-03:00,1.33,ATALAYA
