datetime,height,port
2024-03-01 02:07:00-03:00,0.77,ATALAYA
2024-03-01 06:41:00-03:00,1.15,ATALAYA
2024-03-01 13:50:00-03:00,0.44,ATALAYA
2024-03-01 19:58:00-03:00,1.26,ATALAYA
2024-03-02 02:36:00-03:00,0.77,ATALAYA
2024-03-02 07:20:00-03:00,1.18,ATALAYA
2024-03-02 14:26:00-03:00,0.45,ATALAYA
2024-03-02 20:33:00-03:00,1.25,ATALAYA
2024-03-03 03:07:00-03:00,0.77,ATALAYA
2024-03-03 08:03:00-03:00,1.21,ATALAYA
2024-03-03 15:09:00-03:00,0.46,ATALAYA
2024-03-03 21:12:00-03:00,1.23,ATALAYA
2024-03-04 03:43:00-03:00,0.76,ATALAYA
2024-03-04 08:53:00-03:00,1.23,ATALAYA
2024-03-04 16:01:00-03:00,0.48,ATALAYA
2024-03-04 21:57:00-03:00,1.19,ATALAYA
2024-03-05 04:26:00-03:00,0.74,ATALAYA
2024-03-05 09:48:00-03:00,1.25,ATALAYA
2024-03-05 17:04:00-03:00,0.52,ATALAYA
2024-03-05 22:47:00-03:00,1.14,ATALAYA
2024-03-06 05:18:00-03:00,0.71,ATALAYA
2024-03-06 10:52:00-03:00,1.27,ATALAYA
2024-03-06 18:16:00-03:00,0.55,ATALAYA
2024-03-06 23:42:00-03:00,1.1,ATALAYA
2024-03-07 06:20:00-03:00,0.67,ATALAYA
2024-03-07 12:05:00-03:00,1.29,ATALAYA
2024-03-07 19:31:00-03:00,0.57,ATALAYA
2024-03-08 00:41:00-03:00,1.07,ATALAYA
2024-03-08 07:25:00-03:00,0.6,ATALAYA
2024-03-08 13:24:00-03:00,1.33,ATALAYA
2024-03-08 20:41:00-03:00,0.58,ATALAYA
2024-03-09 01:43:00-03:00,1.06,ATALAYA
2024-03-09 08:28:00-03:00,0.51,ATALAYA
2024-03-09 14:43:00-03:00,1.38,ATALAYA
2024-03-09 21:44:00-03:00,0.58,ATALAYA
2024-03-10 02:43:00-03:00,1.08,ATALAYA
2024-03-10 09:28:00-03:00,0.4,ATALAYA
2024-03-10 15:56:00-03:00,1.44,ATALAYA
2024-03-10 22:41:00-03:00,0.58,ATALAYA
