datetime,height,port
2024-05-01 02:16:00-03:00,0.55,ATALAYA
2024-05-01 08:27:00-03:00,1.38,ATALAYA
2024-05-01 15:49:00-03:00,0.46,ATALAYA
2024-05-01 20:57:00-03:00,1.01,ATALAYA
2024-05-02 03:11:00-03:00,0.52,ATALAYA
2024-05-02 09:29:00-03:00,1.38,ATALAYA
2024-05-02 16:56:00-03:00,0.5,ATALAYA
2024-05-02 21:51:00-03:00,0.97,ATALAYA
2024-05-03 04:18:00-03:00,0.5,ATALAYA
2024-05-03 10:39:00-03:00,1.37,ATALAYA
2024-05-03 18:05:00-03:00,0.53,ATALAYA
2024-05-03 22:52:00-03:00,0.96,ATALAYA
2024-05-04 05:32:00-03:00,0.45,ATALAYA
2024-05-04 11:56:00-03:00,1.36,ATALAYA
2024-05-04 19:10:00-03:00,0.55,ATALAYA
2024-05-04 23:58:00-03:00,0.98,ATALAYA
2024-05-05 06:46:00-03:00,0.39,ATALAYA
2024-05-05 13:16:00-03:00,1.36,ATALAYA
2024-05-05 20:09:00-03:00,0.55,ATALAYA
2024-05-06 01:05:00-03:00,1.02,ATALAYA
2024-05-06 07:55:00-03:00,0.32,ATALAYA
2024-05-06 14:30:00-03:00,1.36,ATALAYA
2024-05-06 21:03:00-03:00,0.55,ATALAYA
2024-05-07 02:09:00-03:00,1.1,ATALAYA
2024-05-07 08:59:00-03:00,0.25,ATALAYA
2024-05-07 15:35:00-03:00,1.35,ATALAYA
2024-05-07 21:51:00-03:00,0.54,ATALAYA
2024-05-08 03:08:00-03:00,1.18,ATALAYA
2024-05-08 09:59:00-03:00,0.2,ATALAYA
2024-05-08 16:32:00-03:00,1.31,ATALAYA
2024-05-08 22:36:00-03:00,0.53,ATALAYA
2024-05-09 04:02:00-03:00,1.26,ATALAYA
2024-05-09 10:56:00-03:00,0.17,ATALAYA
2024-05-09 17:23:00-03:00,1.26,ATALAYA
2024-05-09 23:19:00-03:00,0.52,ATALAYA
2024-05-10 04:55:00-03:00,1.33,ATALAYA
2024-05-10 11:51:00-03:00,0.18,ATALAYA
2024-05-10 18:10:00-03:00,1.19,ATALAYA
2024-05-11 00:02:00-03:00,0.51,ATALAYA
2024-05-11 05:47:00-03:00,1.37,ATALAYA
2024-05-11 12:46:00-03:00,0.23,ATALAYA
2024-05-11 18:53:00-03:00,1.11,ATALAYA
2024-05-12 00:45:00-03:00,0.5,ATALAYA
2024-05-12 06:39:00-03:00,1.37,ATALAYA
2024-05-12 13:41:00-03:00,0.3,ATALAYA
2024-05-12 19:35:00-03:00,1.03,ATALAYA
2024-05-13 01:29:00-03:00,0.5,ATALAYA
2024-05-13 07:31:00-03:00,1.36,ATALAYA
2024-05-13 14:37:00-03:00,0.38,ATALAYA
2024-05-13 20:14:00-03:00,0.96,ATALAYA
2024-05-14 02:16:00-03:00,0.51,ATALAYA
2024-05-14 08:27:00-03:00,1.31,ATALAYA
2024-05-14 15:34:00-03:00,0.47,ATALAYA
2024-05-14 20:52:00-03:00,0.91,ATALAYA
2024-05-15 03:06:00-03:00,0.52,ATALAYA
2024-05-15 09:26:00-03:00,1.26,ATALAYA
2024-05-15 16:33:00-03:00,0.54,ATALAYA
2024-05-15 21:31:00-03:00,0.87,ATALAYA
2024-05-16 04:00:00-03:00,0.54,ATALAYA
2024-05-16 10:32:00-03:00,1.2,ATALAYA
2024-05-16 17:32:00-03:00,0.6,ATALAYA
2024-05-16 22:14:00-03:00,0.84,ATALAYA
2024-05-17 04:58:00-03:00,0.56,ATALAYA
2024-05-17 11:46:00-03:00,1.15,ATALAYA
2024-05-17 18:28:00-03:00,0.64,ATALAYA
2024-05-17 23:02:00-03:00,0.84,ATALAYA
2024-05-18 05:57:00-03:00,0.57,ATALAYA
2024-05-18 13:00:00-03:00,1.11,ATALAYA
2024-05-18 19:20:00-03:00,0.66,ATALAYA
2024-05-18 23:53:00-03:00,0.85,ATALAYA
2024-05-19 06:53:00-03:00,0.57,ATALAYA
2024-05-19 13:56:00-03:00,1.09,ATALAYA
2024-05-19 20:04:00-03:00,0.67,ATALAYA
2024-05-20 00:41:00-03:00,0.88,ATALAYA
2024-05-20 07:44:00-03:00,0.56,ATALAYA
2024-05-20 14:28:00-03:00,1.07,ATALAYA
2024-05-20 20:41:00-03:00,0.67,ATALAYA
2024-05-21 01:22:00-03:00,0.92,ATALAYA
2024-05-21 08:30:00-03:00,0.54,ATALAYA
2024-05-21 14:46:00-03:00,1.06,ATALAYA
2024-05-21 21:14:00-03:00,0.66,ATALAYA
2024-05-22 02:02:00-03:00,0.98,ATALAYA
2024-05-22 09:12:00-03:00,0.51,ATALAYA
2024-05-22 15:07:00-03:00,1.06,ATALAYA
2024-05-22 21:44:00-03:00,0.64,ATALAYA
2024-05-23 02:41:00-03:00,1.04,ATALAYA
2024-05-23 09:53:00-03:00,0.47,ATALAYA
2024-05-23 15:37:00-03:00,1.07,ATALAYA
2024-05-23 22:13:00-03:00,0.62,ATALAYA
2024-05-24 03:22:00-03:00,1.12,ATALAYA
2024-05-24 10:34:00-03:00,0.44,ATALAYA
2024-05-24 16:11:00-03:00,1.08,ATALAYA
2024-05-24 22:43:00-03:00,0.59,ATALAYA
2024-05-25 04:05:00-03:00,1.2,ATALAYA
2024-05-25 11:17:00-03:00,0.41,ATALAYA
2024-05-25 16:49:00-03:00,1.07,ATALAYA
2024-05-25 23:13:00-03:00,0.56,ATALAYA
2024-05-26 04:50:00-03:00,1.28,ATALAYA
2024-05-26 12:03:00-03:00,0.38,ATALAYA
2024-05-26 17:29:00-03:00,1.06,ATALAYA
2024-05-26 23:47:00-03:00,0.53,ATALAYA
2024-05-27 05:38:00-03:00,1.34,ATALAYA
2024-05-27 12:52:00-03:00,0.38,ATALAYA
2024-05-27 18:12:00-03:00,1.04,ATALAYA
2024-05-28 00:25:00-03:00,0.49,ATALAYA
2024-05-28 06:30:00-03:00,1.39,ATALAYA
2024-05-28 13:46:00-03:00,0.39,ATALAYA
2024-05-28 18:57:00-03:00,1.01,ATALAYA
2024-05-29 01:09:00-03:00,0.46,ATALAYA
2024-05-29 07:24:00-03:00,1.41,ATALAYA
2024-05-29 14:43:00-03:00,0.42,ATALAYA
2024-05-29 19:44:00-03:00,0.98,ATALAYA
2024-05-30 02:01:00-03:00,0.42,ATALAYA
2024-05-30 08:23:00-03:00,1.42,ATALAYA
2024-05-30 15:43:00-03:00,0.46,ATALAYA
2024-05-30 20:35:00-03:00,0.96,ATALAYA
2024-05-31 03:01:00-03:00,0.4,ATALAYA
2024-05-31 09:27:00-03:00,1.4,ATALAYA
2024-05-31 16:45:00-03:00,0.49,ATALAYA
2024-05-31 21:31:00-03:00,0.96,ATALAYA
