datetime,height,port
2024-02-01 03:48:00-03:00,0.62,BAHÍA AGUIRRE
2024-02-01 10:11:00-03:00,1.69,BAHÍA AGUIRRE
2024-02-01 16:24:00-03:00,0.72,BAHÍA AGUIRRE
2024-02-01 22:20:00-03:00,1.55,BAHÍA AGUIRRE
2024-02-02 04:36:00-03:00,0.6,BAHÍA AGUIRRE
2024-02-02 11:00:00-03:00,1.57,BAHÍA AGUIRRE
2024-02-02 16:55:00-03:00,0.81,BAHÍA AGUIRRE
2024-02-02 22:55:00-03:00,1.59,BAHÍA AGUIRRE
2024-02-03 05:31:00-03:00,0.59,BAHÍA AGUIRRE
2024-02-03 11:56:00-03:00,1.46,BAHÍA AGUIRRE
2024-02-03 17:32:00-03:00,0.89,BAHÍA AGUIRRE
2024-02-03 23:39:00-03:00,1.63,BAHÍA AGUIRRE
2024-02-04 06:36:00-03:00,0.57,BAHÍA AGUIRRE
2024-02-04 13:05:00-03:00,1.37,BAHÍA AGUIRRE
2024-02-04 18:17:00-03:00,0.96,BAHÍA AGUIRRE
2024-02-05 00:34:00-03:00,1.67,BAHÍA AGUIRRE
2024-02-05 07:49:00-03:00,0.54,BAHÍA AGUIRRE
2024-02-05 14:25:00-03:00,1.32,BAHÍA AGUIRRE
2024-02-05 19:17:00-03:00,1.0,BAHÍA AGUIRRE
2024-02-06 01:39:00-03:00,1.71,BAHÍA AGUIRRE
2024-02-06 09:03:00-03:00,0.48,BAHÍA AGUIRRE
2024-02-06 15:41:00-03:00,1.33,BAHÍA AGUIRRE
2024-02-06 20:27:00-03:00,1.0,BAHÍA AGUIRRE
2024-02-07 02:48:00-03:00,1.78,BAHÍA AGUIRRE
2024-02-07 10:09:00-03:00,0.4,BAHÍA AGUIRRE
2024-02-07 16:43:00-03:00,1.37,BAHÍA AGUIRRE
2024-02-07 21:36:00-03:00,0.95,BAHÍA AGUIRRE
2024-02-08 03:54:00-03:00,1.87,BAHÍA AGUIRRE
2024-02-08 11:06:00-03:00,0.31,BAHÍA AGUIRRE
2024-02-08 17:32:00-03:00,1.44,BAHÍA AGUIRRE
2024-02-08 22:38:00-03:00,0.86,BAHÍA AGUIRRE
2024-02-09 04:54:00-03:00,1.97,BAHÍA AGUIRRE
2024-02-09 11:56:00-03:00,0.24,BAHÍA AGUIRRE
2024-02-09 18:15:00-03:00,1.51,BAHÍA AGUIRRE
2024-02-09 23:32:00-03:00,0.75,BAHÍA AGUIRRE
2024-02-10 05:49:00-03:00,2.05,BAHÍA AGUIRRE
2024-02-10 12:41:00-03:00,0.2,BAHÍA AGUIRRE
2024-02-10 18:54:00-03:00,1.58,BAHÍA AGUIRRE
2024-02-11 00:22:00-03:00,0.63,BAHÍA AGUIRRE
2024-02-11 06:39:00-03:00,2.11,BAHÍA AGUIRRE
2024-02-11 13:23:00-03:00,0.2,BAHÍA AGUIRRE
2024-02-11 19:32:00-03:00,1.65,BAHÍA AGUIRRE
2024-02-12 01:10:00-03:00,0.52,BAHÍA AGUIRRE
