datetime,height,port
2024-04-01 04:38:00-03:00,0.39,BAHÍA AGUIRRE
2024-04-01 11:04:00-03:00,1.39,BAHÍA AGUIRRE
2024-04-01 16:07:00-03:00,0.91,BAHÍA AGUIRRE
2024-04-01 22:27:00-03:00,1.81,BAHÍA AGUIRRE
2024-04-02 05:42:00-03:00,0.45,BAHÍA AGUIRRE
2024-04-02 12:12:00-03:00,1.32,BAHÍA AGUIRRE
2024-04-02 17:04:00-03:00,0.96,BAHÍA AGUIRRE
2024-04-02 23:32:00-03:00,1.77,BAHÍA AGUIRRE
2024-04-03 06:56:00-03:00,0.49,BAHÍA AGUIRRE
2024-04-03 13:31:00-03:00,1.3,BAHÍA AGUIRRE
2024-04-03 18:23:00-03:00,0.97,BAHÍA AGUIRRE
2024-04-04 00:53:00-03:00,1.75,BAHÍA AGUIRRE
2024-04-04 08:14:00-03:00,0.49,BAHÍA AGUIRRE
2024-04-04 14:45:00-03:00,1.35,BAHÍA AGUIRRE
2024-04-04 19:53:00-03:00,0.91,BAHÍA AGUIRRE
2024-04-05 02:17:00-03:00,1.77,BAHÍA AGUIRRE
2024-04-05 09:22:00-03:00,0.46,BAHÍA AGUIRRE
2024-04-05 15:43:00-03:00,1.44,BAHÍA AGUIRRE
2024-04-05 21:11:00-03:00,0.79,BAHÍA AGUIRRE
2024-04-06 03:31:00-03:00,1.84,BAHÍA AGUIRRE
2024-04-06 10:18:00-03:00,0.43,BAHÍA AGUIRRE
2024-04-06 16:30:00-03:00,1.54,BAHÍA AGUIRRE
2024-04-06 22:13:00-03:00,0.63,BAHÍA AGUIRRE
2024-04-07 04:33:00-03:00,1.92,BAHÍA AGUIRRE
2024-04-07 11:07:00-03:00,0.4,BAHÍA AGUIRRE
2024-04-07 17:11:00-03:00,1.65,BAHÍA AGUIRRE
2024-04-07 23:06:00-03:00,0.46,BAHÍA AGUIRRE
2024-04-08 05:28:00-03:00,1.98,BAHÍA AGUIRRE
2024-04-08 11:50:00-03:00,0.41,BAHÍA AGUIRRE
2024-04-08 17:49:00-03:00,1.75,BAHÍA AGUIRRE
2024-04-08 23:54:00-03:00,0.32,BAHÍA AGUIRRE
2024-04-09 06:18:00-03:00,2.01,BAHÍA AGUIRRE
2024-04-09 12:30:00-03:00,0.43,BAHÍA AGUIRRE
2024-04-09 18:26:00-03:00,1.83,BAHÍA AGUIRRE
2024-04-10 00:40:00-03:00,0.21,BAHÍA AGUIRRE
2024-04-10 07:05:00-03:00,2.0,BAHÍA AGUIRRE
2024-04-10 13:09:00-03:00,0.49,BAHÍA AGUIRRE
2024-04-10 19:03:00-03:00,1.89,BAHÍA AGUIRRE
2024-04-11 01:25:00-03:00,0.14,BAHÍA AGUIRRE
2024-04-11 07:52:00-03:00,1.94,BAHÍA AGUIRRE
2024-04-11 13:46:00-03:00,0.58,BAHÍA AGUIRRE
