datetime,height,port
2024-10-01 05:25:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-10-01 11:25:00-03:00,0.64,BAHÍA BUEN SUCESO
2024-10-01 17:35:00-03:00,2.04,BAHÍA BUEN SUCESO
2024-10-01 23:52:00-03:00,0.54,BAHÍA BUEN SUCESO
2024-10-02 05:58:00-03:00,1.94,BAHÍA BUEN SUCESO
2024-10-02 12:02:00-03:00,0.55,BAHÍA BUEN SUCESO
2024-10-02 18:16:00-03:00,2.06,BAHÍA BUEN SUCESO
2024-10-03 00:26:00-03:00,0.58,BAHÍA BUEN SUCESO
2024-10-03 06:28:00-03:00,1.98,BAHÍA BUEN SUCESO
2024-10-03 12:38:00-03:00,0.47,BAHÍA BUEN SUCESO
2024-10-03 18:54:00-03:00,2.06,BAHÍA BUEN SUCESO
2024-10-04 00:57:00-03:00,0.63,BAHÍA BUEN SUCESO
2024-10-04 06:56:00-03:00,2.01,BAHÍA BUEN SUCESO
2024-10-04 13:12:00-03:00,0.41,BAHÍA BUEN SUCESO
2024-10-04 19:31:00-03:00,2.03,BAHÍA BUEN SUCESO
2024-10-05 01:28:00-03:00,0.68,BAHÍA BUEN SUCESO
2024-10-05 07:25:00-03:00,2.04,BAHÍA BUEN SUCESO
2024-10-05 13:48:00-03:00,0.38,BAHÍA BUEN SUCESO
2024-10-05 20:08:00-03:00,1.98,BAHÍA BUEN SUCESO
2024-10-06 01:59:00-03:00,0.74,BAHÍA BUEN SUCESO
2024-10-06 07:57:00-03:00,2.05,BAHÍA BUEN SUCESO
2024-10-06 14:25:00-03:00,0.37,BAHÍA BUEN SUCESO
2024-10-06 20:46:00-03:00,1.92,BAHÍA BUEN SUCESO
2024-10-07 02:32:00-03:00,0.79,BAHÍA BUEN SUCESO
2024-10-07 08:31:00-03:00,2.05,BAHÍA BUEN SUCESO
2024-10-07 15:06:00-03:00,0.39,BAHÍA BUEN SUCESO
2024-10-07 21:29:00-03:00,1.85,BAHÍA BUEN SUCESO
2024-10-08 03:09:00-03:00,0.85,BAHÍA BUEN SUCESO
2024-10-08 09:10:00-03:00,2.03,BAHÍA BUEN SUCESO
2024-10-08 15:51:00-03:00,0.43,BAHÍA BUEN SUCESO
2024-10-08 22:17:00-03:00,1.78,BAHÍA BUEN SUCESO
2024-10-09 03:53:00-03:00,0.91,BAHÍA BUEN SUCESO
2024-10-09 09:57:00-03:00,1.98,BAHÍA BUEN SUCESO
2024-10-09 16:44:00-03:00,0.49,BAHÍA BUEN SUCESO
2024-10-09 23:13:00-03:00,1.73,BAHÍA BUEN SUCESO
2024-10-10 04:48:00-03:00,0.96,BAHÍA BUEN SUCESO
2024-10-10 10:54:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-10-10 17:45:00-03:00,0.54,BAHÍA BUEN SUCESO
2024-10-11 00:17:00-03:00,1.71,BAHÍA BUEN SUCESO
2024-10-11 05:56:00-03:00,0.97,BAHÍA BUEN SUCESO
2024-10-11 12:03:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-10-11 18:53:00-03:00,0.57,BAHÍA BUEN SUCESO
2024-10-12 01:25:00-03:00,1.73,BAHÍA BUEN SUCESO
2024-10-12 07:13:00-03:00,0.93,BAHÍA BUEN SUCESO
2024-10-12 13:19:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-10-12 20:01:00-03:00,0.56,BAHÍA BUEN SUCESO
2024-10-13 02:29:00-03:00,1.81,BAHÍA BUEN SUCESO
