datetime,height,port
2024-05-01 05:48:00-03:00,0.45,BAHÍA BUEN SUCESO
2024-05-01 12:24:00-03:00,1.83,BAHÍA BUEN SUCESO
2024-05-01 18:13:00-03:00,0.91,BAHÍA BUEN SUCESO
2024-05-02 00:14:00-03:00,1.92,BAHÍA BUEN SUCESO
2024-05-02 06:54:00-03:00,0.49,BAHÍA BUEN SUCESO
2024-05-02 13:28:00-03:00,1.87,BAHÍA BUEN SUCESO
2024-05-02 19:27:00-03:00,0.83,BAHÍA BUEN SUCESO
2024-05-03 01:30:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-05-03 07:59:00-03:00,0.51,BAHÍA BUEN SUCESO
2024-05-03 14:28:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-05-03 20:36:00-03:00,0.7,BAHÍA BUEN SUCESO
2024-05-04 02:42:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-05-04 09:00:00-03:00,0.51,BAHÍA BUEN SUCESO
2024-05-04 15:22:00-03:00,2.04,BAHÍA BUEN SUCESO
2024-05-04 21:36:00-03:00,0.55,BAHÍA BUEN SUCESO
2024-05-05 03:46:00-03:00,2.01,BAHÍA BUEN SUCESO
2024-05-05 09:55:00-03:00,0.51,BAHÍA BUEN SUCESO
2024-05-05 16:10:00-03:00,2.14,BAHÍA BUEN SUCESO
2024-05-05 22:30:00-03:00,0.39,BAHÍA BUEN SUCESO
2024-05-06 04:43:00-03:00,2.07,BAHÍA BUEN SUCESO
2024-05-06 10:46:00-03:00,0.51,BAHÍA BUEN SUCESO
2024-05-06 16:55:00-03:00,2.22,BAHÍA BUEN SUCESO
2024-05-06 23:19:00-03:00,0.26,BAHÍA BUEN SUCESO
2024-05-07 05:36:00-03:00,2.12,BAHÍA BUEN SUCESO
2024-05-07 11:33:00-03:00,0.53,BAHÍA BUEN SUCESO
2024-05-07 17:38:00-03:00,2.27,BAHÍA BUEN SUCESO
2024-05-08 00:05:00-03:00,0.16,BAHÍA BUEN SUCESO
2024-05-08 06:25:00-03:00,2.14,BAHÍA BUEN SUCESO
2024-05-08 12:17:00-03:00,0.57,BAHÍA BUEN SUCESO
2024-05-08 18:19:00-03:00,2.3,BAHÍA BUEN SUCESO
2024-05-09 00:51:00-03:00,0.1,BAHÍA BUEN SUCESO
2024-05-09 07:14:00-03:00,2.13,BAHÍA BUEN SUCESO
2024-05-09 13:01:00-03:00,0.64,BAHÍA BUEN SUCESO
2024-05-09 19:00:00-03:00,2.29,BAHÍA BUEN SUCESO
2024-05-10 01:35:00-03:00,0.09,BAHÍA BUEN SUCESO
2024-05-10 08:01:00-03:00,2.08,BAHÍA BUEN SUCESO
2024-05-10 13:44:00-03:00,0.72,BAHÍA BUEN SUCESO
2024-05-10 19:41:00-03:00,2.24,BAHÍA BUEN SUCESO
2024-05-11 02:20:00-03:00,0.12,BAHÍA BUEN SUCESO
2024-05-11 08:49:00-03:00,2.01,BAHÍA BUEN SUCESO
2024-05-11 14:28:00-03:00,0.82,BAHÍA BUEN SUCESO
2024-05-11 20:23:00-03:00,2.17,BAHÍA BUEN SUCESO
2024-05-12 03:06:00-03:00,0.19,BAHÍA BUEN SUCESO
2024-05-12 09:39:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-05-12 15:14:00-03:00,0.91,BAHÍA BUEN SUCESO
2024-05-12 21:07:00-03:00,2.07,BAHÍA BUEN SUCESO
2024-05-13 03:54:00-03:00,0.29,BAHÍA BUEN SUCESO
2024-05-13 10:32:00-03:00,1.86,BAHÍA BUEN SUCESO
2024-05-13 16:05:00-03:00,0.99,BAHÍA BUEN SUCESO
2024-05-13 21:55:00-03:00,1.96,BAHÍA BUEN SUCESO
2024-05-14 04:45:00-03:00,0.41,BAHÍA BUEN SUCESO
2024-05-14 11:28:00-03:00,1.8,BAHÍA BUEN SUCESO
2024-05-14 17:03:00-03:00,1.04,BAHÍA BUEN SUCESO
2024-05-14 22:50:00-03:00,1.84,BAHÍA BUEN SUCESO
2024-05-15 05:40:00-03:00,0.52,BAHÍA BUEN SUCESO
2024-05-15 12:27:00-03:00,1.76,BAHÍA BUEN SUCESO
2024-05-15 18:10:00-03:00,1.06,BAHÍA BUEN SUCESO
2024-05-15 23:54:00-03:00,1.75,BAHÍA BUEN SUCESO
2024-05-16 06:39:00-03:00,0.61,BAHÍA BUEN SUCESO
2024-05-16 13:24:00-03:00,1.76,BAHÍA BUEN SUCESO
2024-05-16 19:19:00-03:00,1.02,BAHÍA BUEN SUCESO
2024-05-17 01:05:00-03:00,1.7,BAHÍA BUEN SUCESO
2024-05-17 07:37:00-03:00,0.69,BAHÍA BUEN SUCESO
2024-05-17 14:15:00-03:00,1.79,BAHÍA BUEN SUCESO
2024-05-17 20:23:00-03:00,0.93,BAHÍA BUEN SUCESO
2024-05-18 02:16:00-03:00,1.69,BAHÍA BUEN SUCESO
2024-05-18 08:32:00-03:00,0.74,BAHÍA BUEN SUCESO
2024-05-18 15:00:00-03:00,1.83,BAHÍA BUEN SUCESO
2024-05-18 21:17:00-03:00,0.81,BAHÍA BUEN SUCESO
2024-05-19 03:19:00-03:00,1.71,BAHÍA BUEN SUCESO
2024-05-19 09:20:00-03:00,0.78,BAHÍA BUEN SUCESO
2024-05-19 15:38:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-05-19 22:04:00-03:00,0.67,BAHÍA BUEN SUCESO
2024-05-20 04:12:00-03:00,1.75,BAHÍA BUEN SUCESO
2024-05-20 10:03:00-03:00,0.8,BAHÍA BUEN SUCESO
2024-05-20 16:14:00-03:00,1.97,BAHÍA BUEN SUCESO
2024-05-20 22:45:00-03:00,0.54,BAHÍA BUEN SUCESO
2024-05-21 05:00:00-03:00,1.8,BAHÍA BUEN SUCESO
2024-05-21 10:42:00-03:00,0.81,BAHÍA BUEN SUCESO
2024-05-21 16:48:00-03:00,2.05,BAHÍA BUEN SUCESO
2024-05-21 23:25:00-03:00,0.41,BAHÍA BUEN SUCESO
2024-05-22 05:43:00-03:00,1.84,BAHÍA BUEN SUCESO
2024-05-22 11:20:00-03:00,0.82,BAHÍA BUEN SUCESO
2024-05-22 17:23:00-03:00,2.13,BAHÍA BUEN SUCESO
2024-05-23 00:03:00-03:00,0.3,BAHÍA BUEN SUCESO
2024-05-23 06:24:00-03:00,1.87,BAHÍA BUEN SUCESO
2024-05-23 11:57:00-03:00,0.82,BAHÍA BUEN SUCESO
2024-05-23 17:59:00-03:00,2.19,BAHÍA BUEN SUCESO
2024-05-24 00:42:00-03:00,0.22,BAHÍA BUEN SUCESO
2024-05-24 07:05:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-05-24 12:36:00-03:00,0.82,BAHÍA BUEN SUCESO
2024-05-24 18:37:00-03:00,2.24,BAHÍA BUEN SUCESO
2024-05-25 01:22:00-03:00,0.17,BAHÍA BUEN SUCESO
2024-05-25 07:47:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-05-25 13:16:00-03:00,0.83,BAHÍA BUEN SUCESO
2024-05-25 19:18:00-03:00,2.25,BAHÍA BUEN SUCESO
2024-05-26 02:04:00-03:00,0.16,BAHÍA BUEN SUCESO
2024-05-26 08:31:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-05-26 14:01:00-03:00,0.84,BAHÍA BUEN SUCESO
2024-05-26 20:01:00-03:00,2.23,BAHÍA BUEN SUCESO
2024-05-27 02:48:00-03:00,0.17,BAHÍA BUEN SUCESO
2024-05-27 09:17:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-05-27 14:49:00-03:00,0.85,BAHÍA BUEN SUCESO
2024-05-27 20:49:00-03:00,2.18,BAHÍA BUEN SUCESO
2024-05-28 03:36:00-03:00,0.22,BAHÍA BUEN SUCESO
2024-05-28 10:07:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-05-28 15:44:00-03:00,0.86,BAHÍA BUEN SUCESO
2024-05-28 21:43:00-03:00,2.1,BAHÍA BUEN SUCESO
2024-05-29 04:27:00-03:00,0.29,BAHÍA BUEN SUCESO
2024-05-29 11:01:00-03:00,1.92,BAHÍA BUEN SUCESO
2024-05-29 16:46:00-03:00,0.86,BAHÍA BUEN SUCESO
2024-05-29 22:43:00-03:00,2.01,BAHÍA BUEN SUCESO
2024-05-30 05:23:00-03:00,0.37,BAHÍA BUEN SUCESO
2024-05-30 11:58:00-03:00,1.94,BAHÍA BUEN SUCESO
2024-05-30 17:54:00-03:00,0.83,BAHÍA BUEN SUCESO
2024-05-30 23:51:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-05-31 06:22:00-03:00,0.45,BAHÍA BUEN SUCESO
2024-05-31 12:56:00-03:00,1.98,BAHÍA BUEN SUCESO
2024-05-31 19:04:00-03:00,0.75,BAHÍA BUEN SUCESO
