datetime,height,port
2024-08-01 03:51:00-03:00,1.75,BAHÍA BUEN SUCESO
2024-08-01 09:25:00-03:00,0.85,BAHÍA BUEN SUCESO
2024-08-01 15:39:00-03:00,2.13,BAHÍA BUEN SUCESO
2024-08-01 22:29:00-03:00,0.36,BAHÍA BUEN SUCESO
2024-08-02 04:53:00-03:00,1.79,BAHÍA BUEN SUCESO
2024-08-02 10:24:00-03:00,0.85,BAHÍA BUEN SUCESO
2024-08-02 16:33:00-03:00,2.17,BAHÍA BUEN SUCESO
2024-08-02 23:22:00-03:00,0.28,BAHÍA BUEN SUCESO
2024-08-03 05:46:00-03:00,1.84,BAHÍA BUEN SUCESO
2024-08-03 11:16:00-03:00,0.83,BAHÍA BUEN SUCESO
2024-08-03 17:22:00-03:00,2.21,BAHÍA BUEN SUCESO
2024-08-04 00:09:00-03:00,0.24,BAHÍA BUEN SUCESO
2024-08-04 06:32:00-03:00,1.87,BAHÍA BUEN SUCESO
2024-08-04 12:03:00-03:00,0.81,BAHÍA BUEN SUCESO
2024-08-04 18:08:00-03:00,2.23,BAHÍA BUEN SUCESO
2024-08-05 00:51:00-03:00,0.23,BAHÍA BUEN SUCESO
2024-08-05 07:12:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-08-05 12:46:00-03:00,0.78,BAHÍA BUEN SUCESO
2024-08-05 18:50:00-03:00,2.22,BAHÍA BUEN SUCESO
2024-08-06 01:30:00-03:00,0.25,BAHÍA BUEN SUCESO
2024-08-06 07:49:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-08-06 13:26:00-03:00,0.75,BAHÍA BUEN SUCESO
2024-08-06 19:30:00-03:00,2.19,BAHÍA BUEN SUCESO
2024-08-07 02:06:00-03:00,0.31,BAHÍA BUEN SUCESO
2024-08-07 08:23:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-08-07 14:04:00-03:00,0.73,BAHÍA BUEN SUCESO
2024-08-07 20:09:00-03:00,2.13,BAHÍA BUEN SUCESO
2024-08-08 02:40:00-03:00,0.39,BAHÍA BUEN SUCESO
2024-08-08 08:55:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-08-08 14:43:00-03:00,0.72,BAHÍA BUEN SUCESO
2024-08-08 20:48:00-03:00,2.05,BAHÍA BUEN SUCESO
2024-08-09 03:14:00-03:00,0.49,BAHÍA BUEN SUCESO
2024-08-09 09:27:00-03:00,1.88,BAHÍA BUEN SUCESO
2024-08-09 15:23:00-03:00,0.72,BAHÍA BUEN SUCESO
2024-08-09 21:28:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-08-10 03:47:00-03:00,0.6,BAHÍA BUEN SUCESO
2024-08-10 10:01:00-03:00,1.88,BAHÍA BUEN SUCESO
2024-08-10 16:06:00-03:00,0.73,BAHÍA BUEN SUCESO
2024-08-10 22:11:00-03:00,1.84,BAHÍA BUEN SUCESO
2024-08-11 04:21:00-03:00,0.7,BAHÍA BUEN SUCESO
2024-08-11 10:38:00-03:00,1.88,BAHÍA BUEN SUCESO
2024-08-11 16:56:00-03:00,0.74,BAHÍA BUEN SUCESO
2024-08-11 23:01:00-03:00,1.72,BAHÍA BUEN SUCESO
2024-08-12 05:00:00-03:00,0.8,BAHÍA BUEN SUCESO
2024-08-12 11:21:00-03:00,1.88,BAHÍA BUEN SUCESO
2024-08-12 17:53:00-03:00,0.74,BAHÍA BUEN SUCESO
2024-08-12 23:59:00-03:00,1.62,BAHÍA BUEN SUCESO
2024-08-13 05:46:00-03:00,0.88,BAHÍA BUEN SUCESO
2024-08-13 12:12:00-03:00,1.89,BAHÍA BUEN SUCESO
2024-08-13 18:58:00-03:00,0.72,BAHÍA BUEN SUCESO
2024-08-14 01:09:00-03:00,1.56,BAHÍA BUEN SUCESO
2024-08-14 06:43:00-03:00,0.95,BAHÍA BUEN SUCESO
2024-08-14 13:11:00-03:00,1.92,BAHÍA BUEN SUCESO
2024-08-14 20:08:00-03:00,0.67,BAHÍA BUEN SUCESO
2024-08-15 02:24:00-03:00,1.56,BAHÍA BUEN SUCESO
2024-08-15 07:49:00-03:00,0.97,BAHÍA BUEN SUCESO
2024-08-15 14:14:00-03:00,1.97,BAHÍA BUEN SUCESO
2024-08-15 21:13:00-03:00,0.58,BAHÍA BUEN SUCESO
2024-08-16 03:32:00-03:00,1.61,BAHÍA BUEN SUCESO
2024-08-16 08:56:00-03:00,0.94,BAHÍA BUEN SUCESO
2024-08-16 15:16:00-03:00,2.05,BAHÍA BUEN SUCESO
2024-08-16 22:10:00-03:00,0.47,BAHÍA BUEN SUCESO
2024-08-17 04:29:00-03:00,1.7,BAHÍA BUEN SUCESO
2024-08-17 09:58:00-03:00,0.86,BAHÍA BUEN SUCESO
2024-08-17 16:13:00-03:00,2.15,BAHÍA BUEN SUCESO
2024-08-17 23:01:00-03:00,0.36,BAHÍA BUEN SUCESO
2024-08-18 05:17:00-03:00,1.8,BAHÍA BUEN SUCESO
2024-08-18 10:52:00-03:00,0.76,BAHÍA BUEN SUCESO
