datetime,height,port
2024-09-01 05:22:00-03:00,1.83,BAHÍA BUEN SUCESO
2024-09-01 11:02:00-03:00,0.8,BAHÍA BUEN SUCESO
2024-09-01 17:08:00-03:00,2.12,BAHÍA BUEN SUCESO
2024-09-01 23:46:00-03:00,0.37,BAHÍA BUEN SUCESO
2024-09-02 06:03:00-03:00,1.88,BAHÍA BUEN SUCESO
2024-09-02 11:46:00-03:00,0.73,BAHÍA BUEN SUCESO
2024-09-02 17:53:00-03:00,2.15,BAHÍA BUEN SUCESO
2024-09-03 00:26:00-03:00,0.37,BAHÍA BUEN SUCESO
2024-09-03 06:38:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-09-03 12:25:00-03:00,0.66,BAHÍA BUEN SUCESO
2024-09-03 18:35:00-03:00,2.17,BAHÍA BUEN SUCESO
2024-09-04 01:02:00-03:00,0.4,BAHÍA BUEN SUCESO
2024-09-04 07:10:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-09-04 13:02:00-03:00,0.61,BAHÍA BUEN SUCESO
2024-09-04 19:13:00-03:00,2.15,BAHÍA BUEN SUCESO
2024-09-05 01:35:00-03:00,0.46,BAHÍA BUEN SUCESO
2024-09-05 07:40:00-03:00,1.94,BAHÍA BUEN SUCESO
2024-09-05 13:38:00-03:00,0.57,BAHÍA BUEN SUCESO
2024-09-05 19:50:00-03:00,2.1,BAHÍA BUEN SUCESO
2024-09-06 02:06:00-03:00,0.53,BAHÍA BUEN SUCESO
2024-09-06 08:10:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-09-06 14:14:00-03:00,0.54,BAHÍA BUEN SUCESO
2024-09-06 20:27:00-03:00,2.04,BAHÍA BUEN SUCESO
2024-09-07 02:36:00-03:00,0.61,BAHÍA BUEN SUCESO
2024-09-07 08:39:00-03:00,1.96,BAHÍA BUEN SUCESO
2024-09-07 14:51:00-03:00,0.54,BAHÍA BUEN SUCESO
2024-09-07 21:06:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-09-08 03:08:00-03:00,0.69,BAHÍA BUEN SUCESO
2024-09-08 09:12:00-03:00,1.96,BAHÍA BUEN SUCESO
2024-09-08 15:32:00-03:00,0.55,BAHÍA BUEN SUCESO
2024-09-08 21:47:00-03:00,1.85,BAHÍA BUEN SUCESO
2024-09-09 03:42:00-03:00,0.78,BAHÍA BUEN SUCESO
2024-09-09 09:49:00-03:00,1.95,BAHÍA BUEN SUCESO
2024-09-09 16:19:00-03:00,0.58,BAHÍA BUEN SUCESO
2024-09-09 22:35:00-03:00,1.75,BAHÍA BUEN SUCESO
2024-09-10 04:22:00-03:00,0.86,BAHÍA BUEN SUCESO
2024-09-10 10:33:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-09-10 17:13:00-03:00,0.62,BAHÍA BUEN SUCESO
2024-09-10 23:32:00-03:00,1.67,BAHÍA BUEN SUCESO
2024-09-11 05:11:00-03:00,0.93,BAHÍA BUEN SUCESO
2024-09-11 11:27:00-03:00,1.91,BAHÍA BUEN SUCESO
2024-09-11 18:17:00-03:00,0.64,BAHÍA BUEN SUCESO
2024-09-12 00:40:00-03:00,1.61,BAHÍA BUEN SUCESO
2024-09-12 06:14:00-03:00,0.97,BAHÍA BUEN SUCESO
2024-09-12 12:33:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-09-12 19:28:00-03:00,0.63,BAHÍA BUEN SUCESO
2024-09-13 01:54:00-03:00,1.62,BAHÍA BUEN SUCESO
2024-09-13 07:28:00-03:00,0.97,BAHÍA BUEN SUCESO
2024-09-13 13:45:00-03:00,1.93,BAHÍA BUEN SUCESO
2024-09-13 20:38:00-03:00,0.58,BAHÍA BUEN SUCESO
2024-09-14 03:02:00-03:00,1.68,BAHÍA BUEN SUCESO
2024-09-14 08:41:00-03:00,0.9,BAHÍA BUEN SUCESO
2024-09-14 14:55:00-03:00,2.0,BAHÍA BUEN SUCESO
2024-09-14 21:39:00-03:00,0.51,BAHÍA BUEN SUCESO
2024-09-15 03:58:00-03:00,1.79,BAHÍA BUEN SUCESO
2024-09-15 09:44:00-03:00,0.78,BAHÍA BUEN SUCESO
2024-09-15 15:57:00-03:00,2.09,BAHÍA BUEN SUCESO
2024-09-15 22:32:00-03:00,0.42,BAHÍA BUEN SUCESO
2024-09-16 04:47:00-03:00,1.9,BAHÍA BUEN SUCESO
2024-09-16 10:39:00-03:00,0.64,BAHÍA BUEN SUCESO
2024-09-16 16:52:00-03:00,2.19,BAHÍA BUEN SUCESO
2024-09-16 23:20:00-03:00,0.35,BAHÍA BUEN SUCESO
2024-09-17 05:31:00-03:00,2.01,BAHÍA BUEN SUCESO
2024-09-17 11:28:00-03:00,0.49,BAHÍA BUEN SUCESO
2024-09-17 17:42:00-03:00,2.27,BAHÍA BUEN SUCESO
2024-09-18 00:04:00-03:00,0.31,BAHÍA BUEN SUCESO
2024-09-18 06:12:00-03:00,2.11,BAHÍA BUEN SUCESO
2024-09-18 12:14:00-03:00,0.37,BAHÍA BUEN SUCESO
2024-09-18 18:29:00-03:00,2.32,BAHÍA BUEN SUCESO
2024-09-19 00:46:00-03:00,0.31,BAHÍA BUEN SUCESO
2024-09-19 06:52:00-03:00,2.18,BAHÍA BUEN SUCESO
2024-09-19 12:59:00-03:00,0.28,BAHÍA BUEN SUCESO
2024-09-19 19:15:00-03:00,2.32,BAHÍA BUEN SUCESO
2024-09-20 01:27:00-03:00,0.34,BAHÍA BUEN SUCESO
2024-09-20 07:32:00-03:00,2.22,BAHÍA BUEN SUCESO
2024-09-20 13:44:00-03:00,0.23,BAHÍA BUEN SUCESO
2024-09-20 20:01:00-03:00,2.28,BAHÍA BUEN SUCESO
2024-09-21 02:09:00-03:00,0.41,BAHÍA BUEN SUCESO
2024-09-21 08:13:00-03:00,2.22,BAHÍA BUEN SUCESO
2024-09-21 14:30:00-03:00,0.23,BAHÍA BUEN SUCESO
2024-09-21 20:49:00-03:00,2.2,BAHÍA BUEN SUCESO
