datetime,height,port
2024-10-01 00:52:00-03:00,0.55,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-01 07:13:00-03:00,2.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-01 13:09:00-03:00,0.85,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-01 19:12:00-03:00,2.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-02 01:31:00-03:00,0.57,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-02 07:42:00-03:00,2.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-02 13:43:00-03:00,0.72,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-02 19:51:00-03:00,2.58,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-03 02:05:00-03:00,0.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-03 08:09:00-03:00,2.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-03 14:14:00-03:00,0.6,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-03 20:28:00-03:00,2.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-04 02:36:00-03:00,0.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-04 08:34:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-04 14:45:00-03:00,0.5,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-04 21:04:00-03:00,2.6,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-05 03:06:00-03:00,0.78,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-05 09:00:00-03:00,2.49,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-05 15:17:00-03:00,0.43,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-05 21:40:00-03:00,2.56,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-06 03:35:00-03:00,0.89,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-06 09:26:00-03:00,2.49,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-06 15:51:00-03:00,0.4,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-06 22:17:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-07 04:06:00-03:00,1.0,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-07 09:56:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-07 16:28:00-03:00,0.41,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-07 22:59:00-03:00,2.39,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-08 04:41:00-03:00,1.11,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-08 10:31:00-03:00,2.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-08 17:11:00-03:00,0.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-08 23:46:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-09 05:22:00-03:00,1.21,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-09 11:12:00-03:00,2.39,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-09 18:02:00-03:00,0.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-10 00:44:00-03:00,2.18,BAHÍA CROSSLEY (Isla de los Estados)
2024-10-10 06:15:00-03:00,1.31,BAHÍA CROSSLEY (Isla de los Estados)
