datetime,height,port
2024-11-01 01:29:00-03:00,0.87,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-01 07:23:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-01 13:42:00-03:00,0.47,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-01 20:06:00-03:00,2.53,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-02 02:01:00-03:00,0.92,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-02 07:50:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-02 14:15:00-03:00,0.37,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-02 20:43:00-03:00,2.53,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-03 02:32:00-03:00,0.98,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-03 08:19:00-03:00,2.52,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-03 14:50:00-03:00,0.3,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-03 21:21:00-03:00,2.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-04 03:05:00-03:00,1.05,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-04 08:51:00-03:00,2.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-04 15:27:00-03:00,0.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-04 22:01:00-03:00,2.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-05 03:40:00-03:00,1.11,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-05 09:26:00-03:00,2.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-05 16:07:00-03:00,0.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-05 22:44:00-03:00,2.4,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-06 04:20:00-03:00,1.16,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-06 10:07:00-03:00,2.5,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-06 16:53:00-03:00,0.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-06 23:32:00-03:00,2.33,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-07 05:07:00-03:00,1.21,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-07 10:55:00-03:00,2.43,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-07 17:44:00-03:00,0.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-08 00:27:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-08 06:05:00-03:00,1.24,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-08 11:54:00-03:00,2.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-08 18:44:00-03:00,0.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-09 01:28:00-03:00,2.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-09 07:14:00-03:00,1.23,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-09 13:05:00-03:00,2.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-09 19:50:00-03:00,0.62,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-10 02:32:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-10 08:28:00-03:00,1.14,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-10 14:24:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-10 20:59:00-03:00,0.67,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-11 03:33:00-03:00,2.33,BAHÍA CROSSLEY (Isla de los Estados)
2024-11-11 09:38:00-03:00,0.98,BAHÍA CROSSLEY (Isla de los Estados)
