datetime,height,port
2024-02-01 05:55:00-03:00,0.86,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-01 12:04:00-03:00,2.3,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-01 18:12:00-03:00,0.9,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-02 00:22:00-03:00,2.3,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-02 06:41:00-03:00,0.83,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-02 12:57:00-03:00,2.2,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-02 18:54:00-03:00,1.05,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-03 01:02:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-03 07:35:00-03:00,0.8,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-03 14:00:00-03:00,2.11,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-03 19:45:00-03:00,1.19,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-04 01:50:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-04 08:39:00-03:00,0.76,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-04 15:14:00-03:00,2.06,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-04 20:48:00-03:00,1.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-05 02:49:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-05 09:48:00-03:00,0.68,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-05 16:32:00-03:00,2.09,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-05 22:01:00-03:00,1.33,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-06 03:56:00-03:00,2.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-06 10:55:00-03:00,0.57,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-06 17:41:00-03:00,2.19,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-06 23:11:00-03:00,1.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-07 05:02:00-03:00,2.39,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-07 11:55:00-03:00,0.43,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-07 18:37:00-03:00,2.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-08 00:13:00-03:00,1.19,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-08 06:03:00-03:00,2.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-08 12:49:00-03:00,0.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-08 19:25:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-09 01:05:00-03:00,1.05,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-09 06:58:00-03:00,2.64,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-09 13:37:00-03:00,0.18,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-09 20:08:00-03:00,2.56,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-10 01:53:00-03:00,0.89,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-10 07:49:00-03:00,2.76,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-10 14:23:00-03:00,0.11,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-10 20:49:00-03:00,2.65,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-11 02:38:00-03:00,0.75,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-11 08:37:00-03:00,2.83,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-11 15:06:00-03:00,0.11,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-11 21:28:00-03:00,2.71,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-12 03:22:00-03:00,0.63,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-12 09:24:00-03:00,2.86,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-12 15:49:00-03:00,0.16,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-12 22:07:00-03:00,2.72,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-13 04:05:00-03:00,0.55,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-13 10:11:00-03:00,2.83,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-13 16:32:00-03:00,0.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-13 22:46:00-03:00,2.7,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-14 04:50:00-03:00,0.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-14 11:00:00-03:00,2.75,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-14 17:15:00-03:00,0.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-14 23:27:00-03:00,2.63,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-15 05:37:00-03:00,0.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-15 11:51:00-03:00,2.62,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-15 18:01:00-03:00,0.65,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-16 00:09:00-03:00,2.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-16 06:29:00-03:00,0.55,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-16 12:49:00-03:00,2.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-16 18:52:00-03:00,0.87,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-17 00:56:00-03:00,2.43,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-17 07:26:00-03:00,0.6,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-17 13:55:00-03:00,2.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-17 19:50:00-03:00,1.08,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-18 01:50:00-03:00,2.33,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-18 08:33:00-03:00,0.64,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-18 15:14:00-03:00,2.21,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-18 21:00:00-03:00,1.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-19 02:54:00-03:00,2.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-19 09:46:00-03:00,0.63,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-19 16:37:00-03:00,2.2,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-19 22:19:00-03:00,1.32,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-20 04:04:00-03:00,2.23,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-20 10:58:00-03:00,0.58,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-20 17:51:00-03:00,2.26,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-20 23:32:00-03:00,1.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-21 05:12:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-21 12:00:00-03:00,0.5,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-21 18:48:00-03:00,2.34,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-22 00:30:00-03:00,1.24,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-22 06:10:00-03:00,2.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-22 12:53:00-03:00,0.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-22 19:33:00-03:00,2.4,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-23 01:16:00-03:00,1.15,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-23 07:00:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-23 13:37:00-03:00,0.37,BAHÍA CROSSLEY (Isla de los Estados)
2024-02-23 20:10:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
