datetime,height,port
2024-04-01 06:27:00-03:00,0.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-01 13:08:00-03:00,2.19,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-01 18:43:00-03:00,1.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-02 00:37:00-03:00,2.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-02 07:34:00-03:00,0.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-02 14:23:00-03:00,2.14,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-02 19:59:00-03:00,1.33,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-03 01:51:00-03:00,2.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-03 08:51:00-03:00,0.64,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-03 15:41:00-03:00,2.17,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-03 21:25:00-03:00,1.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-04 03:17:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-04 10:06:00-03:00,0.6,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-04 16:48:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-04 22:39:00-03:00,1.12,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-05 04:35:00-03:00,2.38,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-05 11:11:00-03:00,0.52,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-05 17:42:00-03:00,2.41,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-05 23:38:00-03:00,0.91,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-06 05:40:00-03:00,2.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-06 12:06:00-03:00,0.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-06 18:27:00-03:00,2.55,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-07 00:28:00-03:00,0.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-07 06:35:00-03:00,2.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-07 12:55:00-03:00,0.38,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-07 19:08:00-03:00,2.66,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-08 01:13:00-03:00,0.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-08 07:25:00-03:00,2.81,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-08 13:39:00-03:00,0.37,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-08 19:47:00-03:00,2.73,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-09 01:56:00-03:00,0.32,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-09 08:11:00-03:00,2.88,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-09 14:22:00-03:00,0.41,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-09 20:25:00-03:00,2.76,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-10 02:37:00-03:00,0.21,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-10 08:57:00-03:00,2.89,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-10 15:03:00-03:00,0.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-10 21:02:00-03:00,2.75,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-11 03:19:00-03:00,0.17,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-11 09:42:00-03:00,2.83,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-11 15:44:00-03:00,0.65,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-11 21:39:00-03:00,2.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-12 04:01:00-03:00,0.18,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-12 10:29:00-03:00,2.71,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-12 16:25:00-03:00,0.83,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-12 22:17:00-03:00,2.59,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-13 04:46:00-03:00,0.26,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-13 11:19:00-03:00,2.56,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-13 17:10:00-03:00,1.02,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-13 22:58:00-03:00,2.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-14 05:34:00-03:00,0.38,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-14 12:15:00-03:00,2.4,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-14 18:00:00-03:00,1.2,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-14 23:43:00-03:00,2.32,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-15 06:30:00-03:00,0.52,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-15 13:21:00-03:00,2.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-15 19:02:00-03:00,1.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-16 00:39:00-03:00,2.18,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-16 07:35:00-03:00,0.65,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-16 14:37:00-03:00,2.17,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-16 20:20:00-03:00,1.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-17 01:52:00-03:00,2.08,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-17 08:50:00-03:00,0.74,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-17 15:53:00-03:00,2.16,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-17 21:42:00-03:00,1.39,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-18 03:15:00-03:00,2.07,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-18 10:03:00-03:00,0.76,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-18 16:54:00-03:00,2.2,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-18 22:48:00-03:00,1.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-19 04:31:00-03:00,2.13,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-19 11:04:00-03:00,0.75,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-19 17:40:00-03:00,2.25,BAHÍA CROSSLEY (Isla de los Estados)
2024-04-19 23:37:00-03:00,1.11,BAHÍA CROSSLEY (Isla de los Estados)
