datetime,height,port
2024-09-01 00:31:00-03:00,0.43,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-01 07:10:00-03:00,2.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-01 12:57:00-03:00,1.1,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-01 18:44:00-03:00,2.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-02 01:19:00-03:00,0.37,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-02 07:50:00-03:00,2.47,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-02 13:38:00-03:00,0.98,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-02 19:30:00-03:00,2.54,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-03 02:00:00-03:00,0.36,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-03 08:23:00-03:00,2.49,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-03 14:14:00-03:00,0.87,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-03 20:11:00-03:00,2.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-04 02:36:00-03:00,0.4,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-04 08:53:00-03:00,2.49,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-04 14:46:00-03:00,0.77,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-04 20:49:00-03:00,2.63,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-05 03:09:00-03:00,0.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-05 09:20:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-05 15:18:00-03:00,0.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-05 21:26:00-03:00,2.62,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-06 03:40:00-03:00,0.59,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-06 09:45:00-03:00,2.46,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-06 15:49:00-03:00,0.63,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-06 22:02:00-03:00,2.57,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-07 04:10:00-03:00,0.72,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-07 10:11:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-07 16:22:00-03:00,0.59,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-07 22:39:00-03:00,2.48,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-08 04:40:00-03:00,0.86,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-08 10:38:00-03:00,2.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-08 16:58:00-03:00,0.58,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-08 23:20:00-03:00,2.37,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-09 05:12:00-03:00,1.01,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-09 11:08:00-03:00,2.38,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-09 17:39:00-03:00,0.6,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-10 00:07:00-03:00,2.24,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-10 05:49:00-03:00,1.15,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-10 11:45:00-03:00,2.34,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-10 18:29:00-03:00,0.65,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-11 01:04:00-03:00,2.12,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-11 06:36:00-03:00,1.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-11 12:33:00-03:00,2.28,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-11 19:30:00-03:00,0.7,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-12 02:17:00-03:00,2.04,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-12 07:41:00-03:00,1.39,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-12 13:37:00-03:00,2.22,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-12 20:45:00-03:00,0.72,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-13 03:40:00-03:00,2.04,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-13 09:06:00-03:00,1.41,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-13 14:58:00-03:00,2.21,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-13 22:02:00-03:00,0.67,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-14 04:53:00-03:00,2.14,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-14 10:29:00-03:00,1.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-14 16:20:00-03:00,2.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-14 23:10:00-03:00,0.57,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-15 05:49:00-03:00,2.27,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-15 11:34:00-03:00,1.13,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-15 17:28:00-03:00,2.44,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-16 00:06:00-03:00,0.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-16 06:35:00-03:00,2.42,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-16 12:26:00-03:00,0.92,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-16 18:26:00-03:00,2.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-17 00:55:00-03:00,0.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-17 07:16:00-03:00,2.56,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-17 13:12:00-03:00,0.7,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-17 19:17:00-03:00,2.76,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-18 01:39:00-03:00,0.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-18 07:54:00-03:00,2.67,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-18 13:54:00-03:00,0.51,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-18 20:04:00-03:00,2.86,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-19 02:21:00-03:00,0.29,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-19 08:31:00-03:00,2.74,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-19 14:36:00-03:00,0.35,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-19 20:49:00-03:00,2.91,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-20 03:02:00-03:00,0.34,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-20 09:07:00-03:00,2.77,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-20 15:17:00-03:00,0.26,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-20 21:34:00-03:00,2.89,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-21 03:42:00-03:00,0.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-21 09:45:00-03:00,2.75,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-21 15:59:00-03:00,0.23,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-21 22:20:00-03:00,2.81,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-22 04:24:00-03:00,0.61,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-22 10:23:00-03:00,2.69,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-22 16:44:00-03:00,0.26,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-22 23:09:00-03:00,2.67,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-23 05:08:00-03:00,0.8,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-23 11:04:00-03:00,2.58,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-23 17:32:00-03:00,0.34,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-24 00:03:00-03:00,2.5,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-24 05:56:00-03:00,1.01,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-24 11:49:00-03:00,2.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-24 18:27:00-03:00,0.45,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-25 01:07:00-03:00,2.34,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-25 06:53:00-03:00,1.2,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-25 12:42:00-03:00,2.31,BAHÍA CROSSLEY (Isla de los Estados)
2024-09-25 19:31:00-03:00,0.57,BAHÍA CROSSLEY (Isla de los Estados)
