datetime,height,port
2024-11-01 02:18:00-03:00,2.18,BAHÍA SAN BLAS
2024-11-01 08:47:00-03:00,0.58,BAHÍA SAN BLAS
2024-11-01 15:01:00-03:00,1.96,BAHÍA SAN BLAS
2024-11-01 20:46:00-03:00,0.86,BAHÍA SAN BLAS
2024-11-02 02:54:00-03:00,2.2,BAHÍA SAN BLAS
2024-11-02 09:29:00-03:00,0.5,BAHÍA SAN BLAS
2024-11-02 15:47:00-03:00,1.97,BAHÍA SAN BLAS
2024-11-02 21:26:00-03:00,0.92,BAHÍA SAN BLAS
2024-11-03 03:29:00-03:00,2.23,BAHÍA SAN BLAS
2024-11-03 10:09:00-03:00,0.43,BAHÍA SAN BLAS
2024-11-03 16:32:00-03:00,1.97,BAHÍA SAN BLAS
2024-11-03 22:05:00-03:00,0.96,BAHÍA SAN BLAS
2024-11-04 04:05:00-03:00,2.26,BAHÍA SAN BLAS
2024-11-04 10:50:00-03:00,0.37,BAHÍA SAN BLAS
2024-11-04 17:16:00-03:00,1.98,BAHÍA SAN BLAS
2024-11-04 22:45:00-03:00,0.99,BAHÍA SAN BLAS
2024-11-05 04:44:00-03:00,2.28,BAHÍA SAN BLAS
2024-11-05 11:30:00-03:00,0.32,BAHÍA SAN BLAS
2024-11-05 17:59:00-03:00,2.0,BAHÍA SAN BLAS
2024-11-05 23:27:00-03:00,1.0,BAHÍA SAN BLAS
2024-11-06 05:25:00-03:00,2.29,BAHÍA SAN BLAS
2024-11-06 12:13:00-03:00,0.29,BAHÍA SAN BLAS
2024-11-06 18:44:00-03:00,2.02,BAHÍA SAN BLAS
2024-11-07 00:14:00-03:00,1.0,BAHÍA SAN BLAS
2024-11-07 06:10:00-03:00,2.28,BAHÍA SAN BLAS
2024-11-07 12:57:00-03:00,0.29,BAHÍA SAN BLAS
2024-11-07 19:30:00-03:00,2.05,BAHÍA SAN BLAS
2024-11-08 01:04:00-03:00,0.98,BAHÍA SAN BLAS
2024-11-08 06:59:00-03:00,2.26,BAHÍA SAN BLAS
2024-11-08 13:44:00-03:00,0.3,BAHÍA SAN BLAS
2024-11-08 20:18:00-03:00,2.09,BAHÍA SAN BLAS
2024-11-09 01:59:00-03:00,0.94,BAHÍA SAN BLAS
2024-11-09 07:53:00-03:00,2.23,BAHÍA SAN BLAS
2024-11-09 14:34:00-03:00,0.32,BAHÍA SAN BLAS
2024-11-09 21:07:00-03:00,2.14,BAHÍA SAN BLAS
2024-11-10 02:57:00-03:00,0.89,BAHÍA SAN BLAS
2024-11-10 08:52:00-03:00,2.19,BAHÍA SAN BLAS
2024-11-10 15:25:00-03:00,0.36,BAHÍA SAN BLAS
2024-11-10 21:58:00-03:00,2.2,BAHÍA SAN BLAS
2024-11-11 03:58:00-03:00,0.81,BAHÍA SAN BLAS
2024-11-11 09:54:00-03:00,2.16,BAHÍA SAN BLAS
2024-11-11 16:19:00-03:00,0.4,BAHÍA SAN BLAS
2024-11-11 22:49:00-03:00,2.27,BAHÍA SAN BLAS
2024-11-12 04:59:00-03:00,0.7,BAHÍA SAN BLAS
2024-11-12 10:58:00-03:00,2.14,BAHÍA SAN BLAS
2024-11-12 17:14:00-03:00,0.45,BAHÍA SAN BLAS
2024-11-12 23:40:00-03:00,2.35,BAHÍA SAN BLAS
