datetime,height,port
2024-02-01 01:24:00-03:00,0.83,BAHÍA SAN BLAS
2024-02-01 07:18:00-03:00,2.0,BAHÍA SAN BLAS
2024-02-01 13:30:00-03:00,0.63,BAHÍA SAN BLAS
2024-02-01 19:55:00-03:00,2.15,BAHÍA SAN BLAS
2024-02-02 02:09:00-03:00,0.77,BAHÍA SAN BLAS
2024-02-02 08:06:00-03:00,1.94,BAHÍA SAN BLAS
2024-02-02 14:08:00-03:00,0.71,BAHÍA SAN BLAS
2024-02-02 20:31:00-03:00,2.19,BAHÍA SAN BLAS
2024-02-03 02:57:00-03:00,0.7,BAHÍA SAN BLAS
2024-02-03 08:57:00-03:00,1.89,BAHÍA SAN BLAS
2024-02-03 14:48:00-03:00,0.79,BAHÍA SAN BLAS
2024-02-03 21:11:00-03:00,2.23,BAHÍA SAN BLAS
2024-02-04 03:46:00-03:00,0.63,BAHÍA SAN BLAS
2024-02-04 09:51:00-03:00,1.85,BAHÍA SAN BLAS
2024-02-04 15:32:00-03:00,0.85,BAHÍA SAN BLAS
2024-02-04 21:54:00-03:00,2.27,BAHÍA SAN BLAS
2024-02-05 04:37:00-03:00,0.56,BAHÍA SAN BLAS
2024-02-05 10:47:00-03:00,1.83,BAHÍA SAN BLAS
2024-02-05 16:21:00-03:00,0.9,BAHÍA SAN BLAS
2024-02-05 22:41:00-03:00,2.31,BAHÍA SAN BLAS
2024-02-06 05:30:00-03:00,0.48,BAHÍA SAN BLAS
2024-02-06 11:45:00-03:00,1.85,BAHÍA SAN BLAS
2024-02-06 17:14:00-03:00,0.92,BAHÍA SAN BLAS
2024-02-06 23:32:00-03:00,2.34,BAHÍA SAN BLAS
2024-02-07 06:24:00-03:00,0.41,BAHÍA SAN BLAS
2024-02-07 12:43:00-03:00,1.89,BAHÍA SAN BLAS
2024-02-07 18:11:00-03:00,0.93,BAHÍA SAN BLAS
2024-02-08 00:25:00-03:00,2.38,BAHÍA SAN BLAS
2024-02-08 07:17:00-03:00,0.33,BAHÍA SAN BLAS
2024-02-08 13:39:00-03:00,1.96,BAHÍA SAN BLAS
