datetime,height,port
2024-03-01 00:48:00-03:00,0.65,BAHÍA SAN BLAS
2024-03-01 06:55:00-03:00,2.01,BAHÍA SAN BLAS
2024-03-01 12:53:00-03:00,0.74,BAHÍA SAN BLAS
2024-03-01 19:07:00-03:00,2.2,BAHÍA SAN BLAS
2024-03-02 01:33:00-03:00,0.6,BAHÍA SAN BLAS
2024-03-02 07:41:00-03:00,1.97,BAHÍA SAN BLAS
2024-03-02 13:32:00-03:00,0.8,BAHÍA SAN BLAS
2024-03-02 19:46:00-03:00,2.24,BAHÍA SAN BLAS
2024-03-03 02:19:00-03:00,0.55,BAHÍA SAN BLAS
2024-03-03 08:31:00-03:00,1.94,BAHÍA SAN BLAS
2024-03-03 14:14:00-03:00,0.85,BAHÍA SAN BLAS
2024-03-03 20:29:00-03:00,2.26,BAHÍA SAN BLAS
2024-03-04 03:09:00-03:00,0.5,BAHÍA SAN BLAS
2024-03-04 09:24:00-03:00,1.91,BAHÍA SAN BLAS
2024-03-04 15:02:00-03:00,0.89,BAHÍA SAN BLAS
2024-03-04 21:16:00-03:00,2.28,BAHÍA SAN BLAS
2024-03-05 04:01:00-03:00,0.46,BAHÍA SAN BLAS
2024-03-05 10:20:00-03:00,1.91,BAHÍA SAN BLAS
2024-03-05 15:56:00-03:00,0.91,BAHÍA SAN BLAS
2024-03-05 22:08:00-03:00,2.3,BAHÍA SAN BLAS
2024-03-06 04:56:00-03:00,0.42,BAHÍA SAN BLAS
2024-03-06 11:18:00-03:00,1.94,BAHÍA SAN BLAS
2024-03-06 16:54:00-03:00,0.91,BAHÍA SAN BLAS
2024-03-06 23:05:00-03:00,2.31,BAHÍA SAN BLAS
2024-03-07 05:51:00-03:00,0.38,BAHÍA SAN BLAS
2024-03-07 12:15:00-03:00,1.99,BAHÍA SAN BLAS
2024-03-07 17:54:00-03:00,0.88,BAHÍA SAN BLAS
2024-03-08 00:03:00-03:00,2.33,BAHÍA SAN BLAS
2024-03-08 06:47:00-03:00,0.35,BAHÍA SAN BLAS
2024-03-08 13:11:00-03:00,2.07,BAHÍA SAN BLAS
2024-03-08 18:56:00-03:00,0.81,BAHÍA SAN BLAS
2024-03-09 01:03:00-03:00,2.35,BAHÍA SAN BLAS
2024-03-09 07:41:00-03:00,0.31,BAHÍA SAN BLAS
2024-03-09 14:04:00-03:00,2.16,BAHÍA SAN BLAS
2024-03-09 19:55:00-03:00,0.72,BAHÍA SAN BLAS
2024-03-10 02:01:00-03:00,2.38,BAHÍA SAN BLAS
2024-03-10 08:33:00-03:00,0.29,BAHÍA SAN BLAS
2024-03-10 14:54:00-03:00,2.25,BAHÍA SAN BLAS
2024-03-10 20:52:00-03:00,0.62,BAHÍA SAN BLAS
2024-03-11 02:59:00-03:00,2.4,BAHÍA SAN BLAS
