datetime,height,port
2024-04-01 01:47:00-03:00,0.39,BAHÍA SAN BLAS
2024-04-01 08:09:00-03:00,2.0,BAHÍA SAN BLAS
2024-04-01 13:48:00-03:00,0.9,BAHÍA SAN BLAS
2024-04-01 19:53:00-03:00,2.29,BAHÍA SAN BLAS
2024-04-02 02:36:00-03:00,0.38,BAHÍA SAN BLAS
2024-04-02 09:02:00-03:00,2.01,BAHÍA SAN BLAS
2024-04-02 14:40:00-03:00,0.91,BAHÍA SAN BLAS
2024-04-02 20:45:00-03:00,2.28,BAHÍA SAN BLAS
2024-04-03 03:29:00-03:00,0.37,BAHÍA SAN BLAS
2024-04-03 09:56:00-03:00,2.03,BAHÍA SAN BLAS
2024-04-03 15:38:00-03:00,0.9,BAHÍA SAN BLAS
2024-04-03 21:42:00-03:00,2.27,BAHÍA SAN BLAS
2024-04-04 04:24:00-03:00,0.37,BAHÍA SAN BLAS
2024-04-04 10:52:00-03:00,2.07,BAHÍA SAN BLAS
2024-04-04 16:39:00-03:00,0.86,BAHÍA SAN BLAS
2024-04-04 22:43:00-03:00,2.26,BAHÍA SAN BLAS
2024-04-05 05:20:00-03:00,0.37,BAHÍA SAN BLAS
2024-04-05 11:47:00-03:00,2.13,BAHÍA SAN BLAS
2024-04-05 17:42:00-03:00,0.79,BAHÍA SAN BLAS
2024-04-05 23:45:00-03:00,2.26,BAHÍA SAN BLAS
2024-04-06 06:16:00-03:00,0.37,BAHÍA SAN BLAS
2024-04-06 12:41:00-03:00,2.21,BAHÍA SAN BLAS
2024-04-06 18:42:00-03:00,0.69,BAHÍA SAN BLAS
2024-04-07 00:48:00-03:00,2.28,BAHÍA SAN BLAS
2024-04-07 07:11:00-03:00,0.38,BAHÍA SAN BLAS
2024-04-07 13:33:00-03:00,2.29,BAHÍA SAN BLAS
2024-04-07 19:41:00-03:00,0.57,BAHÍA SAN BLAS
2024-04-08 01:48:00-03:00,2.3,BAHÍA SAN BLAS
2024-04-08 08:05:00-03:00,0.39,BAHÍA SAN BLAS
2024-04-08 14:23:00-03:00,2.37,BAHÍA SAN BLAS
2024-04-08 20:36:00-03:00,0.45,BAHÍA SAN BLAS
2024-04-09 02:46:00-03:00,2.32,BAHÍA SAN BLAS
2024-04-09 08:56:00-03:00,0.42,BAHÍA SAN BLAS
2024-04-09 15:11:00-03:00,2.43,BAHÍA SAN BLAS
2024-04-09 21:30:00-03:00,0.34,BAHÍA SAN BLAS
2024-04-10 03:43:00-03:00,2.34,BAHÍA SAN BLAS
2024-04-10 09:47:00-03:00,0.46,BAHÍA SAN BLAS
2024-04-10 15:58:00-03:00,2.48,BAHÍA SAN BLAS
2024-04-10 22:21:00-03:00,0.25,BAHÍA SAN BLAS
2024-04-11 04:37:00-03:00,2.34,BAHÍA SAN BLAS
2024-04-11 10:37:00-03:00,0.53,BAHÍA SAN BLAS
2024-04-11 16:45:00-03:00,2.49,BAHÍA SAN BLAS
2024-04-11 23:12:00-03:00,0.19,BAHÍA SAN BLAS
2024-04-12 05:32:00-03:00,2.32,BAHÍA SAN BLAS
2024-04-12 11:26:00-03:00,0.6,BAHÍA SAN BLAS
2024-04-12 17:31:00-03:00,2.48,BAHÍA SAN BLAS
2024-04-13 00:03:00-03:00,0.16,BAHÍA SAN BLAS
2024-04-13 06:26:00-03:00,2.28,BAHÍA SAN BLAS
2024-04-13 12:16:00-03:00,0.69,BAHÍA SAN BLAS
2024-04-13 18:18:00-03:00,2.44,BAHÍA SAN BLAS
2024-04-14 00:54:00-03:00,0.17,BAHÍA SAN BLAS
2024-04-14 07:20:00-03:00,2.23,BAHÍA SAN BLAS
2024-04-14 13:07:00-03:00,0.78,BAHÍA SAN BLAS
2024-04-14 19:07:00-03:00,2.38,BAHÍA SAN BLAS
2024-04-15 01:45:00-03:00,0.21,BAHÍA SAN BLAS
2024-04-15 08:15:00-03:00,2.18,BAHÍA SAN BLAS
