datetime,height,port
2024-05-01 02:08:00-03:00,0.27,BAHÍA SAN BLAS
2024-05-01 08:40:00-03:00,2.12,BAHÍA SAN BLAS
2024-05-01 14:24:00-03:00,0.9,BAHÍA SAN BLAS
2024-05-01 20:21:00-03:00,2.27,BAHÍA SAN BLAS
2024-05-02 03:00:00-03:00,0.3,BAHÍA SAN BLAS
2024-05-02 09:33:00-03:00,2.16,BAHÍA SAN BLAS
2024-05-02 15:24:00-03:00,0.85,BAHÍA SAN BLAS
2024-05-02 21:21:00-03:00,2.23,BAHÍA SAN BLAS
2024-05-03 03:55:00-03:00,0.33,BAHÍA SAN BLAS
2024-05-03 10:26:00-03:00,2.22,BAHÍA SAN BLAS
2024-05-03 16:26:00-03:00,0.78,BAHÍA SAN BLAS
2024-05-03 22:24:00-03:00,2.2,BAHÍA SAN BLAS
2024-05-04 04:50:00-03:00,0.37,BAHÍA SAN BLAS
2024-05-04 11:19:00-03:00,2.28,BAHÍA SAN BLAS
2024-05-04 17:27:00-03:00,0.68,BAHÍA SAN BLAS
2024-05-04 23:28:00-03:00,2.19,BAHÍA SAN BLAS
2024-05-05 05:46:00-03:00,0.42,BAHÍA SAN BLAS
2024-05-05 12:11:00-03:00,2.35,BAHÍA SAN BLAS
2024-05-05 18:27:00-03:00,0.55,BAHÍA SAN BLAS
2024-05-06 00:32:00-03:00,2.2,BAHÍA SAN BLAS
2024-05-06 06:41:00-03:00,0.46,BAHÍA SAN BLAS
2024-05-06 13:02:00-03:00,2.42,BAHÍA SAN BLAS
2024-05-06 19:24:00-03:00,0.43,BAHÍA SAN BLAS
2024-05-07 01:33:00-03:00,2.22,BAHÍA SAN BLAS
2024-05-07 07:35:00-03:00,0.51,BAHÍA SAN BLAS
2024-05-07 13:52:00-03:00,2.47,BAHÍA SAN BLAS
2024-05-07 20:19:00-03:00,0.31,BAHÍA SAN BLAS
2024-05-08 02:33:00-03:00,2.24,BAHÍA SAN BLAS
2024-05-08 08:28:00-03:00,0.57,BAHÍA SAN BLAS
2024-05-08 14:40:00-03:00,2.51,BAHÍA SAN BLAS
