datetime,height,port
2024-06-01 03:27:00-03:00,0.32,BAHÍA SAN BLAS
2024-06-01 09:59:00-03:00,2.35,BAHÍA SAN BLAS
2024-06-01 16:09:00-03:00,0.66,BAHÍA SAN BLAS
2024-06-01 22:06:00-03:00,2.17,BAHÍA SAN BLAS
2024-06-02 04:21:00-03:00,0.4,BAHÍA SAN BLAS
2024-06-02 10:50:00-03:00,2.41,BAHÍA SAN BLAS
2024-06-02 17:09:00-03:00,0.55,BAHÍA SAN BLAS
2024-06-02 23:10:00-03:00,2.14,BAHÍA SAN BLAS
2024-06-03 05:16:00-03:00,0.47,BAHÍA SAN BLAS
2024-06-03 11:41:00-03:00,2.46,BAHÍA SAN BLAS
2024-06-03 18:08:00-03:00,0.44,BAHÍA SAN BLAS
2024-06-04 00:14:00-03:00,2.13,BAHÍA SAN BLAS
2024-06-04 06:11:00-03:00,0.55,BAHÍA SAN BLAS
2024-06-04 12:32:00-03:00,2.5,BAHÍA SAN BLAS
2024-06-04 19:05:00-03:00,0.32,BAHÍA SAN BLAS
2024-06-05 01:17:00-03:00,2.13,BAHÍA SAN BLAS
2024-06-05 07:07:00-03:00,0.63,BAHÍA SAN BLAS
2024-06-05 13:22:00-03:00,2.52,BAHÍA SAN BLAS
2024-06-05 20:00:00-03:00,0.22,BAHÍA SAN BLAS
2024-06-06 02:18:00-03:00,2.15,BAHÍA SAN BLAS
2024-06-06 08:01:00-03:00,0.71,BAHÍA SAN BLAS
2024-06-06 14:11:00-03:00,2.53,BAHÍA SAN BLAS
2024-06-06 20:53:00-03:00,0.14,BAHÍA SAN BLAS
2024-06-07 03:16:00-03:00,2.17,BAHÍA SAN BLAS
2024-06-07 08:55:00-03:00,0.78,BAHÍA SAN BLAS
2024-06-07 15:00:00-03:00,2.52,BAHÍA SAN BLAS
2024-06-07 21:44:00-03:00,0.09,BAHÍA SAN BLAS
2024-06-08 04:12:00-03:00,2.18,BAHÍA SAN BLAS
2024-06-08 09:48:00-03:00,0.84,BAHÍA SAN BLAS
2024-06-08 15:48:00-03:00,2.48,BAHÍA SAN BLAS
2024-06-08 22:34:00-03:00,0.07,BAHÍA SAN BLAS
2024-06-09 05:06:00-03:00,2.19,BAHÍA SAN BLAS
2024-06-09 10:41:00-03:00,0.9,BAHÍA SAN BLAS
2024-06-09 16:37:00-03:00,2.43,BAHÍA SAN BLAS
2024-06-09 23:23:00-03:00,0.09,BAHÍA SAN BLAS
2024-06-10 05:58:00-03:00,2.19,BAHÍA SAN BLAS
2024-06-10 11:34:00-03:00,0.94,BAHÍA SAN BLAS
2024-06-10 17:25:00-03:00,2.35,BAHÍA SAN BLAS
2024-06-11 00:10:00-03:00,0.14,BAHÍA SAN BLAS
2024-06-11 06:48:00-03:00,2.18,BAHÍA SAN BLAS
2024-06-11 12:27:00-03:00,0.97,BAHÍA SAN BLAS
2024-06-11 18:14:00-03:00,2.26,BAHÍA SAN BLAS
2024-06-12 00:57:00-03:00,0.22,BAHÍA SAN BLAS
2024-06-12 07:37:00-03:00,2.17,BAHÍA SAN BLAS
2024-06-12 13:19:00-03:00,0.98,BAHÍA SAN BLAS
2024-06-12 19:04:00-03:00,2.17,BAHÍA SAN BLAS
2024-06-13 01:43:00-03:00,0.32,BAHÍA SAN BLAS
2024-06-13 08:23:00-03:00,2.16,BAHÍA SAN BLAS
2024-06-13 14:12:00-03:00,0.98,BAHÍA SAN BLAS
2024-06-13 19:55:00-03:00,2.07,BAHÍA SAN BLAS
2024-06-14 02:28:00-03:00,0.43,BAHÍA SAN BLAS
2024-06-14 09:06:00-03:00,2.15,BAHÍA SAN BLAS
2024-06-14 15:05:00-03:00,0.95,BAHÍA SAN BLAS
2024-06-14 20:49:00-03:00,1.97,BAHÍA SAN BLAS
2024-06-15 03:12:00-03:00,0.55,BAHÍA SAN BLAS
2024-06-15 09:48:00-03:00,2.14,BAHÍA SAN BLAS
2024-06-15 15:58:00-03:00,0.9,BAHÍA SAN BLAS
2024-06-15 21:44:00-03:00,1.89,BAHÍA SAN BLAS
2024-06-16 03:55:00-03:00,0.66,BAHÍA SAN BLAS
2024-06-16 10:28:00-03:00,2.15,BAHÍA SAN BLAS
2024-06-16 16:49:00-03:00,0.83,BAHÍA SAN BLAS
2024-06-16 22:40:00-03:00,1.84,BAHÍA SAN BLAS
2024-06-17 04:38:00-03:00,0.77,BAHÍA SAN BLAS
2024-06-17 11:07:00-03:00,2.17,BAHÍA SAN BLAS
2024-06-17 17:39:00-03:00,0.74,BAHÍA SAN BLAS
2024-06-17 23:37:00-03:00,1.8,BAHÍA SAN BLAS
