datetime,height,port
2024-08-01 05:20:00-03:00,0.76,BAHÍA SAN BLAS
2024-08-01 11:35:00-03:00,2.46,BAHÍA SAN BLAS
2024-08-01 18:20:00-03:00,0.27,BAHÍA SAN BLAS
2024-08-02 00:42:00-03:00,2.04,BAHÍA SAN BLAS
2024-08-02 06:19:00-03:00,0.83,BAHÍA SAN BLAS
2024-08-02 12:29:00-03:00,2.44,BAHÍA SAN BLAS
2024-08-02 19:17:00-03:00,0.24,BAHÍA SAN BLAS
2024-08-03 01:43:00-03:00,2.05,BAHÍA SAN BLAS
2024-08-03 07:17:00-03:00,0.89,BAHÍA SAN BLAS
2024-08-03 13:23:00-03:00,2.41,BAHÍA SAN BLAS
2024-08-03 20:11:00-03:00,0.22,BAHÍA SAN BLAS
2024-08-04 02:41:00-03:00,2.07,BAHÍA SAN BLAS
2024-08-04 08:15:00-03:00,0.91,BAHÍA SAN BLAS
2024-08-04 14:16:00-03:00,2.37,BAHÍA SAN BLAS
2024-08-04 21:03:00-03:00,0.22,BAHÍA SAN BLAS
2024-08-05 03:34:00-03:00,2.09,BAHÍA SAN BLAS
2024-08-05 09:10:00-03:00,0.92,BAHÍA SAN BLAS
2024-08-05 15:08:00-03:00,2.33,BAHÍA SAN BLAS
2024-08-05 21:52:00-03:00,0.24,BAHÍA SAN BLAS
2024-08-06 04:22:00-03:00,2.12,BAHÍA SAN BLAS
2024-08-06 10:02:00-03:00,0.91,BAHÍA SAN BLAS
2024-08-06 15:58:00-03:00,2.29,BAHÍA SAN BLAS
2024-08-06 22:37:00-03:00,0.29,BAHÍA SAN BLAS
2024-08-07 05:07:00-03:00,2.13,BAHÍA SAN BLAS
2024-08-07 10:51:00-03:00,0.88,BAHÍA SAN BLAS
2024-08-07 16:46:00-03:00,2.23,BAHÍA SAN BLAS
2024-08-07 23:20:00-03:00,0.36,BAHÍA SAN BLAS
2024-08-08 05:47:00-03:00,2.14,BAHÍA SAN BLAS
2024-08-08 11:39:00-03:00,0.85,BAHÍA SAN BLAS
2024-08-08 17:34:00-03:00,2.17,BAHÍA SAN BLAS
2024-08-09 00:00:00-03:00,0.45,BAHÍA SAN BLAS
2024-08-09 06:25:00-03:00,2.14,BAHÍA SAN BLAS
2024-08-09 12:24:00-03:00,0.81,BAHÍA SAN BLAS
2024-08-09 18:20:00-03:00,2.09,BAHÍA SAN BLAS
2024-08-10 00:39:00-03:00,0.55,BAHÍA SAN BLAS
2024-08-10 07:01:00-03:00,2.15,BAHÍA SAN BLAS
2024-08-10 13:09:00-03:00,0.77,BAHÍA SAN BLAS
2024-08-10 19:06:00-03:00,2.02,BAHÍA SAN BLAS
2024-08-11 01:16:00-03:00,0.65,BAHÍA SAN BLAS
2024-08-11 07:37:00-03:00,2.16,BAHÍA SAN BLAS
2024-08-11 13:53:00-03:00,0.73,BAHÍA SAN BLAS
2024-08-11 19:54:00-03:00,1.95,BAHÍA SAN BLAS
2024-08-12 01:53:00-03:00,0.75,BAHÍA SAN BLAS
2024-08-12 08:12:00-03:00,2.18,BAHÍA SAN BLAS
2024-08-12 14:39:00-03:00,0.68,BAHÍA SAN BLAS
2024-08-12 20:43:00-03:00,1.88,BAHÍA SAN BLAS
2024-08-13 02:31:00-03:00,0.83,BAHÍA SAN BLAS
2024-08-13 08:50:00-03:00,2.2,BAHÍA SAN BLAS
2024-08-13 15:27:00-03:00,0.64,BAHÍA SAN BLAS
2024-08-13 21:34:00-03:00,1.84,BAHÍA SAN BLAS
2024-08-14 03:13:00-03:00,0.9,BAHÍA SAN BLAS
2024-08-14 09:32:00-03:00,2.22,BAHÍA SAN BLAS
2024-08-14 16:16:00-03:00,0.58,BAHÍA SAN BLAS
2024-08-14 22:28:00-03:00,1.81,BAHÍA SAN BLAS
2024-08-15 03:59:00-03:00,0.95,BAHÍA SAN BLAS
2024-08-15 10:17:00-03:00,2.25,BAHÍA SAN BLAS
2024-08-15 17:08:00-03:00,0.53,BAHÍA SAN BLAS
2024-08-15 23:25:00-03:00,1.81,BAHÍA SAN BLAS
2024-08-16 04:51:00-03:00,0.98,BAHÍA SAN BLAS
2024-08-16 11:07:00-03:00,2.27,BAHÍA SAN BLAS
2024-08-16 18:00:00-03:00,0.47,BAHÍA SAN BLAS
