datetime,height,port
2024-01-01 00:36:00-03:00,8.46,BAHÍA SAN SEBASTIÁN
2024-01-01 06:37:00-03:00,2.85,BAHÍA SAN SEBASTIÁN
2024-01-01 12:38:00-03:00,8.31,BAHÍA SAN SEBASTIÁN
2024-01-01 18:56:00-03:00,2.19,BAHÍA SAN SEBASTIÁN
2024-01-02 01:13:00-03:00,8.17,BAHÍA SAN SEBASTIÁN
2024-01-02 07:16:00-03:00,3.02,BAHÍA SAN SEBASTIÁN
2024-01-02 13:20:00-03:00,8.03,BAHÍA SAN SEBASTIÁN
2024-01-02 19:36:00-03:00,2.6,BAHÍA SAN SEBASTIÁN
2024-01-03 01:52:00-03:00,7.89,BAHÍA SAN SEBASTIÁN
2024-01-03 07:59:00-03:00,3.16,BAHÍA SAN SEBASTIÁN
2024-01-03 14:06:00-03:00,7.75,BAHÍA SAN SEBASTIÁN
2024-01-03 20:20:00-03:00,2.99,BAHÍA SAN SEBASTIÁN
2024-01-04 02:35:00-03:00,7.67,BAHÍA SAN SEBASTIÁN
2024-01-04 08:47:00-03:00,3.25,BAHÍA SAN SEBASTIÁN
2024-01-04 14:58:00-03:00,7.51,BAHÍA SAN SEBASTIÁN
2024-01-04 21:10:00-03:00,3.32,BAHÍA SAN SEBASTIÁN
2024-01-05 03:24:00-03:00,7.52,BAHÍA SAN SEBASTIÁN
2024-01-05 09:42:00-03:00,3.25,BAHÍA SAN SEBASTIÁN
2024-01-05 15:59:00-03:00,7.37,BAHÍA SAN SEBASTIÁN
2024-01-05 22:08:00-03:00,3.55,BAHÍA SAN SEBASTIÁN
2024-01-06 04:20:00-03:00,7.48,BAHÍA SAN SEBASTIÁN
2024-01-06 10:44:00-03:00,3.13,BAHÍA SAN SEBASTIÁN
2024-01-06 17:05:00-03:00,7.4,BAHÍA SAN SEBASTIÁN
2024-01-06 23:11:00-03:00,3.62,BAHÍA SAN SEBASTIÁN
2024-01-07 05:19:00-03:00,7.59,BAHÍA SAN SEBASTIÁN
2024-01-07 11:46:00-03:00,2.85,BAHÍA SAN SEBASTIÁN
2024-01-07 18:10:00-03:00,7.61,BAHÍA SAN SEBASTIÁN
2024-01-08 00:13:00-03:00,3.5,BAHÍA SAN SEBASTIÁN
2024-01-08 06:19:00-03:00,7.85,BAHÍA SAN SEBASTIÁN
2024-01-08 12:45:00-03:00,2.44,BAHÍA SAN SEBASTIÁN
2024-01-08 19:10:00-03:00,7.97,BAHÍA SAN SEBASTIÁN
2024-01-09 01:11:00-03:00,3.22,BAHÍA SAN SEBASTIÁN
2024-01-09 07:15:00-03:00,8.23,BAHÍA SAN SEBASTIÁN
2024-01-09 13:39:00-03:00,1.95,BAHÍA SAN SEBASTIÁN
2024-01-09 20:03:00-03:00,8.42,BAHÍA SAN SEBASTIÁN
2024-01-10 02:04:00-03:00,2.84,BAHÍA SAN SEBASTIÁN
2024-01-10 08:06:00-03:00,8.68,BAHÍA SAN SEBASTIÁN
2024-01-10 14:29:00-03:00,1.44,BAHÍA SAN SEBASTIÁN
2024-01-10 20:51:00-03:00,8.87,BAHÍA SAN SEBASTIÁN
2024-01-11 02:52:00-03:00,2.41,BAHÍA SAN SEBASTIÁN
2024-01-11 08:55:00-03:00,9.13,BAHÍA SAN SEBASTIÁN
2024-01-11 15:16:00-03:00,1.0,BAHÍA SAN SEBASTIÁN
2024-01-11 21:36:00-03:00,9.29,BAHÍA SAN SEBASTIÁN
2024-01-12 03:38:00-03:00,2.01,BAHÍA SAN SEBASTIÁN
2024-01-12 09:41:00-03:00,9.51,BAHÍA SAN SEBASTIÁN
2024-01-12 16:01:00-03:00,0.67,BAHÍA SAN SEBASTIÁN
2024-01-12 22:20:00-03:00,9.6,BAHÍA SAN SEBASTIÁN
2024-01-13 04:23:00-03:00,1.68,BAHÍA SAN SEBASTIÁN
2024-01-13 10:27:00-03:00,9.78,BAHÍA SAN SEBASTIÁN
2024-01-13 16:46:00-03:00,0.49,BAHÍA SAN SEBASTIÁN
2024-01-13 23:03:00-03:00,9.79,BAHÍA SAN SEBASTIÁN
2024-01-14 05:07:00-03:00,1.45,BAHÍA SAN SEBASTIÁN
2024-01-14 11:13:00-03:00,9.9,BAHÍA SAN SEBASTIÁN
2024-01-14 17:30:00-03:00,0.49,BAHÍA SAN SEBASTIÁN
2024-01-14 23:47:00-03:00,9.83,BAHÍA SAN SEBASTIÁN
2024-01-15 05:53:00-03:00,1.36,BAHÍA SAN SEBASTIÁN
2024-01-15 11:59:00-03:00,9.85,BAHÍA SAN SEBASTIÁN
2024-01-15 18:16:00-03:00,0.67,BAHÍA SAN SEBASTIÁN
2024-01-16 00:32:00-03:00,9.72,BAHÍA SAN SEBASTIÁN
2024-01-16 06:39:00-03:00,1.4,BAHÍA SAN SEBASTIÁN
2024-01-16 12:47:00-03:00,9.64,BAHÍA SAN SEBASTIÁN
2024-01-16 19:03:00-03:00,1.03,BAHÍA SAN SEBASTIÁN
2024-01-17 01:18:00-03:00,9.47,BAHÍA SAN SEBASTIÁN
2024-01-17 07:28:00-03:00,1.57,BAHÍA SAN SEBASTIÁN
2024-01-17 13:39:00-03:00,9.29,BAHÍA SAN SEBASTIÁN
2024-01-17 19:54:00-03:00,1.51,BAHÍA SAN SEBASTIÁN
2024-01-18 02:08:00-03:00,9.11,BAHÍA SAN SEBASTIÁN
2024-01-18 08:22:00-03:00,1.82,BAHÍA SAN SEBASTIÁN
2024-01-18 14:36:00-03:00,8.87,BAHÍA SAN SEBASTIÁN
2024-01-18 20:49:00-03:00,2.06,BAHÍA SAN SEBASTIÁN
2024-01-19 03:03:00-03:00,8.72,BAHÍA SAN SEBASTIÁN
