datetime,height,port
2024-10-01 02:27:00-03:00,1.89,BAHÍA SAN SEBASTIÁN
2024-10-01 08:41:00-03:00,8.75,BAHÍA SAN SEBASTIÁN
2024-10-01 14:46:00-03:00,2.19,BAHÍA SAN SEBASTIÁN
2024-10-01 20:52:00-03:00,8.9,BAHÍA SAN SEBASTIÁN
2024-10-02 03:03:00-03:00,1.7,BAHÍA SAN SEBASTIÁN
2024-10-02 09:13:00-03:00,8.96,BAHÍA SAN SEBASTIÁN
2024-10-02 15:19:00-03:00,1.84,BAHÍA SAN SEBASTIÁN
2024-10-02 21:26:00-03:00,9.16,BAHÍA SAN SEBASTIÁN
2024-10-03 03:36:00-03:00,1.64,BAHÍA SAN SEBASTIÁN
2024-10-03 09:42:00-03:00,9.09,BAHÍA SAN SEBASTIÁN
2024-10-03 15:49:00-03:00,1.58,BAHÍA SAN SEBASTIÁN
2024-10-03 21:58:00-03:00,9.29,BAHÍA SAN SEBASTIÁN
2024-10-04 04:05:00-03:00,1.68,BAHÍA SAN SEBASTIÁN
2024-10-04 10:09:00-03:00,9.14,BAHÍA SAN SEBASTIÁN
2024-10-04 16:17:00-03:00,1.42,BAHÍA SAN SEBASTIÁN
2024-10-04 22:28:00-03:00,9.3,BAHÍA SAN SEBASTIÁN
2024-10-05 04:33:00-03:00,1.8,BAHÍA SAN SEBASTIÁN
2024-10-05 10:36:00-03:00,9.13,BAHÍA SAN SEBASTIÁN
2024-10-05 16:46:00-03:00,1.35,BAHÍA SAN SEBASTIÁN
2024-10-05 22:59:00-03:00,9.21,BAHÍA SAN SEBASTIÁN
2024-10-06 05:02:00-03:00,2.0,BAHÍA SAN SEBASTIÁN
2024-10-06 11:04:00-03:00,9.06,BAHÍA SAN SEBASTIÁN
2024-10-06 17:17:00-03:00,1.38,BAHÍA SAN SEBASTIÁN
2024-10-06 23:31:00-03:00,9.01,BAHÍA SAN SEBASTIÁN
2024-10-07 05:32:00-03:00,2.26,BAHÍA SAN SEBASTIÁN
2024-10-07 11:34:00-03:00,8.91,BAHÍA SAN SEBASTIÁN
2024-10-07 17:50:00-03:00,1.54,BAHÍA SAN SEBASTIÁN
2024-10-08 00:06:00-03:00,8.71,BAHÍA SAN SEBASTIÁN
2024-10-08 06:06:00-03:00,2.6,BAHÍA SAN SEBASTIÁN
2024-10-08 12:08:00-03:00,8.66,BAHÍA SAN SEBASTIÁN
2024-10-08 18:28:00-03:00,1.82,BAHÍA SAN SEBASTIÁN
2024-10-09 00:47:00-03:00,8.32,BAHÍA SAN SEBASTIÁN
2024-10-09 06:46:00-03:00,2.99,BAHÍA SAN SEBASTIÁN
2024-10-09 12:49:00-03:00,8.32,BAHÍA SAN SEBASTIÁN
2024-10-09 19:14:00-03:00,2.2,BAHÍA SAN SEBASTIÁN
2024-10-10 01:37:00-03:00,7.9,BAHÍA SAN SEBASTIÁN
2024-10-10 07:36:00-03:00,3.4,BAHÍA SAN SEBASTIÁN
2024-10-10 13:42:00-03:00,7.92,BAHÍA SAN SEBASTIÁN
2024-10-10 20:13:00-03:00,2.61,BAHÍA SAN SEBASTIÁN
2024-10-11 02:41:00-03:00,7.54,BAHÍA SAN SEBASTIÁN
2024-10-11 08:44:00-03:00,3.73,BAHÍA SAN SEBASTIÁN
2024-10-11 14:53:00-03:00,7.58,BAHÍA SAN SEBASTIÁN
2024-10-11 21:29:00-03:00,2.87,BAHÍA SAN SEBASTIÁN
2024-10-12 04:02:00-03:00,7.43,BAHÍA SAN SEBASTIÁN
2024-10-12 10:10:00-03:00,3.76,BAHÍA SAN SEBASTIÁN
2024-10-12 16:20:00-03:00,7.55,BAHÍA SAN SEBASTIÁN
2024-10-12 22:53:00-03:00,2.81,BAHÍA SAN SEBASTIÁN
2024-10-13 05:24:00-03:00,7.7,BAHÍA SAN SEBASTIÁN
2024-10-13 11:34:00-03:00,3.36,BAHÍA SAN SEBASTIÁN
2024-10-13 17:43:00-03:00,7.93,BAHÍA SAN SEBASTIÁN
2024-10-14 00:08:00-03:00,2.41,BAHÍA SAN SEBASTIÁN
2024-10-14 06:30:00-03:00,8.25,BAHÍA SAN SEBASTIÁN
2024-10-14 12:40:00-03:00,2.66,BAHÍA SAN SEBASTIÁN
2024-10-14 18:49:00-03:00,8.57,BAHÍA SAN SEBASTIÁN
2024-10-15 01:07:00-03:00,1.86,BAHÍA SAN SEBASTIÁN
2024-10-15 07:23:00-03:00,8.89,BAHÍA SAN SEBASTIÁN
2024-10-15 13:33:00-03:00,1.88,BAHÍA SAN SEBASTIÁN
2024-10-15 19:43:00-03:00,9.25,BAHÍA SAN SEBASTIÁN
2024-10-16 01:57:00-03:00,1.33,BAHÍA SAN SEBASTIÁN
2024-10-16 08:09:00-03:00,9.49,BAHÍA SAN SEBASTIÁN
2024-10-16 14:19:00-03:00,1.16,BAHÍA SAN SEBASTIÁN
