datetime,height,port
2024-12-01 03:02:00-03:00,2.64,BAHÍA SAN SEBASTIÁN
2024-12-01 09:01:00-03:00,8.69,BAHÍA SAN SEBASTIÁN
2024-12-01 15:19:00-03:00,1.5,BAHÍA SAN SEBASTIÁN
2024-12-01 21:38:00-03:00,8.83,BAHÍA SAN SEBASTIÁN
2024-12-02 03:37:00-03:00,2.52,BAHÍA SAN SEBASTIÁN
2024-12-02 09:37:00-03:00,8.9,BAHÍA SAN SEBASTIÁN
2024-12-02 15:56:00-03:00,1.28,BAHÍA SAN SEBASTIÁN
2024-12-02 22:14:00-03:00,8.96,BAHÍA SAN SEBASTIÁN
2024-12-03 04:14:00-03:00,2.42,BAHÍA SAN SEBASTIÁN
2024-12-03 10:14:00-03:00,9.05,BAHÍA SAN SEBASTIÁN
2024-12-03 16:34:00-03:00,1.17,BAHÍA SAN SEBASTIÁN
2024-12-03 22:53:00-03:00,9.01,BAHÍA SAN SEBASTIÁN
2024-12-04 04:52:00-03:00,2.37,BAHÍA SAN SEBASTIÁN
2024-12-04 10:54:00-03:00,9.1,BAHÍA SAN SEBASTIÁN
2024-12-04 17:15:00-03:00,1.17,BAHÍA SAN SEBASTIÁN
2024-12-04 23:34:00-03:00,8.98,BAHÍA SAN SEBASTIÁN
2024-12-05 05:35:00-03:00,2.37,BAHÍA SAN SEBASTIÁN
2024-12-05 11:37:00-03:00,9.05,BAHÍA SAN SEBASTIÁN
2024-12-05 17:59:00-03:00,1.3,BAHÍA SAN SEBASTIÁN
2024-12-06 00:19:00-03:00,8.88,BAHÍA SAN SEBASTIÁN
2024-12-06 06:21:00-03:00,2.43,BAHÍA SAN SEBASTIÁN
2024-12-06 12:25:00-03:00,8.9,BAHÍA SAN SEBASTIÁN
2024-12-06 18:47:00-03:00,1.53,BAHÍA SAN SEBASTIÁN
2024-12-07 01:08:00-03:00,8.73,BAHÍA SAN SEBASTIÁN
2024-12-07 07:13:00-03:00,2.51,BAHÍA SAN SEBASTIÁN
2024-12-07 13:20:00-03:00,8.69,BAHÍA SAN SEBASTIÁN
2024-12-07 19:41:00-03:00,1.82,BAHÍA SAN SEBASTIÁN
2024-12-08 02:02:00-03:00,8.56,BAHÍA SAN SEBASTIÁN
2024-12-08 08:11:00-03:00,2.58,BAHÍA SAN SEBASTIÁN
2024-12-08 14:21:00-03:00,8.49,BAHÍA SAN SEBASTIÁN
2024-12-08 20:41:00-03:00,2.1,BAHÍA SAN SEBASTIÁN
2024-12-09 03:02:00-03:00,8.45,BAHÍA SAN SEBASTIÁN
2024-12-09 09:15:00-03:00,2.57,BAHÍA SAN SEBASTIÁN
2024-12-09 15:28:00-03:00,8.37,BAHÍA SAN SEBASTIÁN
2024-12-09 21:47:00-03:00,2.3,BAHÍA SAN SEBASTIÁN
2024-12-10 04:06:00-03:00,8.44,BAHÍA SAN SEBASTIÁN
2024-12-10 10:23:00-03:00,2.41,BAHÍA SAN SEBASTIÁN
2024-12-10 16:39:00-03:00,8.41,BAHÍA SAN SEBASTIÁN
2024-12-10 22:54:00-03:00,2.35,BAHÍA SAN SEBASTIÁN
2024-12-11 05:10:00-03:00,8.57,BAHÍA SAN SEBASTIÁN
2024-12-11 11:29:00-03:00,2.09,BAHÍA SAN SEBASTIÁN
2024-12-11 17:47:00-03:00,8.62,BAHÍA SAN SEBASTIÁN
2024-12-11 23:59:00-03:00,2.27,BAHÍA SAN SEBASTIÁN
2024-12-12 06:11:00-03:00,8.8,BAHÍA SAN SEBASTIÁN
2024-12-12 12:30:00-03:00,1.69,BAHÍA SAN SEBASTIÁN
2024-12-12 18:50:00-03:00,8.94,BAHÍA SAN SEBASTIÁN
2024-12-13 00:59:00-03:00,2.11,BAHÍA SAN SEBASTIÁN
2024-12-13 07:07:00-03:00,9.07,BAHÍA SAN SEBASTIÁN
2024-12-13 13:27:00-03:00,1.26,BAHÍA SAN SEBASTIÁN
2024-12-13 19:47:00-03:00,9.26,BAHÍA SAN SEBASTIÁN
2024-12-14 01:54:00-03:00,1.93,BAHÍA SAN SEBASTIÁN
2024-12-14 07:59:00-03:00,9.33,BAHÍA SAN SEBASTIÁN
2024-12-14 14:18:00-03:00,0.9,BAHÍA SAN SEBASTIÁN
2024-12-14 20:39:00-03:00,9.53,BAHÍA SAN SEBASTIÁN
2024-12-15 02:44:00-03:00,1.8,BAHÍA SAN SEBASTIÁN
2024-12-15 08:48:00-03:00,9.51,BAHÍA SAN SEBASTIÁN
2024-12-15 15:07:00-03:00,0.66,BAHÍA SAN SEBASTIÁN
2024-12-15 21:28:00-03:00,9.68,BAHÍA SAN SEBASTIÁN
2024-12-16 03:32:00-03:00,1.76,BAHÍA SAN SEBASTIÁN
2024-12-16 09:35:00-03:00,9.58,BAHÍA SAN SEBASTIÁN
2024-12-16 15:54:00-03:00,0.57,BAHÍA SAN SEBASTIÁN
2024-12-16 22:14:00-03:00,9.7,BAHÍA SAN SEBASTIÁN
2024-12-17 04:18:00-03:00,1.81,BAHÍA SAN SEBASTIÁN
2024-12-17 10:20:00-03:00,9.53,BAHÍA SAN SEBASTIÁN
2024-12-17 16:39:00-03:00,0.64,BAHÍA SAN SEBASTIÁN
2024-12-17 22:59:00-03:00,9.57,BAHÍA SAN SEBASTIÁN
2024-12-18 05:03:00-03:00,1.96,BAHÍA SAN SEBASTIÁN
2024-12-18 11:04:00-03:00,9.36,BAHÍA SAN SEBASTIÁN
2024-12-18 17:23:00-03:00,0.87,BAHÍA SAN SEBASTIÁN
2024-12-18 23:44:00-03:00,9.32,BAHÍA SAN SEBASTIÁN
2024-12-19 05:47:00-03:00,2.19,BAHÍA SAN SEBASTIÁN
2024-12-19 11:48:00-03:00,9.08,BAHÍA SAN SEBASTIÁN
2024-12-19 18:07:00-03:00,1.24,BAHÍA SAN SEBASTIÁN
2024-12-20 00:28:00-03:00,8.97,BAHÍA SAN SEBASTIÁN
2024-12-20 06:31:00-03:00,2.47,BAHÍA SAN SEBASTIÁN
2024-12-20 12:33:00-03:00,8.72,BAHÍA SAN SEBASTIÁN
2024-12-20 18:52:00-03:00,1.7,BAHÍA SAN SEBASTIÁN
2024-12-21 01:13:00-03:00,8.58,BAHÍA SAN SEBASTIÁN
2024-12-21 07:17:00-03:00,2.77,BAHÍA SAN SEBASTIÁN
2024-12-21 13:20:00-03:00,8.31,BAHÍA SAN SEBASTIÁN
2024-12-21 19:39:00-03:00,2.21,BAHÍA SAN SEBASTIÁN
2024-12-22 01:59:00-03:00,8.17,BAHÍA SAN SEBASTIÁN
2024-12-22 08:05:00-03:00,3.06,BAHÍA SAN SEBASTIÁN
2024-12-22 14:11:00-03:00,7.91,BAHÍA SAN SEBASTIÁN
2024-12-22 20:28:00-03:00,2.72,BAHÍA SAN SEBASTIÁN
2024-12-23 02:47:00-03:00,7.8,BAHÍA SAN SEBASTIÁN
2024-12-23 08:58:00-03:00,3.27,BAHÍA SAN SEBASTIÁN
2024-12-23 15:06:00-03:00,7.57,BAHÍA SAN SEBASTIÁN
2024-12-23 21:22:00-03:00,3.17,BAHÍA SAN SEBASTIÁN
2024-12-24 03:39:00-03:00,7.52,BAHÍA SAN SEBASTIÁN
2024-12-24 09:54:00-03:00,3.38,BAHÍA SAN SEBASTIÁN
2024-12-24 16:08:00-03:00,7.35,BAHÍA SAN SEBASTIÁN
2024-12-24 22:20:00-03:00,3.5,BAHÍA SAN SEBASTIÁN
2024-12-25 04:34:00-03:00,7.37,BAHÍA SAN SEBASTIÁN
2024-12-25 10:54:00-03:00,3.34,BAHÍA SAN SEBASTIÁN
2024-12-25 17:13:00-03:00,7.29,BAHÍA SAN SEBASTIÁN
2024-12-25 23:20:00-03:00,3.68,BAHÍA SAN SEBASTIÁN
2024-12-26 05:29:00-03:00,7.37,BAHÍA SAN SEBASTIÁN
2024-12-26 11:52:00-03:00,3.15,BAHÍA SAN SEBASTIÁN
2024-12-26 18:14:00-03:00,7.4,BAHÍA SAN SEBASTIÁN
2024-12-27 00:18:00-03:00,3.68,BAHÍA SAN SEBASTIÁN
2024-12-27 06:22:00-03:00,7.51,BAHÍA SAN SEBASTIÁN
2024-12-27 12:45:00-03:00,2.84,BAHÍA SAN SEBASTIÁN
2024-12-27 19:09:00-03:00,7.64,BAHÍA SAN SEBASTIÁN
2024-12-28 01:09:00-03:00,3.55,BAHÍA SAN SEBASTIÁN
2024-12-28 07:10:00-03:00,7.77,BAHÍA SAN SEBASTIÁN
2024-12-28 13:33:00-03:00,2.46,BAHÍA SAN SEBASTIÁN
2024-12-28 19:56:00-03:00,7.96,BAHÍA SAN SEBASTIÁN
2024-12-29 01:56:00-03:00,3.32,BAHÍA SAN SEBASTIÁN
2024-12-29 07:55:00-03:00,8.11,BAHÍA SAN SEBASTIÁN
2024-12-29 14:17:00-03:00,2.04,BAHÍA SAN SEBASTIÁN
2024-12-29 20:40:00-03:00,8.3,BAHÍA SAN SEBASTIÁN
2024-12-30 02:38:00-03:00,3.02,BAHÍA SAN SEBASTIÁN
2024-12-30 08:37:00-03:00,8.48,BAHÍA SAN SEBASTIÁN
2024-12-30 14:59:00-03:00,1.64,BAHÍA SAN SEBASTIÁN
2024-12-30 21:20:00-03:00,8.64,BAHÍA SAN SEBASTIÁN
2024-12-31 03:19:00-03:00,2.69,BAHÍA SAN SEBASTIÁN
2024-12-31 09:19:00-03:00,8.84,BAHÍA SAN SEBASTIÁN
2024-12-31 15:40:00-03:00,1.3,BAHÍA SAN SEBASTIÁN
