datetime,height,port
2024-02-01 01:06:00-03:00,8.36,BAHÍA SAN SEBASTIÁN
2024-02-01 07:16:00-03:00,2.49,BAHÍA SAN SEBASTIÁN
2024-02-01 13:25:00-03:00,8.22,BAHÍA SAN SEBASTIÁN
2024-02-01 19:34:00-03:00,2.71,BAHÍA SAN SEBASTIÁN
2024-02-02 01:43:00-03:00,8.12,BAHÍA SAN SEBASTIÁN
2024-02-02 07:57:00-03:00,2.65,BAHÍA SAN SEBASTIÁN
2024-02-02 14:10:00-03:00,7.88,BAHÍA SAN SEBASTIÁN
2024-02-02 20:17:00-03:00,3.13,BAHÍA SAN SEBASTIÁN
2024-02-03 02:26:00-03:00,7.87,BAHÍA SAN SEBASTIÁN
2024-02-03 08:47:00-03:00,2.83,BAHÍA SAN SEBASTIÁN
2024-02-03 15:06:00-03:00,7.56,BAHÍA SAN SEBASTIÁN
2024-02-03 21:10:00-03:00,3.52,BAHÍA SAN SEBASTIÁN
2024-02-04 03:20:00-03:00,7.64,BAHÍA SAN SEBASTIÁN
2024-02-04 09:49:00-03:00,2.95,BAHÍA SAN SEBASTIÁN
2024-02-04 16:14:00-03:00,7.36,BAHÍA SAN SEBASTIÁN
2024-02-04 22:17:00-03:00,3.77,BAHÍA SAN SEBASTIÁN
2024-02-05 04:27:00-03:00,7.54,BAHÍA SAN SEBASTIÁN
2024-02-05 11:02:00-03:00,2.9,BAHÍA SAN SEBASTIÁN
2024-02-05 17:32:00-03:00,7.41,BAHÍA SAN SEBASTIÁN
2024-02-05 23:35:00-03:00,3.77,BAHÍA SAN SEBASTIÁN
2024-02-06 05:42:00-03:00,7.67,BAHÍA SAN SEBASTIÁN
2024-02-06 12:16:00-03:00,2.6,BAHÍA SAN SEBASTIÁN
2024-02-06 18:45:00-03:00,7.76,BAHÍA SAN SEBASTIÁN
2024-02-07 00:48:00-03:00,3.45,BAHÍA SAN SEBASTIÁN
2024-02-07 06:52:00-03:00,8.06,BAHÍA SAN SEBASTIÁN
2024-02-07 13:20:00-03:00,2.09,BAHÍA SAN SEBASTIÁN
2024-02-07 19:46:00-03:00,8.29,BAHÍA SAN SEBASTIÁN
2024-02-08 01:48:00-03:00,2.92,BAHÍA SAN SEBASTIÁN
2024-02-08 07:52:00-03:00,8.61,BAHÍA SAN SEBASTIÁN
