datetime,height,port
2024-04-01 01:13:00-03:00,8.36,BAHÍA SAN SEBASTIÁN
2024-04-01 07:39:00-03:00,2.18,BAHÍA SAN SEBASTIÁN
2024-04-01 14:02:00-03:00,7.93,BAHÍA SAN SEBASTIÁN
2024-04-01 20:04:00-03:00,3.37,BAHÍA SAN SEBASTIÁN
2024-04-02 02:11:00-03:00,7.94,BAHÍA SAN SEBASTIÁN
2024-04-02 08:43:00-03:00,2.58,BAHÍA SAN SEBASTIÁN
2024-04-02 15:14:00-03:00,7.58,BAHÍA SAN SEBASTIÁN
2024-04-02 21:18:00-03:00,3.68,BAHÍA SAN SEBASTIÁN
2024-04-03 03:28:00-03:00,7.64,BAHÍA SAN SEBASTIÁN
2024-04-03 10:05:00-03:00,2.77,BAHÍA SAN SEBASTIÁN
2024-04-03 16:39:00-03:00,7.56,BAHÍA SAN SEBASTIÁN
2024-04-03 22:48:00-03:00,3.62,BAHÍA SAN SEBASTIÁN
2024-04-04 04:58:00-03:00,7.72,BAHÍA SAN SEBASTIÁN
2024-04-04 11:29:00-03:00,2.57,BAHÍA SAN SEBASTIÁN
2024-04-04 17:59:00-03:00,7.95,BAHÍA SAN SEBASTIÁN
2024-04-05 00:08:00-03:00,3.12,BAHÍA SAN SEBASTIÁN
2024-04-05 06:16:00-03:00,8.2,BAHÍA SAN SEBASTIÁN
2024-04-05 12:40:00-03:00,2.08,BAHÍA SAN SEBASTIÁN
2024-04-05 19:01:00-03:00,8.56,BAHÍA SAN SEBASTIÁN
2024-04-06 01:10:00-03:00,2.39,BAHÍA SAN SEBASTIÁN
2024-04-06 07:18:00-03:00,8.88,BAHÍA SAN SEBASTIÁN
2024-04-06 13:36:00-03:00,1.5,BAHÍA SAN SEBASTIÁN
2024-04-06 19:52:00-03:00,9.2,BAHÍA SAN SEBASTIÁN
2024-04-07 02:01:00-03:00,1.62,BAHÍA SAN SEBASTIÁN
2024-04-07 08:10:00-03:00,9.56,BAHÍA SAN SEBASTIÁN
2024-04-07 14:24:00-03:00,0.99,BAHÍA SAN SEBASTIÁN
2024-04-07 20:36:00-03:00,9.76,BAHÍA SAN SEBASTIÁN
2024-04-08 02:46:00-03:00,0.96,BAHÍA SAN SEBASTIÁN
2024-04-08 08:56:00-03:00,10.1,BAHÍA SAN SEBASTIÁN
2024-04-08 15:08:00-03:00,0.64,BAHÍA SAN SEBASTIÁN
2024-04-08 21:18:00-03:00,10.15,BAHÍA SAN SEBASTIÁN
2024-04-09 03:27:00-03:00,0.47,BAHÍA SAN SEBASTIÁN
2024-04-09 09:39:00-03:00,10.42,BAHÍA SAN SEBASTIÁN
2024-04-09 15:49:00-03:00,0.52,BAHÍA SAN SEBASTIÁN
