datetime,height,port
2024-07-01 04:44:00-03:00,8.47,BAHÍA SAN SEBASTIÁN
2024-07-01 10:57:00-03:00,2.49,BAHÍA SAN SEBASTIÁN
2024-07-01 17:10:00-03:00,8.54,BAHÍA SAN SEBASTIÁN
2024-07-01 23:32:00-03:00,2.02,BAHÍA SAN SEBASTIÁN
2024-07-02 05:54:00-03:00,8.52,BAHÍA SAN SEBASTIÁN
2024-07-02 12:04:00-03:00,2.56,BAHÍA SAN SEBASTIÁN
2024-07-02 18:14:00-03:00,8.61,BAHÍA SAN SEBASTIÁN
2024-07-03 00:36:00-03:00,1.77,BAHÍA SAN SEBASTIÁN
2024-07-03 06:59:00-03:00,8.72,BAHÍA SAN SEBASTIÁN
2024-07-03 13:07:00-03:00,2.49,BAHÍA SAN SEBASTIÁN
2024-07-03 19:13:00-03:00,8.77,BAHÍA SAN SEBASTIÁN
2024-07-04 01:35:00-03:00,1.47,BAHÍA SAN SEBASTIÁN
2024-07-04 07:58:00-03:00,8.97,BAHÍA SAN SEBASTIÁN
2024-07-04 14:04:00-03:00,2.36,BAHÍA SAN SEBASTIÁN
2024-07-04 20:08:00-03:00,8.96,BAHÍA SAN SEBASTIÁN
2024-07-05 02:29:00-03:00,1.18,BAHÍA SAN SEBASTIÁN
2024-07-05 08:52:00-03:00,9.19,BAHÍA SAN SEBASTIÁN
2024-07-05 14:56:00-03:00,2.23,BAHÍA SAN SEBASTIÁN
2024-07-05 20:58:00-03:00,9.12,BAHÍA SAN SEBASTIÁN
2024-07-06 03:18:00-03:00,0.99,BAHÍA SAN SEBASTIÁN
2024-07-06 09:40:00-03:00,9.33,BAHÍA SAN SEBASTIÁN
2024-07-06 15:43:00-03:00,2.14,BAHÍA SAN SEBASTIÁN
2024-07-06 21:44:00-03:00,9.21,BAHÍA SAN SEBASTIÁN
2024-07-07 04:03:00-03:00,0.91,BAHÍA SAN SEBASTIÁN
2024-07-07 10:24:00-03:00,9.36,BAHÍA SAN SEBASTIÁN
2024-07-07 16:27:00-03:00,2.13,BAHÍA SAN SEBASTIÁN
2024-07-07 22:27:00-03:00,9.21,BAHÍA SAN SEBASTIÁN
2024-07-08 04:45:00-03:00,0.98,BAHÍA SAN SEBASTIÁN
2024-07-08 11:05:00-03:00,9.27,BAHÍA SAN SEBASTIÁN
2024-07-08 17:07:00-03:00,2.19,BAHÍA SAN SEBASTIÁN
2024-07-08 23:08:00-03:00,9.1,BAHÍA SAN SEBASTIÁN
2024-07-09 05:26:00-03:00,1.19,BAHÍA SAN SEBASTIÁN
2024-07-09 11:44:00-03:00,9.07,BAHÍA SAN SEBASTIÁN
2024-07-09 17:46:00-03:00,2.32,BAHÍA SAN SEBASTIÁN
2024-07-09 23:47:00-03:00,8.9,BAHÍA SAN SEBASTIÁN
2024-07-10 06:04:00-03:00,1.51,BAHÍA SAN SEBASTIÁN
2024-07-10 12:22:00-03:00,8.79,BAHÍA SAN SEBASTIÁN
2024-07-10 18:24:00-03:00,2.5,BAHÍA SAN SEBASTIÁN
2024-07-11 00:27:00-03:00,8.63,BAHÍA SAN SEBASTIÁN
2024-07-11 06:42:00-03:00,1.92,BAHÍA SAN SEBASTIÁN
2024-07-11 12:58:00-03:00,8.46,BAHÍA SAN SEBASTIÁN
2024-07-11 19:02:00-03:00,2.7,BAHÍA SAN SEBASTIÁN
2024-07-12 01:06:00-03:00,8.3,BAHÍA SAN SEBASTIÁN
2024-07-12 07:21:00-03:00,2.38,BAHÍA SAN SEBASTIÁN
2024-07-12 13:35:00-03:00,8.13,BAHÍA SAN SEBASTIÁN
2024-07-12 19:42:00-03:00,2.91,BAHÍA SAN SEBASTIÁN
2024-07-13 01:49:00-03:00,7.95,BAHÍA SAN SEBASTIÁN
2024-07-13 08:01:00-03:00,2.84,BAHÍA SAN SEBASTIÁN
2024-07-13 14:14:00-03:00,7.82,BAHÍA SAN SEBASTIÁN
2024-07-13 20:25:00-03:00,3.09,BAHÍA SAN SEBASTIÁN
2024-07-14 02:36:00-03:00,7.61,BAHÍA SAN SEBASTIÁN
2024-07-14 08:46:00-03:00,3.28,BAHÍA SAN SEBASTIÁN
2024-07-14 14:58:00-03:00,7.56,BAHÍA SAN SEBASTIÁN
2024-07-14 21:15:00-03:00,3.22,BAHÍA SAN SEBASTIÁN
2024-07-15 03:32:00-03:00,7.34,BAHÍA SAN SEBASTIÁN
2024-07-15 09:38:00-03:00,3.64,BAHÍA SAN SEBASTIÁN
2024-07-15 15:49:00-03:00,7.38,BAHÍA SAN SEBASTIÁN
2024-07-15 22:14:00-03:00,3.25,BAHÍA SAN SEBASTIÁN
2024-07-16 04:37:00-03:00,7.21,BAHÍA SAN SEBASTIÁN
2024-07-16 10:40:00-03:00,3.86,BAHÍA SAN SEBASTIÁN
2024-07-16 16:49:00-03:00,7.35,BAHÍA SAN SEBASTIÁN
