datetime,height,port
2024-01-01 04:47:00-03:00,1.41,BAHÍA THETIS
2024-01-01 10:43:00-03:00,3.33,BAHÍA THETIS
2024-01-01 17:11:00-03:00,0.85,BAHÍA THETIS
2024-01-01 23:34:00-03:00,3.19,BAHÍA THETIS
2024-01-02 05:28:00-03:00,1.41,BAHÍA THETIS
2024-01-02 11:27:00-03:00,3.22,BAHÍA THETIS
2024-01-02 17:51:00-03:00,1.03,BAHÍA THETIS
2024-01-03 00:12:00-03:00,3.13,BAHÍA THETIS
2024-01-03 06:14:00-03:00,1.4,BAHÍA THETIS
2024-01-03 12:17:00-03:00,3.1,BAHÍA THETIS
2024-01-03 18:35:00-03:00,1.21,BAHÍA THETIS
2024-01-04 00:53:00-03:00,3.09,BAHÍA THETIS
2024-01-04 07:04:00-03:00,1.36,BAHÍA THETIS
2024-01-04 13:13:00-03:00,3.01,BAHÍA THETIS
2024-01-04 19:22:00-03:00,1.37,BAHÍA THETIS
2024-01-05 01:37:00-03:00,3.08,BAHÍA THETIS
2024-01-05 08:00:00-03:00,1.28,BAHÍA THETIS
2024-01-05 14:15:00-03:00,2.95,BAHÍA THETIS
2024-01-05 20:16:00-03:00,1.49,BAHÍA THETIS
2024-01-06 02:27:00-03:00,3.11,BAHÍA THETIS
2024-01-06 08:59:00-03:00,1.17,BAHÍA THETIS
2024-01-06 15:21:00-03:00,2.95,BAHÍA THETIS
2024-01-06 21:13:00-03:00,1.55,BAHÍA THETIS
2024-01-07 03:20:00-03:00,3.18,BAHÍA THETIS
2024-01-07 09:58:00-03:00,1.01,BAHÍA THETIS
2024-01-07 16:26:00-03:00,3.02,BAHÍA THETIS
2024-01-07 22:12:00-03:00,1.56,BAHÍA THETIS
2024-01-08 04:15:00-03:00,3.29,BAHÍA THETIS
2024-01-08 10:55:00-03:00,0.83,BAHÍA THETIS
2024-01-08 17:24:00-03:00,3.14,BAHÍA THETIS
2024-01-08 23:09:00-03:00,1.5,BAHÍA THETIS
2024-01-09 05:08:00-03:00,3.43,BAHÍA THETIS
2024-01-09 11:48:00-03:00,0.63,BAHÍA THETIS
2024-01-09 18:17:00-03:00,3.28,BAHÍA THETIS
2024-01-10 00:02:00-03:00,1.4,BAHÍA THETIS
2024-01-10 06:00:00-03:00,3.59,BAHÍA THETIS
2024-01-10 12:38:00-03:00,0.44,BAHÍA THETIS
2024-01-10 19:06:00-03:00,3.43,BAHÍA THETIS
2024-01-11 00:52:00-03:00,1.27,BAHÍA THETIS
2024-01-11 06:50:00-03:00,3.74,BAHÍA THETIS
2024-01-11 13:25:00-03:00,0.28,BAHÍA THETIS
2024-01-11 19:51:00-03:00,3.57,BAHÍA THETIS
2024-01-12 01:40:00-03:00,1.13,BAHÍA THETIS
2024-01-12 07:39:00-03:00,3.86,BAHÍA THETIS
2024-01-12 14:12:00-03:00,0.18,BAHÍA THETIS
2024-01-12 20:36:00-03:00,3.68,BAHÍA THETIS
2024-01-13 02:27:00-03:00,1.0,BAHÍA THETIS
2024-01-13 08:27:00-03:00,3.94,BAHÍA THETIS
2024-01-13 14:57:00-03:00,0.15,BAHÍA THETIS
2024-01-13 21:19:00-03:00,3.75,BAHÍA THETIS
2024-01-14 03:13:00-03:00,0.9,BAHÍA THETIS
2024-01-14 09:16:00-03:00,3.96,BAHÍA THETIS
2024-01-14 15:43:00-03:00,0.18,BAHÍA THETIS
2024-01-14 22:03:00-03:00,3.78,BAHÍA THETIS
2024-01-15 04:01:00-03:00,0.83,BAHÍA THETIS
2024-01-15 10:05:00-03:00,3.92,BAHÍA THETIS
2024-01-15 16:29:00-03:00,0.29,BAHÍA THETIS
2024-01-15 22:48:00-03:00,3.76,BAHÍA THETIS
2024-01-16 04:50:00-03:00,0.8,BAHÍA THETIS
2024-01-16 10:56:00-03:00,3.82,BAHÍA THETIS
2024-01-16 17:17:00-03:00,0.46,BAHÍA THETIS
2024-01-16 23:35:00-03:00,3.7,BAHÍA THETIS
2024-01-17 05:42:00-03:00,0.8,BAHÍA THETIS
2024-01-17 11:51:00-03:00,3.68,BAHÍA THETIS
2024-01-17 18:08:00-03:00,0.68,BAHÍA THETIS
2024-01-18 00:24:00-03:00,3.61,BAHÍA THETIS
2024-01-18 06:37:00-03:00,0.83,BAHÍA THETIS
2024-01-18 12:50:00-03:00,3.51,BAHÍA THETIS
2024-01-18 19:02:00-03:00,0.91,BAHÍA THETIS
2024-01-19 01:17:00-03:00,3.51,BAHÍA THETIS
2024-01-19 07:38:00-03:00,0.85,BAHÍA THETIS
2024-01-19 13:56:00-03:00,3.36,BAHÍA THETIS
2024-01-19 20:02:00-03:00,1.14,BAHÍA THETIS
2024-01-20 02:14:00-03:00,3.43,BAHÍA THETIS
2024-01-20 08:43:00-03:00,0.85,BAHÍA THETIS
2024-01-20 15:08:00-03:00,3.26,BAHÍA THETIS
2024-01-20 21:08:00-03:00,1.31,BAHÍA THETIS
2024-01-21 03:16:00-03:00,3.37,BAHÍA THETIS
2024-01-21 09:51:00-03:00,0.8,BAHÍA THETIS
2024-01-21 16:21:00-03:00,3.24,BAHÍA THETIS
2024-01-21 22:16:00-03:00,1.41,BAHÍA THETIS
2024-01-22 04:18:00-03:00,3.37,BAHÍA THETIS
2024-01-22 10:55:00-03:00,0.7,BAHÍA THETIS
2024-01-22 17:28:00-03:00,3.29,BAHÍA THETIS
2024-01-22 23:20:00-03:00,1.44,BAHÍA THETIS
2024-01-23 05:17:00-03:00,3.41,BAHÍA THETIS
2024-01-23 11:54:00-03:00,0.59,BAHÍA THETIS
2024-01-23 18:27:00-03:00,3.37,BAHÍA THETIS
2024-01-24 00:17:00-03:00,1.41,BAHÍA THETIS
2024-01-24 06:11:00-03:00,3.47,BAHÍA THETIS
2024-01-24 12:46:00-03:00,0.5,BAHÍA THETIS
2024-01-24 19:18:00-03:00,3.44,BAHÍA THETIS
2024-01-25 01:07:00-03:00,1.37,BAHÍA THETIS
2024-01-25 06:59:00-03:00,3.54,BAHÍA THETIS
2024-01-25 13:33:00-03:00,0.44,BAHÍA THETIS
2024-01-25 20:02:00-03:00,3.48,BAHÍA THETIS
2024-01-26 01:50:00-03:00,1.31,BAHÍA THETIS
2024-01-26 07:44:00-03:00,3.59,BAHÍA THETIS
2024-01-26 14:15:00-03:00,0.43,BAHÍA THETIS
2024-01-26 20:41:00-03:00,3.49,BAHÍA THETIS
2024-01-27 02:29:00-03:00,1.26,BAHÍA THETIS
2024-01-27 08:24:00-03:00,3.61,BAHÍA THETIS
2024-01-27 14:53:00-03:00,0.47,BAHÍA THETIS
2024-01-27 21:16:00-03:00,3.46,BAHÍA THETIS
2024-01-28 03:06:00-03:00,1.21,BAHÍA THETIS
2024-01-28 09:03:00-03:00,3.6,BAHÍA THETIS
2024-01-28 15:29:00-03:00,0.56,BAHÍA THETIS
2024-01-28 21:48:00-03:00,3.42,BAHÍA THETIS
2024-01-29 03:40:00-03:00,1.17,BAHÍA THETIS
2024-01-29 09:40:00-03:00,3.55,BAHÍA THETIS
2024-01-29 16:03:00-03:00,0.69,BAHÍA THETIS
2024-01-29 22:18:00-03:00,3.37,BAHÍA THETIS
2024-01-30 04:14:00-03:00,1.14,BAHÍA THETIS
2024-01-30 10:18:00-03:00,3.48,BAHÍA THETIS
2024-01-30 16:36:00-03:00,0.85,BAHÍA THETIS
2024-01-30 22:49:00-03:00,3.33,BAHÍA THETIS
2024-01-31 04:50:00-03:00,1.11,BAHÍA THETIS
2024-01-31 10:57:00-03:00,3.37,BAHÍA THETIS
2024-01-31 17:10:00-03:00,1.02,BAHÍA THETIS
2024-01-31 23:21:00-03:00,3.29,BAHÍA THETIS
