datetime,height,port
2024-02-01 05:30:00-03:00,1.1,BAHÍA THETIS
2024-02-01 11:40:00-03:00,3.24,BAHÍA THETIS
2024-02-01 17:47:00-03:00,1.2,BAHÍA THETIS
2024-02-01 23:56:00-03:00,3.25,BAHÍA THETIS
2024-02-02 06:15:00-03:00,1.1,BAHÍA THETIS
2024-02-02 12:30:00-03:00,3.1,BAHÍA THETIS
2024-02-02 18:29:00-03:00,1.37,BAHÍA THETIS
2024-02-03 00:39:00-03:00,3.21,BAHÍA THETIS
2024-02-03 07:08:00-03:00,1.1,BAHÍA THETIS
2024-02-03 13:29:00-03:00,2.98,BAHÍA THETIS
2024-02-03 19:21:00-03:00,1.53,BAHÍA THETIS
2024-02-04 01:30:00-03:00,3.18,BAHÍA THETIS
2024-02-04 08:11:00-03:00,1.08,BAHÍA THETIS
2024-02-04 14:39:00-03:00,2.91,BAHÍA THETIS
2024-02-04 20:24:00-03:00,1.64,BAHÍA THETIS
2024-02-05 02:32:00-03:00,3.19,BAHÍA THETIS
2024-02-05 09:20:00-03:00,1.0,BAHÍA THETIS
2024-02-05 15:53:00-03:00,2.94,BAHÍA THETIS
2024-02-05 21:35:00-03:00,1.66,BAHÍA THETIS
2024-02-06 03:40:00-03:00,3.25,BAHÍA THETIS
2024-02-06 10:28:00-03:00,0.86,BAHÍA THETIS
2024-02-06 17:02:00-03:00,3.07,BAHÍA THETIS
2024-02-06 22:45:00-03:00,1.57,BAHÍA THETIS
2024-02-07 04:46:00-03:00,3.39,BAHÍA THETIS
2024-02-07 11:29:00-03:00,0.67,BAHÍA THETIS
2024-02-07 18:00:00-03:00,3.25,BAHÍA THETIS
2024-02-07 23:45:00-03:00,1.4,BAHÍA THETIS
2024-02-08 05:46:00-03:00,3.57,BAHÍA THETIS
2024-02-08 12:23:00-03:00,0.47,BAHÍA THETIS
2024-02-08 18:49:00-03:00,3.45,BAHÍA THETIS
2024-02-09 00:39:00-03:00,1.19,BAHÍA THETIS
2024-02-09 06:40:00-03:00,3.77,BAHÍA THETIS
2024-02-09 13:12:00-03:00,0.3,BAHÍA THETIS
2024-02-09 19:34:00-03:00,3.63,BAHÍA THETIS
2024-02-10 01:27:00-03:00,0.97,BAHÍA THETIS
2024-02-10 07:30:00-03:00,3.94,BAHÍA THETIS
2024-02-10 13:57:00-03:00,0.19,BAHÍA THETIS
2024-02-10 20:17:00-03:00,3.78,BAHÍA THETIS
2024-02-11 02:13:00-03:00,0.77,BAHÍA THETIS
2024-02-11 08:18:00-03:00,4.05,BAHÍA THETIS
2024-02-11 14:41:00-03:00,0.15,BAHÍA THETIS
2024-02-11 20:58:00-03:00,3.88,BAHÍA THETIS
2024-02-12 02:57:00-03:00,0.62,BAHÍA THETIS
2024-02-12 09:04:00-03:00,4.09,BAHÍA THETIS
2024-02-12 15:24:00-03:00,0.2,BAHÍA THETIS
2024-02-12 21:38:00-03:00,3.91,BAHÍA THETIS
2024-02-13 03:41:00-03:00,0.54,BAHÍA THETIS
2024-02-13 09:50:00-03:00,4.05,BAHÍA THETIS
2024-02-13 16:07:00-03:00,0.32,BAHÍA THETIS
2024-02-13 22:19:00-03:00,3.88,BAHÍA THETIS
2024-02-14 04:27:00-03:00,0.52,BAHÍA THETIS
2024-02-14 10:38:00-03:00,3.92,BAHÍA THETIS
2024-02-14 16:51:00-03:00,0.53,BAHÍA THETIS
2024-02-14 23:02:00-03:00,3.78,BAHÍA THETIS
2024-02-15 05:14:00-03:00,0.57,BAHÍA THETIS
2024-02-15 11:28:00-03:00,3.73,BAHÍA THETIS
2024-02-15 17:38:00-03:00,0.79,BAHÍA THETIS
2024-02-15 23:47:00-03:00,3.64,BAHÍA THETIS
2024-02-16 06:06:00-03:00,0.67,BAHÍA THETIS
2024-02-16 12:24:00-03:00,3.5,BAHÍA THETIS
2024-02-16 18:29:00-03:00,1.07,BAHÍA THETIS
2024-02-17 00:37:00-03:00,3.48,BAHÍA THETIS
2024-02-17 07:04:00-03:00,0.79,BAHÍA THETIS
2024-02-17 13:28:00-03:00,3.28,BAHÍA THETIS
2024-02-17 19:28:00-03:00,1.34,BAHÍA THETIS
2024-02-18 01:34:00-03:00,3.32,BAHÍA THETIS
2024-02-18 08:11:00-03:00,0.89,BAHÍA THETIS
2024-02-18 14:43:00-03:00,3.12,BAHÍA THETIS
2024-02-18 20:38:00-03:00,1.55,BAHÍA THETIS
2024-02-19 02:41:00-03:00,3.2,BAHÍA THETIS
2024-02-19 09:25:00-03:00,0.92,BAHÍA THETIS
2024-02-19 16:04:00-03:00,3.08,BAHÍA THETIS
2024-02-19 21:55:00-03:00,1.63,BAHÍA THETIS
2024-02-20 03:53:00-03:00,3.18,BAHÍA THETIS
2024-02-20 10:37:00-03:00,0.86,BAHÍA THETIS
2024-02-20 17:16:00-03:00,3.15,BAHÍA THETIS
2024-02-20 23:06:00-03:00,1.6,BAHÍA THETIS
2024-02-21 05:00:00-03:00,3.24,BAHÍA THETIS
2024-02-21 11:39:00-03:00,0.75,BAHÍA THETIS
2024-02-21 18:15:00-03:00,3.25,BAHÍA THETIS
2024-02-22 00:04:00-03:00,1.5,BAHÍA THETIS
2024-02-22 05:57:00-03:00,3.35,BAHÍA THETIS
2024-02-22 12:31:00-03:00,0.65,BAHÍA THETIS
2024-02-22 19:01:00-03:00,3.35,BAHÍA THETIS
2024-02-23 00:51:00-03:00,1.37,BAHÍA THETIS
2024-02-23 06:46:00-03:00,3.47,BAHÍA THETIS
2024-02-23 13:15:00-03:00,0.58,BAHÍA THETIS
2024-02-23 19:39:00-03:00,3.42,BAHÍA THETIS
2024-02-24 01:30:00-03:00,1.23,BAHÍA THETIS
2024-02-24 07:28:00-03:00,3.57,BAHÍA THETIS
2024-02-24 13:54:00-03:00,0.56,BAHÍA THETIS
2024-02-24 20:12:00-03:00,3.46,BAHÍA THETIS
2024-02-25 02:05:00-03:00,1.11,BAHÍA THETIS
2024-02-25 08:06:00-03:00,3.64,BAHÍA THETIS
2024-02-25 14:28:00-03:00,0.59,BAHÍA THETIS
2024-02-25 20:42:00-03:00,3.48,BAHÍA THETIS
2024-02-26 02:37:00-03:00,1.0,BAHÍA THETIS
2024-02-26 08:41:00-03:00,3.66,BAHÍA THETIS
2024-02-26 14:59:00-03:00,0.67,BAHÍA THETIS
2024-02-26 21:09:00-03:00,3.48,BAHÍA THETIS
2024-02-27 03:08:00-03:00,0.91,BAHÍA THETIS
2024-02-27 09:16:00-03:00,3.65,BAHÍA THETIS
2024-02-27 15:29:00-03:00,0.77,BAHÍA THETIS
2024-02-27 21:36:00-03:00,3.48,BAHÍA THETIS
2024-02-28 03:40:00-03:00,0.84,BAHÍA THETIS
2024-02-28 09:51:00-03:00,3.58,BAHÍA THETIS
2024-02-28 15:59:00-03:00,0.9,BAHÍA THETIS
2024-02-28 22:04:00-03:00,3.47,BAHÍA THETIS
2024-02-29 04:14:00-03:00,0.81,BAHÍA THETIS
2024-02-29 10:27:00-03:00,3.48,BAHÍA THETIS
2024-02-29 16:31:00-03:00,1.05,BAHÍA THETIS
2024-02-29 22:35:00-03:00,3.44,BAHÍA THETIS
