datetime,height,port
2024-07-01 02:58:00-03:00,3.38,BAHÍA THETIS
2024-07-01 09:04:00-03:00,1.09,BAHÍA THETIS
2024-07-01 15:16:00-03:00,3.5,BAHÍA THETIS
2024-07-01 21:44:00-03:00,0.74,BAHÍA THETIS
2024-07-02 04:07:00-03:00,3.39,BAHÍA THETIS
2024-07-02 10:08:00-03:00,1.18,BAHÍA THETIS
2024-07-02 16:14:00-03:00,3.53,BAHÍA THETIS
2024-07-02 22:46:00-03:00,0.6,BAHÍA THETIS
2024-07-03 05:13:00-03:00,3.44,BAHÍA THETIS
2024-07-03 11:09:00-03:00,1.22,BAHÍA THETIS
2024-07-03 17:11:00-03:00,3.58,BAHÍA THETIS
2024-07-03 23:44:00-03:00,0.47,BAHÍA THETIS
2024-07-04 06:13:00-03:00,3.51,BAHÍA THETIS
2024-07-04 12:06:00-03:00,1.23,BAHÍA THETIS
2024-07-04 18:04:00-03:00,3.64,BAHÍA THETIS
2024-07-05 00:37:00-03:00,0.35,BAHÍA THETIS
2024-07-05 07:07:00-03:00,3.58,BAHÍA THETIS
2024-07-05 12:58:00-03:00,1.23,BAHÍA THETIS
2024-07-05 18:53:00-03:00,3.68,BAHÍA THETIS
2024-07-06 01:26:00-03:00,0.28,BAHÍA THETIS
2024-07-06 07:56:00-03:00,3.61,BAHÍA THETIS
2024-07-06 13:46:00-03:00,1.22,BAHÍA THETIS
2024-07-06 19:40:00-03:00,3.7,BAHÍA THETIS
2024-07-07 02:12:00-03:00,0.27,BAHÍA THETIS
2024-07-07 08:41:00-03:00,3.61,BAHÍA THETIS
2024-07-07 14:31:00-03:00,1.22,BAHÍA THETIS
2024-07-07 20:24:00-03:00,3.68,BAHÍA THETIS
2024-07-08 02:56:00-03:00,0.32,BAHÍA THETIS
2024-07-08 09:23:00-03:00,3.56,BAHÍA THETIS
2024-07-08 15:13:00-03:00,1.24,BAHÍA THETIS
2024-07-08 21:07:00-03:00,3.63,BAHÍA THETIS
2024-07-09 03:37:00-03:00,0.42,BAHÍA THETIS
2024-07-09 10:03:00-03:00,3.49,BAHÍA THETIS
2024-07-09 15:53:00-03:00,1.25,BAHÍA THETIS
2024-07-09 21:49:00-03:00,3.55,BAHÍA THETIS
2024-07-10 04:17:00-03:00,0.58,BAHÍA THETIS
2024-07-10 10:41:00-03:00,3.39,BAHÍA THETIS
2024-07-10 16:33:00-03:00,1.27,BAHÍA THETIS
2024-07-10 22:31:00-03:00,3.44,BAHÍA THETIS
2024-07-11 04:56:00-03:00,0.76,BAHÍA THETIS
2024-07-11 11:17:00-03:00,3.29,BAHÍA THETIS
