datetime,height,port
2024-01-01 02:35:00-03:00,0.82,BAHÍA USHUAIA
2024-01-01 08:54:00-03:00,1.72,BAHÍA USHUAIA
2024-01-01 15:42:00-03:00,0.39,BAHÍA USHUAIA
2024-01-01 22:03:00-03:00,1.42,BAHÍA USHUAIA
2024-01-02 03:25:00-03:00,0.82,BAHÍA USHUAIA
2024-01-02 09:41:00-03:00,1.62,BAHÍA USHUAIA
2024-01-02 16:21:00-03:00,0.44,BAHÍA USHUAIA
2024-01-02 22:45:00-03:00,1.45,BAHÍA USHUAIA
2024-01-03 04:18:00-03:00,0.82,BAHÍA USHUAIA
2024-01-03 10:29:00-03:00,1.54,BAHÍA USHUAIA
2024-01-03 16:58:00-03:00,0.5,BAHÍA USHUAIA
2024-01-03 23:27:00-03:00,1.49,BAHÍA USHUAIA
2024-01-04 05:17:00-03:00,0.81,BAHÍA USHUAIA
2024-01-04 11:20:00-03:00,1.47,BAHÍA USHUAIA
2024-01-04 17:35:00-03:00,0.56,BAHÍA USHUAIA
2024-01-05 00:10:00-03:00,1.56,BAHÍA USHUAIA
2024-01-05 06:19:00-03:00,0.78,BAHÍA USHUAIA
2024-01-05 12:14:00-03:00,1.42,BAHÍA USHUAIA
2024-01-05 18:10:00-03:00,0.62,BAHÍA USHUAIA
2024-01-06 00:53:00-03:00,1.63,BAHÍA USHUAIA
2024-01-06 07:20:00-03:00,0.71,BAHÍA USHUAIA
2024-01-06 13:10:00-03:00,1.38,BAHÍA USHUAIA
2024-01-06 18:46:00-03:00,0.68,BAHÍA USHUAIA
2024-01-07 01:35:00-03:00,1.72,BAHÍA USHUAIA
2024-01-07 08:14:00-03:00,0.63,BAHÍA USHUAIA
2024-01-07 14:07:00-03:00,1.35,BAHÍA USHUAIA
2024-01-07 19:23:00-03:00,0.73,BAHÍA USHUAIA
2024-01-08 02:17:00-03:00,1.82,BAHÍA USHUAIA
2024-01-08 09:04:00-03:00,0.52,BAHÍA USHUAIA
2024-01-08 15:04:00-03:00,1.34,BAHÍA USHUAIA
2024-01-08 20:04:00-03:00,0.75,BAHÍA USHUAIA
2024-01-09 03:01:00-03:00,1.92,BAHÍA USHUAIA
2024-01-09 09:50:00-03:00,0.4,BAHÍA USHUAIA
2024-01-09 15:59:00-03:00,1.35,BAHÍA USHUAIA
2024-01-09 20:49:00-03:00,0.75,BAHÍA USHUAIA
2024-01-10 03:46:00-03:00,2.02,BAHÍA USHUAIA
2024-01-10 10:37:00-03:00,0.29,BAHÍA USHUAIA
2024-01-10 16:53:00-03:00,1.36,BAHÍA USHUAIA
2024-01-10 21:39:00-03:00,0.73,BAHÍA USHUAIA
2024-01-11 04:34:00-03:00,2.09,BAHÍA USHUAIA
2024-01-11 11:24:00-03:00,0.19,BAHÍA USHUAIA
2024-01-11 17:45:00-03:00,1.39,BAHÍA USHUAIA
2024-01-11 22:34:00-03:00,0.68,BAHÍA USHUAIA
2024-01-12 05:24:00-03:00,2.15,BAHÍA USHUAIA
2024-01-12 12:13:00-03:00,0.11,BAHÍA USHUAIA
2024-01-12 18:36:00-03:00,1.42,BAHÍA USHUAIA
2024-01-12 23:32:00-03:00,0.63,BAHÍA USHUAIA
