datetime,height,port
2024-11-01 05:05:00-03:00,1.67,BAHÍA USHUAIA
2024-11-01 11:18:00-03:00,0.51,BAHÍA USHUAIA
2024-11-01 17:31:00-03:00,1.43,BAHÍA USHUAIA
2024-11-01 22:59:00-03:00,0.72,BAHÍA USHUAIA
2024-11-02 05:39:00-03:00,1.73,BAHÍA USHUAIA
2024-11-02 11:58:00-03:00,0.49,BAHÍA USHUAIA
2024-11-02 18:17:00-03:00,1.39,BAHÍA USHUAIA
2024-11-02 23:30:00-03:00,0.78,BAHÍA USHUAIA
2024-11-03 06:14:00-03:00,1.77,BAHÍA USHUAIA
2024-11-03 12:40:00-03:00,0.47,BAHÍA USHUAIA
2024-11-03 19:06:00-03:00,1.35,BAHÍA USHUAIA
2024-11-04 00:03:00-03:00,0.84,BAHÍA USHUAIA
2024-11-04 06:50:00-03:00,1.79,BAHÍA USHUAIA
2024-11-04 13:26:00-03:00,0.45,BAHÍA USHUAIA
2024-11-04 19:58:00-03:00,1.32,BAHÍA USHUAIA
2024-11-05 00:40:00-03:00,0.88,BAHÍA USHUAIA
2024-11-05 07:27:00-03:00,1.79,BAHÍA USHUAIA
2024-11-05 14:17:00-03:00,0.43,BAHÍA USHUAIA
2024-11-05 20:52:00-03:00,1.29,BAHÍA USHUAIA
2024-11-06 01:21:00-03:00,0.9,BAHÍA USHUAIA
2024-11-06 08:10:00-03:00,1.78,BAHÍA USHUAIA
2024-11-06 15:13:00-03:00,0.4,BAHÍA USHUAIA
2024-11-06 21:44:00-03:00,1.27,BAHÍA USHUAIA
2024-11-07 02:11:00-03:00,0.9,BAHÍA USHUAIA
2024-11-07 08:58:00-03:00,1.76,BAHÍA USHUAIA
2024-11-07 16:08:00-03:00,0.36,BAHÍA USHUAIA
2024-11-07 22:32:00-03:00,1.27,BAHÍA USHUAIA
2024-11-08 03:08:00-03:00,0.87,BAHÍA USHUAIA
2024-11-08 09:52:00-03:00,1.74,BAHÍA USHUAIA
2024-11-08 16:59:00-03:00,0.33,BAHÍA USHUAIA
2024-11-08 23:18:00-03:00,1.28,BAHÍA USHUAIA
2024-11-09 04:10:00-03:00,0.82,BAHÍA USHUAIA
2024-11-09 10:48:00-03:00,1.73,BAHÍA USHUAIA
2024-11-09 17:46:00-03:00,0.31,BAHÍA USHUAIA
2024-11-10 00:01:00-03:00,1.32,BAHÍA USHUAIA
2024-11-10 05:12:00-03:00,0.74,BAHÍA USHUAIA
2024-11-10 11:46:00-03:00,1.73,BAHÍA USHUAIA
2024-11-10 18:31:00-03:00,0.31,BAHÍA USHUAIA
2024-11-11 00:46:00-03:00,1.4,BAHÍA USHUAIA
2024-11-11 06:14:00-03:00,0.65,BAHÍA USHUAIA
2024-11-11 12:44:00-03:00,1.73,BAHÍA USHUAIA
2024-11-11 19:15:00-03:00,0.31,BAHÍA USHUAIA
2024-11-12 01:32:00-03:00,1.51,BAHÍA USHUAIA
2024-11-12 07:19:00-03:00,0.54,BAHÍA USHUAIA
2024-11-12 13:45:00-03:00,1.73,BAHÍA USHUAIA
2024-11-12 19:59:00-03:00,0.34,BAHÍA USHUAIA
2024-11-13 02:21:00-03:00,1.66,BAHÍA USHUAIA
2024-11-13 08:25:00-03:00,0.42,BAHÍA USHUAIA
2024-11-13 14:46:00-03:00,1.72,BAHÍA USHUAIA
2024-11-13 20:43:00-03:00,0.38,BAHÍA USHUAIA
2024-11-14 03:10:00-03:00,1.83,BAHÍA USHUAIA
2024-11-14 09:27:00-03:00,0.31,BAHÍA USHUAIA
2024-11-14 15:46:00-03:00,1.71,BAHÍA USHUAIA
2024-11-14 21:30:00-03:00,0.44,BAHÍA USHUAIA
2024-11-15 04:00:00-03:00,1.98,BAHÍA USHUAIA
2024-11-15 10:25:00-03:00,0.21,BAHÍA USHUAIA
2024-11-15 16:44:00-03:00,1.68,BAHÍA USHUAIA
2024-11-15 22:17:00-03:00,0.52,BAHÍA USHUAIA
2024-11-16 04:50:00-03:00,2.11,BAHÍA USHUAIA
2024-11-16 11:22:00-03:00,0.14,BAHÍA USHUAIA
2024-11-16 17:43:00-03:00,1.63,BAHÍA USHUAIA
2024-11-16 23:07:00-03:00,0.6,BAHÍA USHUAIA
2024-11-17 05:40:00-03:00,2.19,BAHÍA USHUAIA
2024-11-17 12:19:00-03:00,0.11,BAHÍA USHUAIA
2024-11-17 18:44:00-03:00,1.59,BAHÍA USHUAIA
2024-11-17 23:59:00-03:00,0.67,BAHÍA USHUAIA
2024-11-18 06:31:00-03:00,2.21,BAHÍA USHUAIA
2024-11-18 13:19:00-03:00,0.11,BAHÍA USHUAIA
2024-11-18 19:46:00-03:00,1.54,BAHÍA USHUAIA
2024-11-19 00:54:00-03:00,0.74,BAHÍA USHUAIA
2024-11-19 07:23:00-03:00,2.16,BAHÍA USHUAIA
2024-11-19 14:21:00-03:00,0.13,BAHÍA USHUAIA
2024-11-19 20:47:00-03:00,1.51,BAHÍA USHUAIA
2024-11-20 01:53:00-03:00,0.79,BAHÍA USHUAIA
2024-11-20 08:18:00-03:00,2.07,BAHÍA USHUAIA
2024-11-20 15:22:00-03:00,0.17,BAHÍA USHUAIA
2024-11-20 21:44:00-03:00,1.48,BAHÍA USHUAIA
2024-11-21 02:55:00-03:00,0.82,BAHÍA USHUAIA
2024-11-21 09:13:00-03:00,1.95,BAHÍA USHUAIA
2024-11-21 16:20:00-03:00,0.22,BAHÍA USHUAIA
2024-11-21 22:38:00-03:00,1.46,BAHÍA USHUAIA
2024-11-22 03:58:00-03:00,0.82,BAHÍA USHUAIA
2024-11-22 10:09:00-03:00,1.82,BAHÍA USHUAIA
2024-11-22 17:14:00-03:00,0.29,BAHÍA USHUAIA
2024-11-22 23:28:00-03:00,1.45,BAHÍA USHUAIA
2024-11-23 04:59:00-03:00,0.8,BAHÍA USHUAIA
2024-11-23 11:05:00-03:00,1.7,BAHÍA USHUAIA
2024-11-23 18:02:00-03:00,0.35,BAHÍA USHUAIA
2024-11-24 00:16:00-03:00,1.46,BAHÍA USHUAIA
2024-11-24 06:01:00-03:00,0.78,BAHÍA USHUAIA
2024-11-24 12:01:00-03:00,1.6,BAHÍA USHUAIA
2024-11-24 18:45:00-03:00,0.42,BAHÍA USHUAIA
2024-11-25 01:03:00-03:00,1.49,BAHÍA USHUAIA
2024-11-25 07:03:00-03:00,0.74,BAHÍA USHUAIA
2024-11-25 12:57:00-03:00,1.52,BAHÍA USHUAIA
2024-11-25 19:23:00-03:00,0.5,BAHÍA USHUAIA
2024-11-26 01:48:00-03:00,1.54,BAHÍA USHUAIA
2024-11-26 08:01:00-03:00,0.69,BAHÍA USHUAIA
2024-11-26 13:52:00-03:00,1.46,BAHÍA USHUAIA
2024-11-26 19:58:00-03:00,0.57,BAHÍA USHUAIA
2024-11-27 02:30:00-03:00,1.6,BAHÍA USHUAIA
2024-11-27 08:52:00-03:00,0.64,BAHÍA USHUAIA
2024-11-27 14:44:00-03:00,1.42,BAHÍA USHUAIA
2024-11-27 20:31:00-03:00,0.64,BAHÍA USHUAIA
2024-11-28 03:10:00-03:00,1.68,BAHÍA USHUAIA
2024-11-28 09:37:00-03:00,0.59,BAHÍA USHUAIA
2024-11-28 15:34:00-03:00,1.4,BAHÍA USHUAIA
2024-11-28 21:02:00-03:00,0.7,BAHÍA USHUAIA
2024-11-29 03:48:00-03:00,1.75,BAHÍA USHUAIA
2024-11-29 10:18:00-03:00,0.54,BAHÍA USHUAIA
2024-11-29 16:22:00-03:00,1.38,BAHÍA USHUAIA
2024-11-29 21:35:00-03:00,0.76,BAHÍA USHUAIA
2024-11-30 04:25:00-03:00,1.81,BAHÍA USHUAIA
2024-11-30 10:59:00-03:00,0.49,BAHÍA USHUAIA
2024-11-30 17:10:00-03:00,1.36,BAHÍA USHUAIA
2024-11-30 22:09:00-03:00,0.82,BAHÍA USHUAIA
