datetime,height,port
2024-12-01 05:02:00-03:00,1.86,BAHÍA USHUAIA
2024-12-01 11:40:00-03:00,0.43,BAHÍA USHUAIA
2024-12-01 18:00:00-03:00,1.34,BAHÍA USHUAIA
2024-12-01 22:46:00-03:00,0.85,BAHÍA USHUAIA
2024-12-02 05:39:00-03:00,1.9,BAHÍA USHUAIA
2024-12-02 12:23:00-03:00,0.38,BAHÍA USHUAIA
2024-12-02 18:50:00-03:00,1.33,BAHÍA USHUAIA
2024-12-02 23:26:00-03:00,0.87,BAHÍA USHUAIA
2024-12-03 06:18:00-03:00,1.91,BAHÍA USHUAIA
2024-12-03 13:08:00-03:00,0.34,BAHÍA USHUAIA
2024-12-03 19:40:00-03:00,1.32,BAHÍA USHUAIA
2024-12-04 00:11:00-03:00,0.87,BAHÍA USHUAIA
2024-12-04 07:00:00-03:00,1.91,BAHÍA USHUAIA
2024-12-04 13:57:00-03:00,0.3,BAHÍA USHUAIA
2024-12-04 20:28:00-03:00,1.31,BAHÍA USHUAIA
2024-12-05 01:00:00-03:00,0.85,BAHÍA USHUAIA
2024-12-05 07:46:00-03:00,1.89,BAHÍA USHUAIA
2024-12-05 14:47:00-03:00,0.27,BAHÍA USHUAIA
2024-12-05 21:15:00-03:00,1.32,BAHÍA USHUAIA
2024-12-06 01:54:00-03:00,0.82,BAHÍA USHUAIA
2024-12-06 08:37:00-03:00,1.86,BAHÍA USHUAIA
2024-12-06 15:36:00-03:00,0.26,BAHÍA USHUAIA
2024-12-06 21:59:00-03:00,1.35,BAHÍA USHUAIA
2024-12-07 02:53:00-03:00,0.78,BAHÍA USHUAIA
2024-12-07 09:31:00-03:00,1.82,BAHÍA USHUAIA
2024-12-07 16:24:00-03:00,0.27,BAHÍA USHUAIA
2024-12-07 22:43:00-03:00,1.39,BAHÍA USHUAIA
2024-12-08 03:55:00-03:00,0.73,BAHÍA USHUAIA
2024-12-08 10:27:00-03:00,1.78,BAHÍA USHUAIA
2024-12-08 17:10:00-03:00,0.29,BAHÍA USHUAIA
2024-12-08 23:28:00-03:00,1.47,BAHÍA USHUAIA
2024-12-09 04:59:00-03:00,0.68,BAHÍA USHUAIA
2024-12-09 11:25:00-03:00,1.73,BAHÍA USHUAIA
2024-12-09 17:54:00-03:00,0.34,BAHÍA USHUAIA
2024-12-10 00:14:00-03:00,1.58,BAHÍA USHUAIA
2024-12-10 06:06:00-03:00,0.6,BAHÍA USHUAIA
2024-12-10 12:25:00-03:00,1.68,BAHÍA USHUAIA
2024-12-10 18:38:00-03:00,0.39,BAHÍA USHUAIA
2024-12-11 01:02:00-03:00,1.72,BAHÍA USHUAIA
2024-12-11 07:15:00-03:00,0.51,BAHÍA USHUAIA
2024-12-11 13:28:00-03:00,1.64,BAHÍA USHUAIA
2024-12-11 19:22:00-03:00,0.46,BAHÍA USHUAIA
2024-12-12 01:52:00-03:00,1.87,BAHÍA USHUAIA
2024-12-12 08:22:00-03:00,0.4,BAHÍA USHUAIA
2024-12-12 14:32:00-03:00,1.6,BAHÍA USHUAIA
2024-12-12 20:08:00-03:00,0.53,BAHÍA USHUAIA
2024-12-13 02:44:00-03:00,2.02,BAHÍA USHUAIA
2024-12-13 09:23:00-03:00,0.29,BAHÍA USHUAIA
2024-12-13 15:35:00-03:00,1.57,BAHÍA USHUAIA
2024-12-13 20:57:00-03:00,0.6,BAHÍA USHUAIA
2024-12-14 03:36:00-03:00,2.14,BAHÍA USHUAIA
2024-12-14 10:21:00-03:00,0.2,BAHÍA USHUAIA
2024-12-14 16:36:00-03:00,1.54,BAHÍA USHUAIA
2024-12-14 21:48:00-03:00,0.65,BAHÍA USHUAIA
2024-12-15 04:28:00-03:00,2.22,BAHÍA USHUAIA
2024-12-15 11:17:00-03:00,0.13,BAHÍA USHUAIA
2024-12-15 17:36:00-03:00,1.52,BAHÍA USHUAIA
2024-12-15 22:42:00-03:00,0.7,BAHÍA USHUAIA
2024-12-16 05:20:00-03:00,2.25,BAHÍA USHUAIA
2024-12-16 12:12:00-03:00,0.1,BAHÍA USHUAIA
2024-12-16 18:34:00-03:00,1.51,BAHÍA USHUAIA
2024-12-16 23:38:00-03:00,0.73,BAHÍA USHUAIA
2024-12-17 06:12:00-03:00,2.22,BAHÍA USHUAIA
2024-12-17 13:07:00-03:00,0.11,BAHÍA USHUAIA
2024-12-17 19:30:00-03:00,1.49,BAHÍA USHUAIA
2024-12-18 00:35:00-03:00,0.75,BAHÍA USHUAIA
2024-12-18 07:04:00-03:00,2.14,BAHÍA USHUAIA
2024-12-18 14:01:00-03:00,0.14,BAHÍA USHUAIA
2024-12-18 20:23:00-03:00,1.48,BAHÍA USHUAIA
2024-12-19 01:33:00-03:00,0.76,BAHÍA USHUAIA
2024-12-19 07:56:00-03:00,2.03,BAHÍA USHUAIA
2024-12-19 14:53:00-03:00,0.2,BAHÍA USHUAIA
2024-12-19 21:12:00-03:00,1.48,BAHÍA USHUAIA
2024-12-20 02:30:00-03:00,0.76,BAHÍA USHUAIA
2024-12-20 08:47:00-03:00,1.89,BAHÍA USHUAIA
2024-12-20 15:43:00-03:00,0.27,BAHÍA USHUAIA
2024-12-20 21:59:00-03:00,1.48,BAHÍA USHUAIA
2024-12-21 03:26:00-03:00,0.77,BAHÍA USHUAIA
2024-12-21 09:39:00-03:00,1.75,BAHÍA USHUAIA
2024-12-21 16:29:00-03:00,0.35,BAHÍA USHUAIA
2024-12-21 22:45:00-03:00,1.49,BAHÍA USHUAIA
2024-12-22 04:24:00-03:00,0.77,BAHÍA USHUAIA
2024-12-22 10:31:00-03:00,1.63,BAHÍA USHUAIA
