datetime,height,port
2024-05-01 05:24:00-03:00,0.39,BAHÍA USHUAIA
2024-05-01 11:44:00-03:00,1.41,BAHÍA USHUAIA
2024-05-01 16:39:00-03:00,0.92,BAHÍA USHUAIA
2024-05-01 23:14:00-03:00,1.87,BAHÍA USHUAIA
2024-05-02 06:13:00-03:00,0.36,BAHÍA USHUAIA
2024-05-02 12:30:00-03:00,1.45,BAHÍA USHUAIA
2024-05-02 17:43:00-03:00,0.83,BAHÍA USHUAIA
2024-05-03 00:14:00-03:00,1.86,BAHÍA USHUAIA
2024-05-03 07:00:00-03:00,0.35,BAHÍA USHUAIA
2024-05-03 13:18:00-03:00,1.53,BAHÍA USHUAIA
2024-05-03 18:48:00-03:00,0.73,BAHÍA USHUAIA
2024-05-04 01:15:00-03:00,1.86,BAHÍA USHUAIA
2024-05-04 07:46:00-03:00,0.36,BAHÍA USHUAIA
2024-05-04 14:06:00-03:00,1.65,BAHÍA USHUAIA
2024-05-04 19:55:00-03:00,0.61,BAHÍA USHUAIA
2024-05-05 02:18:00-03:00,1.86,BAHÍA USHUAIA
2024-05-05 08:32:00-03:00,0.39,BAHÍA USHUAIA
2024-05-05 14:55:00-03:00,1.79,BAHÍA USHUAIA
2024-05-05 20:59:00-03:00,0.49,BAHÍA USHUAIA
2024-05-06 03:19:00-03:00,1.85,BAHÍA USHUAIA
2024-05-06 09:18:00-03:00,0.45,BAHÍA USHUAIA
2024-05-06 15:44:00-03:00,1.94,BAHÍA USHUAIA
2024-05-06 21:59:00-03:00,0.38,BAHÍA USHUAIA
2024-05-07 04:17:00-03:00,1.82,BAHÍA USHUAIA
2024-05-07 10:03:00-03:00,0.52,BAHÍA USHUAIA
2024-05-07 16:32:00-03:00,2.08,BAHÍA USHUAIA
2024-05-07 22:56:00-03:00,0.29,BAHÍA USHUAIA
2024-05-08 05:15:00-03:00,1.78,BAHÍA USHUAIA
2024-05-08 10:50:00-03:00,0.61,BAHÍA USHUAIA
2024-05-08 17:20:00-03:00,2.19,BAHÍA USHUAIA
2024-05-08 23:51:00-03:00,0.25,BAHÍA USHUAIA
2024-05-09 06:13:00-03:00,1.72,BAHÍA USHUAIA
2024-05-09 11:38:00-03:00,0.72,BAHÍA USHUAIA
2024-05-09 18:08:00-03:00,2.25,BAHÍA USHUAIA
2024-05-10 00:48:00-03:00,0.24,BAHÍA USHUAIA
2024-05-10 07:14:00-03:00,1.66,BAHÍA USHUAIA
2024-05-10 12:28:00-03:00,0.82,BAHÍA USHUAIA
2024-05-10 18:57:00-03:00,2.24,BAHÍA USHUAIA
2024-05-11 01:49:00-03:00,0.26,BAHÍA USHUAIA
2024-05-11 08:16:00-03:00,1.6,BAHÍA USHUAIA
2024-05-11 13:21:00-03:00,0.91,BAHÍA USHUAIA
2024-05-11 19:48:00-03:00,2.18,BAHÍA USHUAIA
2024-05-12 02:52:00-03:00,0.29,BAHÍA USHUAIA
2024-05-12 09:18:00-03:00,1.56,BAHÍA USHUAIA
2024-05-12 14:19:00-03:00,0.97,BAHÍA USHUAIA
2024-05-12 20:41:00-03:00,2.08,BAHÍA USHUAIA
2024-05-13 03:53:00-03:00,0.33,BAHÍA USHUAIA
2024-05-13 10:16:00-03:00,1.53,BAHÍA USHUAIA
2024-05-13 15:21:00-03:00,1.0,BAHÍA USHUAIA
2024-05-13 21:36:00-03:00,1.96,BAHÍA USHUAIA
2024-05-14 04:49:00-03:00,0.37,BAHÍA USHUAIA
2024-05-14 11:09:00-03:00,1.52,BAHÍA USHUAIA
2024-05-14 16:23:00-03:00,0.99,BAHÍA USHUAIA
2024-05-14 22:31:00-03:00,1.84,BAHÍA USHUAIA
2024-05-15 05:40:00-03:00,0.41,BAHÍA USHUAIA
2024-05-15 11:58:00-03:00,1.51,BAHÍA USHUAIA
2024-05-15 17:24:00-03:00,0.96,BAHÍA USHUAIA
