datetime,height,port
2024-06-01 06:27:00-03:00,0.37,BAHÍA USHUAIA
2024-06-01 12:47:00-03:00,1.68,BAHÍA USHUAIA
2024-06-01 18:42:00-03:00,0.66,BAHÍA USHUAIA
2024-06-02 00:58:00-03:00,1.78,BAHÍA USHUAIA
2024-06-02 07:12:00-03:00,0.44,BAHÍA USHUAIA
2024-06-02 13:37:00-03:00,1.82,BAHÍA USHUAIA
2024-06-02 19:51:00-03:00,0.56,BAHÍA USHUAIA
2024-06-03 02:02:00-03:00,1.74,BAHÍA USHUAIA
2024-06-03 07:57:00-03:00,0.51,BAHÍA USHUAIA
2024-06-03 14:28:00-03:00,1.96,BAHÍA USHUAIA
2024-06-03 20:56:00-03:00,0.45,BAHÍA USHUAIA
2024-06-04 03:05:00-03:00,1.69,BAHÍA USHUAIA
2024-06-04 08:43:00-03:00,0.59,BAHÍA USHUAIA
2024-06-04 15:18:00-03:00,2.1,BAHÍA USHUAIA
2024-06-04 21:55:00-03:00,0.35,BAHÍA USHUAIA
2024-06-05 04:06:00-03:00,1.65,BAHÍA USHUAIA
2024-06-05 09:30:00-03:00,0.67,BAHÍA USHUAIA
2024-06-05 16:08:00-03:00,2.21,BAHÍA USHUAIA
2024-06-05 22:50:00-03:00,0.28,BAHÍA USHUAIA
2024-06-06 05:06:00-03:00,1.61,BAHÍA USHUAIA
2024-06-06 10:19:00-03:00,0.75,BAHÍA USHUAIA
2024-06-06 16:57:00-03:00,2.27,BAHÍA USHUAIA
2024-06-06 23:45:00-03:00,0.24,BAHÍA USHUAIA
2024-06-07 06:05:00-03:00,1.58,BAHÍA USHUAIA
2024-06-07 11:10:00-03:00,0.82,BAHÍA USHUAIA
2024-06-07 17:46:00-03:00,2.28,BAHÍA USHUAIA
2024-06-08 00:40:00-03:00,0.22,BAHÍA USHUAIA
2024-06-08 07:03:00-03:00,1.55,BAHÍA USHUAIA
2024-06-08 12:02:00-03:00,0.87,BAHÍA USHUAIA
2024-06-08 18:35:00-03:00,2.23,BAHÍA USHUAIA
2024-06-09 01:35:00-03:00,0.24,BAHÍA USHUAIA
2024-06-09 07:59:00-03:00,1.52,BAHÍA USHUAIA
2024-06-09 12:58:00-03:00,0.9,BAHÍA USHUAIA
2024-06-09 19:25:00-03:00,2.14,BAHÍA USHUAIA
2024-06-10 02:28:00-03:00,0.28,BAHÍA USHUAIA
2024-06-10 08:51:00-03:00,1.51,BAHÍA USHUAIA
2024-06-10 13:54:00-03:00,0.92,BAHÍA USHUAIA
2024-06-10 20:16:00-03:00,2.02,BAHÍA USHUAIA
2024-06-11 03:20:00-03:00,0.32,BAHÍA USHUAIA
2024-06-11 09:40:00-03:00,1.5,BAHÍA USHUAIA
2024-06-11 14:50:00-03:00,0.92,BAHÍA USHUAIA
2024-06-11 21:06:00-03:00,1.89,BAHÍA USHUAIA
2024-06-12 04:07:00-03:00,0.38,BAHÍA USHUAIA
2024-06-12 10:26:00-03:00,1.5,BAHÍA USHUAIA
2024-06-12 15:46:00-03:00,0.92,BAHÍA USHUAIA
2024-06-12 21:56:00-03:00,1.76,BAHÍA USHUAIA
2024-06-13 04:51:00-03:00,0.44,BAHÍA USHUAIA
2024-06-13 11:10:00-03:00,1.51,BAHÍA USHUAIA
2024-06-13 16:43:00-03:00,0.9,BAHÍA USHUAIA
2024-06-13 22:47:00-03:00,1.66,BAHÍA USHUAIA
2024-06-14 05:32:00-03:00,0.5,BAHÍA USHUAIA
2024-06-14 11:54:00-03:00,1.54,BAHÍA USHUAIA
2024-06-14 17:43:00-03:00,0.88,BAHÍA USHUAIA
2024-06-14 23:39:00-03:00,1.57,BAHÍA USHUAIA
2024-06-15 06:09:00-03:00,0.56,BAHÍA USHUAIA
2024-06-15 12:38:00-03:00,1.59,BAHÍA USHUAIA
2024-06-15 18:45:00-03:00,0.85,BAHÍA USHUAIA
2024-06-16 00:33:00-03:00,1.5,BAHÍA USHUAIA
2024-06-16 06:44:00-03:00,0.62,BAHÍA USHUAIA
2024-06-16 13:22:00-03:00,1.66,BAHÍA USHUAIA
2024-06-16 19:44:00-03:00,0.8,BAHÍA USHUAIA
2024-06-17 01:28:00-03:00,1.46,BAHÍA USHUAIA
2024-06-17 07:18:00-03:00,0.68,BAHÍA USHUAIA
2024-06-17 14:05:00-03:00,1.74,BAHÍA USHUAIA
2024-06-17 20:36:00-03:00,0.73,BAHÍA USHUAIA
2024-06-18 02:23:00-03:00,1.43,BAHÍA USHUAIA
2024-06-18 07:51:00-03:00,0.74,BAHÍA USHUAIA
2024-06-18 14:45:00-03:00,1.82,BAHÍA USHUAIA
2024-06-18 21:22:00-03:00,0.65,BAHÍA USHUAIA
2024-06-19 03:17:00-03:00,1.41,BAHÍA USHUAIA
2024-06-19 08:26:00-03:00,0.8,BAHÍA USHUAIA
2024-06-19 15:24:00-03:00,1.9,BAHÍA USHUAIA
2024-06-19 22:06:00-03:00,0.56,BAHÍA USHUAIA
2024-06-20 04:10:00-03:00,1.39,BAHÍA USHUAIA
2024-06-20 09:04:00-03:00,0.84,BAHÍA USHUAIA
2024-06-20 16:03:00-03:00,1.97,BAHÍA USHUAIA
2024-06-20 22:48:00-03:00,0.47,BAHÍA USHUAIA
2024-06-21 05:02:00-03:00,1.39,BAHÍA USHUAIA
2024-06-21 09:45:00-03:00,0.86,BAHÍA USHUAIA
2024-06-21 16:43:00-03:00,2.04,BAHÍA USHUAIA
2024-06-21 23:31:00-03:00,0.38,BAHÍA USHUAIA
2024-06-22 05:53:00-03:00,1.39,BAHÍA USHUAIA
2024-06-22 10:30:00-03:00,0.86,BAHÍA USHUAIA
2024-06-22 17:25:00-03:00,2.08,BAHÍA USHUAIA
2024-06-23 00:17:00-03:00,0.3,BAHÍA USHUAIA
2024-06-23 06:43:00-03:00,1.4,BAHÍA USHUAIA
2024-06-23 11:20:00-03:00,0.84,BAHÍA USHUAIA
2024-06-23 18:10:00-03:00,2.11,BAHÍA USHUAIA
2024-06-24 01:05:00-03:00,0.24,BAHÍA USHUAIA
2024-06-24 07:32:00-03:00,1.41,BAHÍA USHUAIA
2024-06-24 12:14:00-03:00,0.81,BAHÍA USHUAIA
2024-06-24 18:59:00-03:00,2.1,BAHÍA USHUAIA
2024-06-25 01:54:00-03:00,0.2,BAHÍA USHUAIA
2024-06-25 08:20:00-03:00,1.44,BAHÍA USHUAIA
2024-06-25 13:11:00-03:00,0.77,BAHÍA USHUAIA
2024-06-25 19:51:00-03:00,2.07,BAHÍA USHUAIA
2024-06-26 02:44:00-03:00,0.19,BAHÍA USHUAIA
2024-06-26 09:07:00-03:00,1.48,BAHÍA USHUAIA
2024-06-26 14:10:00-03:00,0.74,BAHÍA USHUAIA
2024-06-26 20:46:00-03:00,2.01,BAHÍA USHUAIA
2024-06-27 03:34:00-03:00,0.22,BAHÍA USHUAIA
2024-06-27 09:54:00-03:00,1.53,BAHÍA USHUAIA
2024-06-27 15:12:00-03:00,0.7,BAHÍA USHUAIA
2024-06-27 21:42:00-03:00,1.93,BAHÍA USHUAIA
2024-06-28 04:22:00-03:00,0.27,BAHÍA USHUAIA
2024-06-28 10:41:00-03:00,1.61,BAHÍA USHUAIA
2024-06-28 16:17:00-03:00,0.67,BAHÍA USHUAIA
