datetime,height,port
2024-08-01 02:59:00-03:00,1.41,BAHÍA USHUAIA
2024-08-01 08:03:00-03:00,0.76,BAHÍA USHUAIA
2024-08-01 14:41:00-03:00,2.07,BAHÍA USHUAIA
2024-08-01 21:47:00-03:00,0.23,BAHÍA USHUAIA
2024-08-02 03:59:00-03:00,1.39,BAHÍA USHUAIA
2024-08-02 08:58:00-03:00,0.77,BAHÍA USHUAIA
2024-08-02 15:35:00-03:00,2.07,BAHÍA USHUAIA
2024-08-02 22:36:00-03:00,0.2,BAHÍA USHUAIA
2024-08-03 04:51:00-03:00,1.39,BAHÍA USHUAIA
2024-08-03 09:54:00-03:00,0.76,BAHÍA USHUAIA
2024-08-03 16:26:00-03:00,2.05,BAHÍA USHUAIA
2024-08-03 23:22:00-03:00,0.2,BAHÍA USHUAIA
2024-08-04 05:38:00-03:00,1.4,BAHÍA USHUAIA
2024-08-04 10:48:00-03:00,0.72,BAHÍA USHUAIA
2024-08-04 17:15:00-03:00,2.0,BAHÍA USHUAIA
2024-08-05 00:04:00-03:00,0.22,BAHÍA USHUAIA
2024-08-05 06:20:00-03:00,1.4,BAHÍA USHUAIA
2024-08-05 11:37:00-03:00,0.68,BAHÍA USHUAIA
2024-08-05 18:00:00-03:00,1.93,BAHÍA USHUAIA
2024-08-06 00:44:00-03:00,0.26,BAHÍA USHUAIA
2024-08-06 07:01:00-03:00,1.42,BAHÍA USHUAIA
2024-08-06 12:23:00-03:00,0.66,BAHÍA USHUAIA
2024-08-06 18:44:00-03:00,1.84,BAHÍA USHUAIA
2024-08-07 01:22:00-03:00,0.31,BAHÍA USHUAIA
2024-08-07 07:40:00-03:00,1.43,BAHÍA USHUAIA
2024-08-07 13:07:00-03:00,0.66,BAHÍA USHUAIA
2024-08-07 19:27:00-03:00,1.74,BAHÍA USHUAIA
2024-08-08 01:59:00-03:00,0.38,BAHÍA USHUAIA
2024-08-08 08:19:00-03:00,1.46,BAHÍA USHUAIA
2024-08-08 13:51:00-03:00,0.67,BAHÍA USHUAIA
2024-08-08 20:10:00-03:00,1.64,BAHÍA USHUAIA
2024-08-09 02:35:00-03:00,0.46,BAHÍA USHUAIA
2024-08-09 08:59:00-03:00,1.49,BAHÍA USHUAIA
2024-08-09 14:38:00-03:00,0.7,BAHÍA USHUAIA
2024-08-09 20:55:00-03:00,1.54,BAHÍA USHUAIA
2024-08-10 03:10:00-03:00,0.53,BAHÍA USHUAIA
2024-08-10 09:39:00-03:00,1.53,BAHÍA USHUAIA
2024-08-10 15:31:00-03:00,0.73,BAHÍA USHUAIA
2024-08-10 21:43:00-03:00,1.44,BAHÍA USHUAIA
2024-08-11 03:46:00-03:00,0.61,BAHÍA USHUAIA
2024-08-11 10:21:00-03:00,1.57,BAHÍA USHUAIA
2024-08-11 16:33:00-03:00,0.74,BAHÍA USHUAIA
2024-08-11 22:37:00-03:00,1.36,BAHÍA USHUAIA
2024-08-12 04:23:00-03:00,0.69,BAHÍA USHUAIA
2024-08-12 11:05:00-03:00,1.61,BAHÍA USHUAIA
2024-08-12 17:42:00-03:00,0.71,BAHÍA USHUAIA
2024-08-12 23:36:00-03:00,1.3,BAHÍA USHUAIA
2024-08-13 05:02:00-03:00,0.75,BAHÍA USHUAIA
2024-08-13 11:50:00-03:00,1.66,BAHÍA USHUAIA
2024-08-13 18:46:00-03:00,0.64,BAHÍA USHUAIA
2024-08-14 00:36:00-03:00,1.26,BAHÍA USHUAIA
2024-08-14 05:43:00-03:00,0.8,BAHÍA USHUAIA
2024-08-14 12:36:00-03:00,1.71,BAHÍA USHUAIA
2024-08-14 19:41:00-03:00,0.55,BAHÍA USHUAIA
2024-08-15 01:34:00-03:00,1.23,BAHÍA USHUAIA
2024-08-15 06:27:00-03:00,0.81,BAHÍA USHUAIA
2024-08-15 13:23:00-03:00,1.77,BAHÍA USHUAIA
2024-08-15 20:29:00-03:00,0.44,BAHÍA USHUAIA
2024-08-16 02:30:00-03:00,1.23,BAHÍA USHUAIA
2024-08-16 07:14:00-03:00,0.79,BAHÍA USHUAIA
2024-08-16 14:11:00-03:00,1.84,BAHÍA USHUAIA
2024-08-16 21:14:00-03:00,0.33,BAHÍA USHUAIA
2024-08-17 03:23:00-03:00,1.24,BAHÍA USHUAIA
2024-08-17 08:05:00-03:00,0.73,BAHÍA USHUAIA
2024-08-17 15:02:00-03:00,1.91,BAHÍA USHUAIA
2024-08-17 21:57:00-03:00,0.23,BAHÍA USHUAIA
2024-08-18 04:12:00-03:00,1.28,BAHÍA USHUAIA
2024-08-18 09:00:00-03:00,0.65,BAHÍA USHUAIA
2024-08-18 15:53:00-03:00,1.98,BAHÍA USHUAIA
2024-08-18 22:41:00-03:00,0.15,BAHÍA USHUAIA
2024-08-19 04:58:00-03:00,1.33,BAHÍA USHUAIA
2024-08-19 09:58:00-03:00,0.56,BAHÍA USHUAIA
2024-08-19 16:45:00-03:00,2.03,BAHÍA USHUAIA
2024-08-19 23:25:00-03:00,0.1,BAHÍA USHUAIA
